Physical Time (s),enth_flux_enthalpy_right Monitor (W): right_cv1,enth_flux_enthalpy_right Monitor (W): right_cv2,enth_flux_enthalpy_right Monitor (W): right_cv3,enth_flux_enthalpy_right Monitor (W): right_cv4,enth_flux_enthalpy_right Monitor (W): right_cv5,enth_flux_enthalpy_right Monitor (W): right_cv6,enth_flux_enthalpy_right Monitor (W): right_cv7
0.0025,-1.5806374364987012e-05,-4.8149007642129456e-07,2.5284787393589579e-09,9.1275977829004615e-10,2.99037548108977e-10,1.4858787265046494e-10,1.3467591443717896e-10
0.005,-3.3086223460221926e-05,-7.7236394955636308e-06,-9.3280794536724194e-08,4.1515168170688467e-09,1.4105381307680162e-09,4.7808624024068345e-10,4.0284124598743516e-10
0.0075,-3.4307969153892916e-05,-2.1268103990606681e-05,-1.4481339001046478e-06,-3.2922862645008911e-08,-1.2113914071077684e-08,-1.5739037598659866e-08,-1.6039702464530118e-08
0.01,-1.537304644198876e-05,-3.3748249905026526e-05,-7.0941043344509487e-06,-5.6648758350197328e-07,-1.9277372939316741e-07,-1.9356346585748408e-07,-1.945858759865867e-07
0.0125,4.2569223089678062e-06,-3.9205268360261681e-05,-1.7946061311050953e-05,-3.2377083760669701e-06,-1.1647901548354086e-06,-1.0633865091604483e-06,-1.0660072999254379e-06
0.015,1.2519544986435757e-05,-2.9082736962850605e-05,-3.0935898517566985e-05,-1.0636490694304486e-05,-4.3815180405303711e-06,-3.6839997583288317e-06,-3.6878251001562001e-06
0.0175,1.1518771771327836e-05,-5.549895457010681e-06,-4.0533754628454302e-05,-2.3832196674888887e-05,-1.1798330299836511e-05,-9.1738841434690107e-06,-9.1636656182605808e-06
0.02,2.1224080133507669e-06,1.7082651589252132e-05,-3.9285137328713845e-05,-3.9871143807396518e-05,-2.4616400842098486e-05,-1.7945362254711388e-05,-1.7816844369759015e-05
0.0225,-1.406829228110153e-05,1.8951107304705078e-05,-2.5871732842573308e-05,-5.1198336561365888e-05,-3.9895961223134125e-05,-2.7819476106162151e-05,-2.7288830189561139e-05
0.025,-2.8220196284374663e-05,-4.6295871920303604e-07,-6.5187761668586376e-06,-4.9863883794723447e-05,-5.1802046027424578e-05,-3.5529239047764912e-05,-3.3981228938592664e-05
0.0275,-3.3442504143316756e-05,-1.7898379224430579e-05,8.3186982571368293e-06,-3.2830375813168694e-05,-5.3148852881562846e-05,-3.7897293393632963e-05,-3.4335555046923688e-05
0.03,-2.850305998327349e-05,-2.4897816827692974e-05,1.0803541156515527e-05,-5.7239376161124322e-06,-3.9730431784236106e-05,-3.3770534161503756e-05,-2.7103411537140189e-05
0.0325,-1.6040146735405855e-05,-1.9887898698414252e-05,6.7648287325191266e-06,2.078675232752155e-05,-1.3357664812772225e-05,-2.4132670596062477e-05,-1.3861480202512528e-05
0.035,4.0551494556606458e-07,-6.6586628892052876e-06,5.081919421586287e-06,3.6151357734433303e-05,1.840052294782127e-05,-1.0724674844565996e-05,2.1228805660272046e-06
0.0375,1.7556035942583985e-05,9.3331793874707628e-06,8.7719086083388341e-06,3.8445296613740048e-05,4.5291250279718978e-05,4.8051555958998727e-06,1.7064635233559254e-05
0.04,3.2629108122233459e-05,2.4165433765192716e-05,1.6587799965868408e-05,3.3617715982814744e-05,5.8617910447104763e-05,2.1168961575171966e-05,2.7970111089647879e-05
0.0425,4.259690652387298e-05,3.4660362382881837e-05,2.4196297132198193e-05,2.7042820744335467e-05,5.5470645701590899e-05,3.579216388551742e-05,3.238842817782836e-05
0.045,4.5166342729013837e-05,3.8705405101301506e-05,2.7727653138158121e-05,2.1019682529620627e-05,4.0308294894610915e-05,4.4849329346962575e-05,2.9309550144619025e-05
0.0475,4.0093413982765098e-05,3.6038650170102899e-05,2.6008199224021695e-05,1.5294692599572034e-05,2.0892132761111423e-05,4.5047224306029741e-05,2.0208032052164346e-05
0.05,2.9260835271128892e-05,2.8147181881469734e-05,2.0380113873478021e-05,9.2815823205973493e-06,3.8085454978654989e-06,3.5578997188743164e-05,8.673476065628113e-06
0.0525,1.5836195355588452e-05,1.750882123526347e-05,1.3336961598452279e-05,3.6909998454539644e-06,-7.2980431963043422e-06,1.9143480484836186e-05,-9.700293812005397e-07
0.055,3.0510135555770978e-06,6.674623169133135e-06,7.0388094986092113e-06,-6.6353900645837232e-08,-1.1848679119224629e-05,1.174508643691468e-06,-5.4790723427646857e-06
0.0575,-6.7699412450969351e-06,-2.4662393416919549e-06,2.4789328627118864e-06,-1.0923400489603108e-06,-1.0920253507022713e-05,-1.2515518492480265e-05,-4.0376302738607228e-06
0.06,-1.258753144687919e-05,-8.9361546924620061e-06,-4.6197105536645654e-07,2.9596208797698957e-07,-6.2231528492042573e-06,-1.8177072654385142e-05,1.4794181583915331e-06
0.0625,-1.4428065751514854e-05,-1.2452441229327154e-05,-2.3408296359263802e-06,2.8619388627006557e-06,4.417465647259431e-07,-1.5173382450820413e-05,7.5520608247235299e-06
0.065,-1.3170427189835846e-05,-1.3338788798417677e-05,-3.7226908998137861e-06,5.0122800198628647e-06,7.1713509204586178e-06,-5.81090605114016e-06,1.0608167570729691e-05
0.0675,-1.0151959546111416e-05,-1.2364411320676882e-05,-4.9580908425567544e-06,5.5393277078859425e-06,1.2201607139426076e-05,6.0140554058282479e-06,8.8200872547295954e-06
0.07,-6.7470400446879093e-06,-1.0527742587556671e-05,-6.2138518645205041e-06,3.9798082842510008e-06,1.4228425353295976e-05,1.6364235330468519e-05,2.8066167970920231e-06
0.0725,-4.0279345407806149e-06,-8.7229070188008804e-06,-7.4856847745005543e-06,6.6512567239510831e-07,1.2751823478024316e-05,2.2350029758576968e-05,-4.8089186798741578e-06
0.075,-2.6172603264063516e-06,-7.509450654086697e-06,-8.6721628642027294e-06,-3.5357516893908816e-06,8.2005987030482308e-06,2.2489592422259206e-05,-1.0895338492854317e-05
