Physical Time (s),enth_flux_enthalpy_top Monitor (W): top_cv1,enth_flux_enthalpy_top Monitor (W): top_cv2,enth_flux_enthalpy_top Monitor (W): top_cv3,enth_flux_enthalpy_top Monitor (W): top_cv4,enth_flux_enthalpy_top Monitor (W): top_cv5,enth_flux_enthalpy_top Monitor (W): top_cv6,enth_flux_enthalpy_top Monitor (W): top_cv7
0.0025,3.5363442894148528e-14,3.6009259250576152e-17,2.3278444959026715e-17,2.3549506857978796e-17,2.6614164949841689e-18,5.3877457404294438e-19,2.5880056689546847e-20
0.005,2.9181330578733195e-11,2.0151374283356017e-13,1.7492419992369789e-13,3.0080952748418229e-16,8.6159022302792275e-17,1.251602480833454e-17,3.9123191690043781e-19
0.0075,1.4260727580927892e-09,2.1460689997511117e-11,2.9516151371409349e-11,5.7176848163684984e-13,-6.8663307110821164e-16,-9.7185024183020223e-16,-5.361837852027131e-17
0.01,1.4341024081720018e-08,3.7034723483043129e-10,7.1675194238313298e-10,4.4181786064718514e-11,5.3873315357386167e-13,-3.1477203373783382e-14,-2.2927410534394399e-15
0.0125,5.3277955166331024e-08,2.3641077539364228e-09,5.6883808986894606e-09,7.8752086325628426e-10,2.8347226902441956e-11,4.8191310694046608e-13,-3.5097879176067374e-14
0.015,9.6074043851187764e-08,8.3842137779591484e-09,2.2507456582096004e-08,5.7693874008614388e-09,4.4690962786265439e-10,2.407816761193138e-11,-2.3880891371277622e-13
0.0175,7.3742800208369142e-08,1.901608918959846e-08,5.3833766692299664e-08,2.2748243752920428e-08,3.252182076175808e-09,3.0644454264659119e-10,-2.1251161760380454e-13
0.02,-2.6559634161783587e-08,2.703154369863303e-08,8.0869619191140333e-08,5.4856400573955554e-08,1.3358501924906555e-08,2.0239808771802175e-09,1.0762684463009306e-11
0.0225,-5.2916674583330122e-08,2.2244574634301239e-08,7.1773936179806219e-08,8.2373092777653122e-08,3.3428206578755537e-08,7.7264018784656447e-09,8.6317815976605237e-11
0.025,5.4136414650138784e-08,1.0702815569927514e-08,3.4347016052004972e-08,7.5214310897477029e-08,5.3557932650945337e-08,1.9105463065888516e-08,3.5575049186816404e-10
0.0275,1.3521082182991829e-07,2.373036276322481e-09,4.1059097060620145e-09,3.61628467277084e-08,5.3398877631107836e-08,3.1784816314137604e-08,9.3345001135917041e-10
0.03,9.8157207461230437e-08,-2.3633463228727826e-10,-4.9498027503613858e-09,4.3338284820489987e-09,2.8525170806761554e-08,3.4913875912620416e-08,1.6451709773170292e-09
0.0325,1.7040902658439508e-08,-4.4716220854134077e-11,-1.9701590609615252e-10,3.8573056740357618e-09,4.0550821114399851e-09,2.2225669694373778e-08,1.8678775500133594e-09
0.035,-2.3302912561812736e-08,-3.2085517338937009e-10,6.9967703038719308e-09,2.2028032277162092e-08,6.3716424324239242e-09,3.5860959696809927e-09,9.324776597227063e-10
0.0375,-4.9334408144312669e-09,-2.6475758839544361e-09,7.3188143384219865e-09,3.4219476096766331e-08,3.1056479739162343e-08,-6.1516449816077142e-10,-1.0125998550669055e-09
0.04,3.7221225423071704e-08,-7.7011219853039897e-09,-2.8800890968380254e-09,2.8717808722952677e-08,5.0323197338550063e-08,1.9011894644185607e-08,-2.5980553237298999e-09
0.0425,5.8616511596161013e-08,-1.4322629799450694e-08,-1.9626611729878155e-08,9.1395986914065519e-09,4.484696870617663e-08,4.7803338296836446e-08,-1.8847163851389775e-09
0.045,4.4129759212774271e-08,-1.9539380392305072e-08,-3.3761007093801725e-08,-1.2047057552458686e-08,2.0633037648882002e-08,5.9444670374061682e-08,1.5984403846261492e-09
0.0475,1.394549234709958e-08,-2.017418498091318e-08,-3.7762039839894842e-08,-2.303069731116228e-08,-1.778021234841889e-09,4.3919465942414016e-08,5.5564128499281713e-09
0.05,-7.1661097956547091e-09,-1.4764770581772691e-08,-3.0233108289062393e-08,-2.0708756766054098e-08,-8.8594668611884508e-09,1.7168320796059826e-08,6.7834702428391872e-09
0.0525,-1.5103911616985812e-08,-5.4856376592535502e-09,-1.5726163230732033e-08,-1.0644828671262118e-08,-2.8605632633367047e-09,2.1285059970769539e-09,4.4929501281952253e-09
0.055,-2.0442679174994688e-08,2.2325577945209919e-09,-1.689845749989781e-09,-7.3585839105459391e-10,5.6530421299708675e-09,6.0599753523865068e-09,1.0679566556904226e-09
