Physical Time (s),enth_flux_pressure_left Monitor (W)
0.0025,2.1892139308121605e-08
0.005,6.8793110057765568e-07
0.0075,4.7891395882108642e-06
0.01,1.5161059085526361e-05
0.0125,2.8937310772500538e-05
0.015,3.7848997297205099e-05
0.0175,3.0150953394081179e-05
0.02,-4.4336965547305869e-07
0.0225,-4.105824882024628e-05
0.025,-7.0292572159857792e-05
0.0275,-6.9786556679569316e-05
0.03,-4.1784667011903059e-05
0.0325,-4.7083050849462956e-06
0.035,2.575458666106598e-05
0.0375,4.2230997789872861e-05
0.04,4.4834602264986151e-05
0.0425,3.7155622137651813e-05
0.045,2.4018342810820562e-05
0.0475,1.0131499693529683e-05
0.05,-1.4500629042075523e-06
0.0525,-9.482221951034947e-06
0.055,-1.4200480532324409e-05
0.0575,-1.6239238625089582e-05
0.06,-1.5868531876021746e-05
0.0625,-1.3010739460813903e-05
0.065,-7.942671233052369e-06
0.0675,-1.6138722555171883e-06
0.07,4.5253448961326902e-06
0.0725,9.0790689399611572e-06
0.075,1.1114446250245639e-05
0.0775,1.0322191079814557e-05
0.08,6.966653903835387e-06
0.0825,1.8598287615180214e-06
0.085,-3.8402352773811852e-06
0.0875,-8.8077683332816842e-06
0.09,-1.1844579364644581e-05
0.0925,-1.2185263383903232e-05
0.095,-9.7131956991288619e-06
0.0975,-4.9774195073264657e-06
0.1,9.5485146128955012e-07
0.1025,6.7727991331776329e-06
0.105,1.1261401833601854e-05
0.1075,1.3579332321973356e-05
0.11,1.3432656407293666e-05
0.1125,1.107705238299018e-05
0.115,7.1657023187315874e-06
0.1175,2.5595263359282144e-06
0.12,-1.8489255302246876e-06
0.1225,-5.3634021289085541e-06
0.125,-7.6210132385983673e-06
0.1275,-8.493943172443661e-06
0.13,-8.0752275363665926e-06
0.1325,-6.6892317085875237e-06
0.135,-4.7891527615116459e-06
0.1375,-2.8134588239512202e-06
0.14,-1.060078014684973e-06
0.1425,3.4445392506968322e-07
0.145,1.3970829337078266e-06
0.1475,2.1719194070142862e-06
0.15,2.7589163898363311e-06
0.1525,3.2248983071450808e-06
0.155,3.5814448349438797e-06
0.1575,3.7804040362038013e-06
0.16,3.7464590626507657e-06
0.1625,3.4275745923887248e-06
0.165,2.8332534694621599e-06
0.1675,2.054840219776645e-06
