Physical Time (s),enth_flux_pressure_right Monitor (W): right_cv1,enth_flux_pressure_right Monitor (W): right_cv2,enth_flux_pressure_right Monitor (W): right_cv3,enth_flux_pressure_right Monitor (W): right_cv4,enth_flux_pressure_right Monitor (W): right_cv5,enth_flux_pressure_right Monitor (W): right_cv6,enth_flux_pressure_right Monitor (W): right_cv7
0.0025,1.6756970860893117e-05,4.8147222798888282e-07,-2.5180409379162197e-09,-9.1102551256022622e-10,-2.9863087890058895e-10,-1.4846717929153785e-10,-1.3455817854097624e-10
0.005,3.8029815765235627e-05,7.7837002489408416e-06,9.3258803038883552e-08,-4.1459883711390712e-09,-1.4095121473891395e-09,-4.7815957669429461e-10,-4.0297874812287454e-10
0.0075,3.7421579868857703e-05,2.1674322671530655e-05,1.4488633494050225e-06,3.2917163158947769e-08,1.2109940626705223e-08,1.5731229001144554e-08,1.6031688123428623e-08
0.01,1.5302432315441218e-05,3.4761577876900874e-05,7.1187099477299822e-06,5.6639380880112247e-07,1.9272401040836619e-07,1.9350911442932167e-07,1.9453092771210831e-07
0.0125,-3.6023677164622092e-06,4.0432520215704703e-05,1.8100766596944872e-05,3.2398970461137343e-06,1.1646442682099315e-06,1.0632268375278602e-06,1.0658469471934718e-06
0.015,-1.1382901861374891e-05,2.9493854780334229e-05,3.1373707756526386e-05,1.0666182341906806e-05,4.3822562302468519e-06,3.6837493619354681e-06,3.6875768689987615e-06
0.0175,-1.0597681199042324e-05,5.4909252998566618e-06,4.120950159831138e-05,2.3982208027876482e-05,1.1809786504823634e-05,9.1737305967217656e-06,9.1634787855681347e-06
0.02,-1.6124863248700108e-06,-1.6638954951347435e-05,3.9785879519192203e-05,4.0272608229652336e-05,2.4682201492337306e-05,1.7946270452178845e-05,1.7817019530587578e-05
0.0225,1.4420678746816688e-05,-1.8486697327443011e-05,2.5969508153346212e-05,5.1803544051720333e-05,4.01049480613149e-05,2.7825304442985015e-05,2.7289547700403066e-05
0.025,2.8821795315067988e-05,4.8812925086637203e-07,6.5276781151829681e-06,5.0332423629073829e-05,5.2208769767254962e-05,3.5550622045927324e-05,3.3982622773824292e-05
0.0275,3.4390667150873297e-05,1.788153648708425e-05,-8.1176974046357589e-06,3.2925247504530882e-05,5.362320135699317e-05,3.7948422814919615e-05,3.4336074036481343e-05
0.03,2.9616486560561809e-05,2.5053628772871049e-05,-1.0623687474490438e-05,5.7122263338641539e-06,4.0008482143996169e-05,3.3856320147310987e-05,2.7102441871152995e-05
0.0325,1.7125746636946445e-05,2.0107850821524951e-05,-6.710065841330555e-06,-2.0509417644178213e-05,1.3383407506686837e-05,2.4228957667136387e-05,1.3859397705914316e-05
0.035,6.050729634214115e-07,6.7908978593145775e-06,-5.058419346433449e-06,-3.5670435686558394e-05,-1.8317117852839999e-05,1.0778005994371311e-05,-2.1274729573744263e-06
0.0375,-1.653532152942423e-05,-9.3201771911287491e-06,-8.7730130905935121e-06,-3.8102299437403186e-05,-4.4847916253668179e-05,-4.838748844385802e-06,-1.707793171027077e-05
0.04,-3.1480188801034136e-05,-2.4216161780609335e-05,-1.6656962220486955e-05,-3.3514725568924907e-05,-5.7956464273732075e-05,-2.1267319948902677e-05,-2.8004859702505987e-05
0.0425,-4.1249721930653818e-05,-3.4695057695795968e-05,-2.4309105817748763e-05,-2.7084106820210582e-05,-5.4988581785393328e-05,-3.5838498262357146e-05,-3.2455958041724905e-05
0.045,-4.3635466391281625e-05,-3.8672954679172526e-05,-2.7818086352855327e-05,-2.1099056068722628e-05,-4.015009763026825e-05,-4.4717512656041952e-05,-2.9404896259371778e-05
0.0475,-3.8450462203792763e-05,-3.5942462246045378e-05,-2.603960837561389e-05,-1.5354572682680102e-05,-2.0897523209635397e-05,-4.4751469230924995e-05,-2.0301791802153203e-05
0.05,-2.7562425125754524e-05,-2.8030240332655626e-05,-2.0360870718334197e-05,-9.3048835117831714e-06,-3.80620023980209e-06,-3.5288715710650798e-05,-8.7261616907810721e-06
0.0525,-1.4073690000267442e-05,-1.7416423138676811e-05,-1.3298432843149669e-05,-3.6917951319906281e-06,7.3366228801729203e-06,-1.9006295816786276e-05,9.712522254091664e-07
0.055,-1.1587762182106835e-06,-6.622394386076228e-06,-7.007439101104326e-06,6.826920975863617e-08,1.1880959538914407e-05,-1.1669929106486912e-06,5.5045366186292456e-06
0.0575,8.8644583720798775e-06,2.4960273648463533e-06,-2.4637051683386018e-06,1.0921832368085146e-06,1.0924150548743052e-05,1.2515571742904399e-05,4.047998118117886e-06
0.06,1.4918200022680653e-05,8.9736746385145681e-06,4.6468568245166033e-07,-2.8959333135075423e-07,6.2139284852082928e-06,1.8225215010820477e-05,-1.48684394734051e-06
