Physical Time (s),enth_flux_viscous_bot Monitor (W): bot_cv1,enth_flux_viscous_bot Monitor (W): bot_cv2,enth_flux_viscous_bot Monitor (W): bot_cv3,enth_flux_viscous_bot Monitor (W): bot_cv4,enth_flux_viscous_bot Monitor (W): bot_cv5,enth_flux_viscous_bot Monitor (W): bot_cv6,enth_flux_viscous_bot Monitor (W): bot_cv7
0.0025,2.7896385290354406e-13,-4.2204947869984994e-15,1.1832985238075334e-15,3.5586578904010882e-15,8.3497883503145181e-16,2.7743700115146587e-16,2.3005763309908258e-17
0.005,7.6858210396514239e-12,-3.9535762033739441e-13,-3.8379275423373731e-13,-1.2828151013876047e-15,5.4413857880980215e-15,1.7300186152165426e-15,1.3112883344098557e-16
0.0075,5.664312463968466e-11,-3.9562005528187617e-12,-5.117138879920338e-12,-4.6478809666843607e-13,8.326033646934572e-15,7.7233200444027947e-15,5.4883720967208568e-16
0.01,1.9919189276303022e-10,-1.5611752072215273e-11,-2.5153927570884975e-11,-4.3394931905657672e-12,-1.9610715977645382e-13,1.9432195489730834e-14,1.8713285446261216e-15
0.0125,4.3753323126955758e-10,-3.5111302736330032e-11,-6.8209490648296904e-11,-1.845294334192071e-11,-1.7785977564164905e-12,-3.9075582414234619e-14,4.7979451930700793e-15
0.015,6.8214766347467275e-10,-5.5491058083220209e-11,-1.2802652221323955e-10,-4.8784771443318221e-11,-7.7678257203610972e-12,-6.1396430209631155e-13,8.9626750372475539e-15
0.0175,7.7219628522261599e-10,-7.1460118180414562e-11,-1.8947605343135242e-10,-9.3861442424594191e-11,-2.1993340841186986e-11,-3.0331346945437478e-12,5.1027236950804247e-15
0.02,5.8233404699617823e-10,-8.1382018372235136e-11,-2.3150024101082136e-10,-1.4386663545970867e-10,-4.5774092055886142e-11,-9.7343127581796449e-12,-7.0239744998040357e-14
0.0225,2.2855008485013567e-10,-7.3938555367802685e-11,-2.1862124634249359e-10,-1.8167044091773414e-10,-7.5424705105186463e-11,-2.2768467167876324e-11,-3.6311173329189407e-13
0.025,-8.3623974698856463e-11,-4.1921910909701268e-11,-1.2886605798816067e-10,-1.7946651721061942e-10,-1.0251191839357219e-10,-4.2332313993190257e-11,-1.1235211554072652e-12
