Physical Time (s),enth_flux_viscous_right Monitor (W): right_cv1,enth_flux_viscous_right Monitor (W): right_cv2,enth_flux_viscous_right Monitor (W): right_cv3,enth_flux_viscous_right Monitor (W): right_cv4,enth_flux_viscous_right Monitor (W): right_cv5,enth_flux_viscous_right Monitor (W): right_cv6,enth_flux_viscous_right Monitor (W): right_cv7
0.0025,1.1012735151965939e-09,-2.8914929622729329e-11,-8.3855673850515931e-15,1.6922232535537904e-14,3.2336921189314835e-15,2.4172902214062629e-16,1.179834934884599e-17
0.005,4.7245057287144993e-09,-1.8153832573199876e-10,-5.1705622637467989e-12,5.7818886593724913e-14,2.253245316692375e-14,1.5024572970839152e-15,6.3566821501277783e-17
0.0075,1.4111024625969608e-10,-3.4426997202396136e-10,-6.398141475005584e-11,-1.2217076990388916e-12,8.6013207597395479e-14,6.7569674958970306e-15,2.5165418116842113e-16
0.01,1.0863548787998667e-09,-5.0650820961986856e-10,-2.5592868217788583e-10,-1.7110275966367603e-11,-1.7977783858779224e-13,2.6386593665788399e-14,8.0890406271540739e-16
0.0125,4.4737876413358292e-09,-7.6883951418255253e-10,-5.3926113291537762e-10,-9.0333700118698444e-11,-4.6538880715461019e-12,7.650061996946234e-14,2.2549219361104294e-15
0.015,4.8837911059779488e-09,-9.3643610756031864e-10,-8.4281082186605664e-10,-2.6793998618183316e-10,-2.9052113501370255e-11,1.0922811375878013e-13,5.5754992305586004e-15
0.0175,4.3969062060165638e-09,4.3306329342430665e-10,-1.1560938013731441e-09,-5.3604917489182956e-10,-1.0550988034654896e-10,-4.4095023214000063e-13,1.2559605579023952e-14
0.02,3.2179814542053946e-09,2.2055908289825139e-09,-1.258650217553482e-09,-8.2931236249534849e-10,-2.6162444243387871e-10,-4.5654244236220539e-12,1.9341424092469476e-14
0.0225,1.9132813316268564e-09,1.621821392828387e-09,-5.2448610940785465e-10,-1.0571716104337891e-09,-4.834261489526519e-10,-1.9695999686122089e-11,2.7052332528276192e-15
0.025,9.2873159364911566e-10,8.2046625398904935e-10,8.7648680281903396e-10,-9.9994273539483341e-10,-7.1492049061842448e-10,-5.8968776478119114e-11,-1.3980442587411647e-13
0.0275,3.3491340407576345e-10,2.6184721228482434e-10,1.625183821121227e-09,-3.5939518215392212e-10,-8.6176140402120513e-10,-1.3734034269259969e-10,-7.7368904424640668e-13
0.03,1.8919894300056868e-10,-1.8013474902716032e-10,1.2055902952532448e-09,6.9170439212451715e-10,-7.608346642738855e-10,-2.5985924669512693e-10,-2.9453234983525371e-12
0.0325,4.3559627399250309e-10,-4.8289334884117591e-10,5.8968602436239391e-10,1.4036188243447543e-09,-2.5735410743262872e-10,-4.0968764281652547e-10,-9.0794416960251404e-12
0.035,9.3940483797216542e-10,-5.3915776047761303e-10,7.6933666735558892e-11,1.2882132770254845e-09,5.2164892271645462e-10,-5.4417616311603252e-10,-2.3806109871286893e-11
0.0375,1.5690348357835285e-09,-4.0292975829598885e-10,-3.3333862513369398e-10,7.5403898740323021e-10,1.1252744289103391e-09,-5.9478784460847183e-10,-5.4302903062884091e-11
0.04,2.2269299413479628e-09,-1.7145772471602026e-10,-5.420327898149183e-10,2.3115109593575225e-10,1.1735107518968329e-09,-4.7563242691345238e-10,-1.0910374909781301e-10
0.0425,2.8227316307600974e-09,8.5297369014053623e-11,-5.157566019978172e-10,-1.9895437943402497e-10,7.9455457411040501e-10,-1.3603984448587686e-10,-1.9468883871430354e-10
0.045,3.2692932384838958e-09,3.1631714617262251e-10,-3.4304311403516362e-10,-4.5673207946993035e-10,3.248821657628531e-10,3.4254086004692859e-10,-3.1037109778920324e-10
0.0475,3.5159625701908148e-09,4.8400357750707896e-10,-1.175509023810623e-10,-4.738555460507799e-10,-8.2932557600316456e-11,7.3806320744814932e-10,-4.4352670736865606e-10
0.05,3.5673852279160455e-09,5.6075696079623221e-10,1.0652064699643361e-10,-3.0396823605147139e-10,-3.5227619497504293e-10,8.5309158614359987e-10,-5.6668524005615546e-10
0.0525,3.4835585416421595e-09,5.3619841544351226e-10,2.9560313269656592e-10,-6.2099838357064694e-11,-4.1132755689120762e-10,6.8150320485487249e-10,-6.370622184852092e-10
0.055,3.3524168220892711e-09,4.2302632065198147e-10,4.1947308188764391e-10,1.7083536932302172e-10,-2.7234588896100158e-10,3.6449873406632059e-10,-6.0449003115801602e-10
0.0575,3.259506214554652e-09,2.5208781396288957e-10,4.5418005965887597e-10,3.5405153169939152e-10,-3.6195602004300049e-11,3.4173103708682115e-11,-4.3500509991104771e-10
0.06,3.2728964254928394e-09,5.8397340321465937e-11,3.9414668882676555e-10,4.6291548009744567e-10,1.9606788892460876e-10,-2.3094513932474527e-10,-1.4879809038405568e-10
0.0625,3.4397702854112613e-09,-1.2664173305971104e-10,2.5528024830652538e-10,4.8078531429261858e-10,3.6644358712165848e-10,-3.6910531956919019e-10,1.7200166702435363e-10
0.065,3.7762956701727499e-09,-2.7453944375476037e-10,6.6762164009210908e-11,4.0526491682908894e-10,4.4895552519097138e-10,-3.5386685371122592e-10,4.2826463556509851e-10
0.0675,4.2593563025953178e-09,-3.6142158235633847e-10,-1.3886015081427124e-10,2.5128553819296921e-10,4.3344571272268577e-10,-2.2708950301020758e-10,5.6887681921145462e-10
0.07,4.835713653589274e-09,-3.7729962667904979e-10,-3.2880663998717244e-10,4.5499046250666735e-11,3.2203145181269913e-10,-6.8969110761096596e-11,6.0783388416340121e-10
0.0725,5.4413719308563788e-09,-3.3378654562261823e-10,-4.7287487611122745e-10,-1.8067028301322814e-10,1.3112073709901888e-10,6.043131763167704e-11,5.8425244937482142e-10
0.075,6.0187155123556087e-09,-2.5329330095785083e-10,-5.5157819534654762e-10,-3.9395546922283387e-10,-1.0891688980484979e-10,1.4302802106888779e-10,5.2268030578306326e-10
0.0775,6.5250303321522451e-09,-1.6455396590325527e-10,-5.6432699021767039e-10,-5.6220002162289255e-10,-3.5676640594559386e-10,1.8919400856213171e-10,4.3333671182648645e-10
0.08,6.9374383366466078e-09,-9.2663257044205882e-11,-5.2998260221399809e-10,-6.6098160161587884e-10,-5.6352305043928282e-10,2.1485404687997837e-10,3.3408261436223973e-10
0.0825,7.2435357890400309e-09,-5.3615782015768324e-11,-4.7637054630279967e-10,-6.8112947102070429e-10,-6.8149369483396615e-10,2.2958639633694803e-10,2.5474684631310459e-10
0.085,7.4513999201216929e-09,-5.4304951143078928e-11,-4.2700582731470496e-10,-6.2996318109670652e-10,-6.7890875100269066e-10,2.329764954088091e-10,2.1792503188229902e-10
0.0875,7.5894397357694872e-09,-9.2687178980628825e-11,-3.9426795230954523e-10,-5.2471403695918103e-10,-5.5372896117150098e-10,2.1761907034046735e-10,2.2361229191793564e-10
0.09,7.6858812222355201e-09,-1.5841164330563613e-10,-3.7919465587360195e-10,-3.8526611153706923e-10,-3.3642999159310809e-10,1.7467581563946322e-10,2.5684623800644571e-10
0.0925,7.769512618586063e-09,-2.3330759640279232e-10,-3.7389243076685775e-10,-2.3079704135063487e-10,-7.7823612977579742e-11,1.0171929413297629e-10,2.9214111404314362e-10
