Physical Time (s),enth_flux_viscous_top Monitor (W): top_cv1,enth_flux_viscous_top Monitor (W): top_cv2,enth_flux_viscous_top Monitor (W): top_cv3,enth_flux_viscous_top Monitor (W): top_cv4,enth_flux_viscous_top Monitor (W): top_cv5,enth_flux_viscous_top Monitor (W): top_cv6,enth_flux_viscous_top Monitor (W): top_cv7
0.0025,2.8758392214600683e-13,-2.1285007067906827e-15,1.5107526014266363e-15,3.3496380825647518e-15,8.1733423866329988e-16,2.875338861860114e-16,1.9017600517927912e-17
0.005,7.7488823311320879e-12,-3.8022307113522985e-13,-3.7966437627546083e-13,-1.0559304714363576e-15,5.172011683554208e-15,1.6590629893475833e-15,9.2729142307609434e-17
0.0075,5.6766471196907553e-11,-3.9141965531432024e-12,-5.1117651526000841e-12,-4.675687400670299e-13,6.1746493818336697e-15,6.9014055804995338e-15,3.4759302800840324e-16
0.01,1.9925363529134079e-10,-1.5564995584452938e-11,-2.5152530105378391e-11,-4.3393565178391409e-12,-2.0077539063681721e-13,1.6932163321068921e-14,1.2182877462512617e-15
0.0125,4.3763491618102733e-10,-3.5090570066116273e-11,-6.8232740174604487e-11,-1.84601068182118e-11,-1.7916721128047217e-12,-4.413410132472162e-14,3.4000684852841733e-15
0.015,6.8284480226318215e-10,-5.5496193115494869e-11,-1.2807505827723518e-10,-4.8786828594615822e-11,-7.7827666585061378e-12,-6.2098716003288429e-13,6.6820124200953861e-15
0.0175,7.7344997592162111e-10,-7.1415460257574285e-11,-1.8951411509070108e-10,-9.3880777182649912e-11,-2.2000683970639026e-11,-3.0378170868651179e-12,2.395392907200682e-15
0.02,5.8122894481893505e-10,-8.1017222535644173e-11,-2.3148225734446687e-10,-1.4402309543603572e-10,-4.5682749635314914e-11,-9.7473597850783545e-12,-6.1872426186831947e-14
0.0225,2.2609618311771442e-10,-7.3448074714896378e-11,-2.1839478198598153e-10,-1.8182776400631326e-10,-7.5326964639508097e-11,-2.2826927908059874e-11,-3.2049680821524661e-13
0.025,-8.5080600680700978e-11,-4.199226307875722e-11,-1.287579532785577e-10,-1.7926879835472682e-10,-1.0252297932596624e-10,-4.2448206055777116e-11,-1.0361647192031728e-12
0.0275,-2.7276429005969812e-10,-1.2984080256475851e-11,-1.5832057125260694e-11,-1.1608409638128684e-10,-1.1319580879967855e-10,-6.553184782952455e-11,-2.5626743783194339e-12
0.03,-3.2551788894405224e-10,-8.525893489693133e-13,5.6237067420482166e-11,-1.4213128194264415e-11,-9.1256872721846898e-11,-8.4904416137172022e-11,-5.1590030830653699e-12
0.0325,-2.6810416701437993e-10,-2.2039382055570177e-13,7.8640448295581928e-11,7.5653721077952571e-11,-3.3454192212190039e-11,-8.9613351783065781e-11,-8.6551537048204237e-12
0.035,-1.5167844658438189e-10,-4.6766314518269294e-12,6.7020958241038274e-11,1.2041319988809465e-10,4.0199346097655933e-11,-6.8743600288535588e-11,-1.2195918185801619e-11
0.0375,-2.1757535898836761e-11,-1.1745803863022178e-11,3.3897513848375668e-11,1.1796196229780819e-10,9.7662802504020926e-11,-1.9581511409579768e-11,-1.4251707039049936e-11
0.04,8.9434279816082579e-11,-2.0273116706863209e-11,-9.9099644632935211e-12,8.0826305034042179e-11,1.1747739342240066e-10,4.5602100428714987e-11,-1.2914501037219393e-11
0.0425,1.5951165671150134e-10,-2.9930950464518278e-11,-5.4399283521440474e-11,2.4069679057348354e-11,9.7801022108800562e-11,1.0291938821779783e-10,-6.5888679609386671e-12
