Physical Time (s),enthalpy_storage_vol Monitor (J): cv1,enthalpy_storage_vol Monitor (J): cv2,enthalpy_storage_vol Monitor (J): cv3,enthalpy_storage_vol Monitor (J): cv4,enthalpy_storage_vol Monitor (J): cv5,enthalpy_storage_vol Monitor (J): cv6,enthalpy_storage_vol Monitor (J): cv7
0.0025,5.4755109001438261e-07,8.2147660232530915e-11,-1.1987623938038171e-11,1.0856149968280523e-12,1.9801048140451774e-13,9.3031860514076748e-14,8.0141836536955995e-14
0.005,6.8543267421327461e-07,5.1759196559784813e-09,-1.2867274570597664e-10,4.7768836290398819e-13,6.2488615406384199e-13,1.0856670444609723e-13,-7.5438708658339423e-14
0.0075,7.2937597599328297e-07,1.0961388120668909e-08,-1.4631535631923394e-10,-3.1978808296521301e-11,-4.5287263194151337e-13,-3.0399621113274702e-12,-5.4117570129940367e-12
0.01,7.4200408535971779e-07,1.431077917750472e-08,3.8623661287686132e-10,-1.7828475653045874e-10,-1.9337316275073978e-11,-2.3677285531952836e-11,-3.7231722243537497e-11
0.0125,7.4443473537473238e-07,1.5925639604108723e-08,1.4555823075875646e-09,-4.3824927639865363e-10,-9.4676872103632968e-11,-7.4118452231627848e-11,-1.0870626236304433e-10
0.015,7.4232834002106589e-07,1.7189787346449077e-08,2.2267778725398666e-09,-6.1705677103680816e-10,-2.5913011975776236e-10,-1.3597278809295308e-10,-1.6815951469630951e-10
0.0175,7.3930452537205696e-07,1.817038867084719e-08,2.405323480248822e-09,-5.5959666608457248e-10,-4.7862542612729541e-10,-1.8719464044831348e-10,-1.2644745575804622e-10
0.02,7.3834985084476753e-07,1.8212454865648942e-08,2.6127810368827631e-09,-2.5832338030448421e-10,-5.7564704067574454e-10,-2.2036089698681463e-10,1.1412536535204202e-10
0.0225,7.3922221067321008e-07,1.846237599599381e-08,3.0456185931698477e-09,5.6330849323634589e-11,-4.8098335303101916e-10,-2.75400519933911e-10,4.5732917656734468e-10
0.025,7.4013698578019954e-07,1.9521730443078356e-08,3.4591286846483201e-09,6.4322393749202225e-10,-2.4062144917059948e-10,-3.1203372655173898e-10,8.2565709308261706e-10
0.0275,7.398046943170442e-07,2.0828012939056628e-08,3.1878030400901722e-09,1.2446925515934484e-09,-2.5278581692942844e-10,-1.0459460464421594e-09,-3.1846033499455095e-11
0.03,7.3990383229981041e-07,2.2170359390704212e-08,2.5384292048834544e-09,1.5424995587619072e-09,-1.7313083857108423e-10,-2.0296064853395299e-09,-1.5848308559118101e-09
0.0325,7.4202618806278057e-07,2.377967763208155e-08,2.03639504065875e-09,1.3359253360008494e-09,3.5711284993453114e-10,-2.5377010694095912e-09,-2.8830524958866213e-09
0.035,7.461061221363828e-07,2.5853505188679456e-08,1.7539140527467929e-09,8.5276350085823849e-10,1.0251530023797697e-09,-2.2660122115766735e-09,-3.6419202766066708e-09
0.0375,7.5130137649187068e-07,2.8420666020643317e-08,1.6418961672870775e-09,4.8492723466067902e-10,1.3348942371804263e-09,-1.1984258887885771e-09,-3.8234147986041894e-09
0.04,7.5612499685355975e-07,3.1282396708460881e-08,1.5677427139547593e-09,1.5020160110609904e-10,1.0574208031668249e-09,-7.9099104825817073e-12,-3.9947062781983441e-09
0.0425,7.6009178511593678e-07,3.4432804899287454e-08,1.7114641943314778e-09,-8.2660927356939486e-11,6.7501014267194737e-10,1.0951495041210971e-09,-3.7414947235697397e-09
0.045,7.6290749472006494e-07,3.7868571639636849e-08,2.1156805497129634e-09,-1.1482585901301194e-10,4.7432096590108406e-10,1.898925675827751e-09,-2.8259750470684192e-09
0.0475,7.6404653089038645e-07,4.1454444612719253e-08,2.493288730073053e-09,-9.2494949934177513e-11,2.3905689315076135e-10,1.8897571061259886e-09,-1.9346094740516197e-09
0.05,7.6416853773133251e-07,4.5319253648072539e-08,2.9122463421614688e-09,1.4291506056723254e-10,1.3832688511614625e-10,1.5300323740075229e-09,-7.9729958821060212e-10
0.0525,7.6351903676159781e-07,4.9479553639981186e-08,3.2151638319721663e-09,4.4831538436545334e-10,1.5225089081720957e-10,9.6139381875029448e-10,4.2035035034900787e-11
0.055,7.6231593580425713e-07,5.3967117616509831e-08,3.2712589394463308e-09,6.5386993828065968e-10,2.2155568674586143e-10,2.7202135080551941e-10,1.2718731915726977e-10
0.0575,7.6104423952535701e-07,5.8895102170444759e-08,3.1494009937221432e-09,7.4975747030925678e-10,3.6444166098288908e-10,-2.4807040134810725e-10,-3.3216206624963965e-10
0.06,7.6010681515125826e-07,6.4325489265741184e-08,2.9550074285794869e-09,7.3651509379687596e-10,5.4501694710210818e-10,-4.5578236854619545e-10,-1.0504075587828957e-09
0.0625,7.5968412826047462e-07,7.02064488294854e-08,2.7183935046535097e-09,5.6446028071476029e-10,6.3646896246208996e-10,-4.9288519406148195e-10,-1.9378418362115698e-09
0.065,7.5999206786191187e-07,7.6474649914471049e-08,2.5189877262089938e-09,2.9496123471021594e-10,6.0682049992634053e-10,-4.1588989618689349e-10,-2.6992323571474227e-09
0.0675,7.6098736972324917e-07,8.3025383469998985e-08,2.3935169391371619e-09,1.0949192699626154e-13,4.5962190553569893e-10,-3.1919089212015996e-10,-3.1231988215030801e-09
0.07,7.6237801948038085e-07,8.9736990666524371e-08,2.3531593839423042e-09,-2.656369668445074e-10,2.3178399171765909e-10,-3.0549425766017721e-10,-3.0430334785970345e-09
0.0725,7.637004739059513e-07,9.6471977817578331e-08,2.382787155800569e-09,-5.0020451703384071e-10,-4.9507872681158786e-11,-4.6017021383133783e-10,-2.4188718268072078e-09
0.075,7.6461050683821136e-07,1.0312731594427173e-07,2.4858894616340801e-09,-7.0088499935758683e-10,-3.442468671163288e-10,-7.5461914925918249e-10,-1.2501823881946945e-09
0.0775,7.6497567505447326e-07,1.0963695305139463e-07,2.6548074154578631e-09,-8.6393786401153687e-10,-6.2746529935298031e-10,-1.1078348727941922e-09,2.2703674899760529e-10
0.08,7.64969473939829e-07,1.1599458561434855e-07,2.8814426752298933e-09,-9.5540021284193588e-10,-8.5530123805535967e-10,-1.3807505874991933e-09,1.6054715462865692e-09
0.0825,7.6479977125299094e-07,1.2221570789624059e-07,3.1131845715086398e-09,-9.7992273740765015e-10,-1.0121875852791791e-09,-1.5148649135787482e-09,2.3711804738358349e-09
0.085,7.6458382587547964e-07,1.2833367073550289e-07,3.2851589826411288e-09,-9.7691327930545141e-10,-1.0941091483515479e-09,-1.4987465991057567e-09,2.2583862943367238e-09
0.0875,7.6434215444975846e-07,1.3439414158426039e-07,3.3684195161255958e-09,-9.8255269295870829e-10,-1.08739029231959e-09,-1.3211236607256949e-09,1.3728312973728127e-09
0.09,7.6404028507949407e-07,1.4044494874987301e-07,3.384983949176524e-09,-1.0022066771691899e-09,-9.7080685455814331e-10,-9.6473159439595819e-10,9.9905936169736273e-11
0.0925,7.6361863235517639e-07,1.4652445379035993e-07,3.3833983460474734e-09,-1.0127074434513157e-09,-7.3653698645512519e-10,-4.7994465122553098e-10,-1.1456274263880838e-09
0.095,7.6303736446245199e-07,1.5266733434155902e-07,3.4166030349781053e-09,-9.721690299133524e-10,-4.0713576297936527e-10,-7.9773404145033558e-12,-2.0875322666898185e-09
0.0975,7.6228956537674505e-07,1.5891740540884132e-07,3.5296566924812853e-09,-8.4549879774025326e-10,-4.4617507441721994e-11,2.7542945779740267e-10,-2.6510194423964686e-09
0.1,7.6136798443905967e-07,1.6532399855888144e-07,3.7488510942414861e-09,-6.3490222497095959e-10,2.5339322209046161e-10,2.5396512767634561e-10,-2.8681091733502471e-09
0.1025,7.6027081981811479e-07,1.7194099019878016e-07,4.0916424476562471e-09,-3.7884701308045618e-10,4.0124695888729048e-10,-4.032938318369672e-11,-2.7917128452351334e-09
0.105,7.5905915273035058e-07,1.7882655479978448e-07,4.5837602173218854e-09,-1.1188655592055679e-10,3.8468644966889537e-10,-4.080968891458041e-10,-2.4468407613532591e-09
0.1075,7.5777287395747655e-07,1.8600591440992486e-07,5.2054324189296054e-09,1.1782621085776806e-10,2.4093098542396197e-10,-6.7319029094739733e-10,-1.9761181202410689e-09
0.11,7.564447810836787e-07,1.9346709173031316e-07,5.8884238352286477e-09,2.6857798265161975e-10,3.6511269607721435e-11,-7.6630476971877212e-10,-1.5973156337708606e-09
0.1125,7.5512017628189426e-07,2.011705774902021e-07,6.5453209353371597e-09,3.3153312975658574e-10,-1.4696590362877359e-10,-6.9735104888000676e-10,-1.4645953155031173e-09
