Physical Time (s),ep_bot Monitor (W): bot_cv1,ep_bot Monitor (W): bot_cv2,ep_bot Monitor (W): bot_cv3,ep_bot Monitor (W): bot_cv4,ep_bot Monitor (W): bot_cv5,ep_bot Monitor (W): bot_cv6,ep_bot Monitor (W): bot_cv7
0.0025,3.2601879703346475e-14,2.6792389862446436e-17,2.1132256247603205e-17,2.1431582592528336e-17,1.7911439551065034e-18,1.7412700052976884e-19,1.2153399122785965e-21
0.005,2.8672111578743349e-11,2.1632785917619365e-13,1.8181876269449192e-13,3.3982683256647748e-16,7.6366286998585537e-17,7.3293971780319553e-18,4.5482537676751632e-20
0.0075,1.4294686530274068e-09,2.1241430603369408e-11,2.8855512579709523e-11,4.977224396619666e-13,3.3066576212298452e-16,1.4079326299456367e-16,8.1765792012521185e-19
0.01,1.4670748060317608e-08,3.4040235580518208e-10,6.6859971568612473e-10,3.5976982271543166e-11,1.5508665821626381e-13,7.3315956032536267e-16,1.0306227286187568e-17
0.0125,5.7019007188770743e-08,1.912707503917073e-09,4.9062470156070945e-09,5.8877173435340253e-10,9.6180949454872131e-12,2.3305280921605409e-14,7.1587523847496451e-17
0.015,1.1496920523648836e-07,5.4837621337616844e-09,1.7100325984498346e-08,3.8701818241106639e-09,1.6137255245233083e-10,1.7544215449277901e-12,2.3128553015355648e-16
0.0175,1.2636494565367681e-07,8.7977954806897926e-09,3.3399336609216167e-08,1.3297545703091586e-08,1.1877119750731458e-09,3.2990345600473703e-11,2.8576339108848834e-16
0.02,5.4578824461669397e-08,5.9298387405146495e-09,3.4231656895645036e-08,2.6432149187566641e-08,4.7503577013364834e-09,2.9038691901485182e-10,6.1334174715830253e-14
0.0225,-4.5544996975104662e-09,-1.7354530471371581e-09,9.653714865738998e-09,2.9736963628774714e-08,1.1341847647829075e-08,1.3675897252486815e-09,1.2301363394863399e-12
0.025,1.7724837313581777e-08,-3.1764871723586253e-09,-1.0132679427660004e-08,1.4457094376613474e-08,1.6719278163224266e-08,4.0768767152718678e-09,1.1007866528704908e-11
0.0275,4.2960757731079942e-08,-4.5589314397241086e-10,-3.7632663734571035e-09,-3.1654169782139163e-09,1.4005470709930799e-08,8.1822438197057666e-09,6.1575693026802252e-11
0.03,1.8744769443477076e-08,4.4443049388651927e-10,8.8072480441512155e-09,-1.9131147344291018e-09,4.3106413743627301e-09,1.1129528998318421e-08,2.3628323316755291e-10
0.0325,-1.4525746879667905e-08,1.3684362486184725e-10,1.0500349024950145e-08,1.2285786785682547e-08,-8.0727735446901077e-10,9.9399632364948925e-09,6.4854896282716542e-10
0.035,-1.948638241533614e-08,-2.2213577686183688e-10,5.0982296049620794e-09,1.9136772413840652e-08,5.5316788592253705e-09,5.5914926606815596e-09,1.2796860691852362e-09
0.0375,-1.7659497611949197e-09,-4.7096521287590437e-10,6.9357280414863438e-10,1.2978224588453531e-08,1.5275773812213753e-08,3.4149464915829999e-09,1.7625578714231593e-09
0.04,1.2857172567246137e-08,-6.7159540968532991e-10,4.147703573241693e-11,3.806350746776739e-09,1.6841846429794262e-08,7.1735555228638859e-09,1.5423810036357346e-09
0.0425,8.7902317017240304e-09,-1.0826151414414958e-09,9.0002172030072065e-10,2.3830280558305054e-10,9.9699224399798188e-09,1.4077176894316461e-08,6.0343550204897017e-10
0.045,-7.2446284761266522e-09,-2.0875748511395202e-09,-2.3511040375764216e-10,1.1055518359957277e-09,2.9328827061321276e-09,1.7747494002064605e-08,3.457817555086611e-11
0.0475,-1.9531448682984389e-08,-3.5326104798104151e-09,-4.3371580831265513e-09,1.0077962489636298e-09,5.2684974681911988e-10,1.5048502653408178e-08,1.0722600246174418e-09
0.05,-2.159201372093463e-08,-4.3901987974425499e-09,-9.1987871288939119e-09,-2.1846389873095966e-09,7.8700834142071321e-10,8.4223477772735296e-09,3.2040476516358555e-09
0.0525,-1.7577353044910209e-08,-3.572760792648409e-09,-1.1515195631994253e-08,-6.4737772852268139e-09,2.9038895741917507e-10,2.6129330917170312e-09,3.887157213238866e-09
0.055,-1.273845628644067e-08,-1.3725752127416723e-09,-9.5146788038371383e-09,-8.85477423253434e-09,-1.7838346041235293e-09,3.1031872438235078e-10,9.3910052607904776e-10
0.0575,-8.2245128067334928e-09,2.5858916119891699e-10,-4.6540672473345012e-09,-7.8670674271943636e-09,-3.9850343012633595e-09,3.6569168241144453e-10,-4.7999173704836581e-09
0.06,-3.0566622251009482e-09,-3.0144405029794575e-10,-7.697621017116111e-10,-4.3468266269548533e-09,-4.6172997006069732e-09,-1.2025747522596142e-10,-9.7441165519077343e-09
0.0625,2.6040509388686456e-09,-2.3148812407183769e-09,-7.2548148346414487e-10,-8.3710089417350377e-10,-3.1152970324302972e-09,-2.3075117509689566e-09,-1.0803123500272231e-08
0.065,6.9277327714894948e-09,-3.4305405742767958e-09,-3.5637382254938068e-09,2.5720170617056562e-10,-3.8265063452277847e-10,-4.2220963165956715e-09,-8.1282533899696226e-09
0.0675,8.2508431738609373e-09,-2.4866427234315903e-09,-5.6574877162311892e-09,-1.3120136910868967e-09,1.8657751817487448e-09,-2.9010401512749349e-09,-4.4332835204237743e-09
0.07,6.6623797848902828e-09,-6.6420821875654525e-10,-4.7308879642239085e-09,-3.4191162892754637e-09,2.4428379281879532e-09,2.4488607854907198e-09,-2.0147389376949502e-09
0.0725,3.7990992513511226e-09,2.0811778868072822e-10,-1.9923509676870926e-09,-3.6912928282218615e-09,1.6355468844623743e-09,9.3725252668314701e-09,-1.0680823801286067e-09
0.075,1.5160526201082521e-09,-2.8005895162148254e-10,-2.565256203554311e-10,-1.9185141943215138e-09,7.4671102324001848e-10,1.3860655419972483e-08,-7.2101456639783488e-10
0.0775,7.9550087190676902e-10,-1.1222198208463728e-09,-8.4709816181870058e-10,-2.0147716867337758e-10,5.6953622328952451e-10,1.3096690190603192e-08,-7.6228261097756228e-10
0.08,1.4667469162630752e-09,-1.2973891738423338e-09,-2.7615333274219827e-09,-7.054111565989023e-10,5.0066372879682276e-10,7.3998316815323965e-09,-1.6938906553908908e-09
0.0825,2.5696670909991295e-09,-7.4219609059010696e-10,-4.2679064471401435e-09,-3.3804910844161403e-09,-4.3743342716331487e-10,2.3698482780586553e-10,-3.3453134619547271e-09
0.085,3.1201784002124661e-09,-7.3446385264880864e-11,-4.5687449501533047e-09,-6.0689597110200558e-09,-1.8886320128184653e-09,-3.7075523122024207e-09,-4.3149278365577156e-09
0.0875,2.7424542395927273e-09,1.6890050979705786e-10,-3.887434818003361e-09,-6.5038012246761106e-09,-2.1289652812393879e-09,-1.4176514207375652e-09,-3.1992293362989986e-09
0.09,1.720413625259076e-09,-8.0160817527157058e-11,-2.7600721305847478e-09,-4.1757120331459358e-09,2.0689155648424955e-11,6.4483697753156265e-09,1.1587496695580841e-12
0.0925,5.3998594156709266e-10,-5.5531396040255208e-10,-1.5651791193493029e-09,-6.0641615781054258e-10,3.5355332255011568e-09,1.5670639928196848e-08,3.9921701303994607e-09
0.095,-4.678871389438072e-10,-9.6799304456293483e-10,-5.6332793079062858e-10,1.9253119207522212e-09,5.8316180030285782e-09,2.1164207983752707e-08,7.540391851445829e-09
0.0975,-1.0836200448510253e-09,-1.167893282443161e-09,5.8261478180058893e-11,2.0861215138958757e-09,5.0806435138112509e-09,2.0303453727491352e-08,1.0234744817412734e-08
0.1,-1.0606566841471929e-09,-1.1288009001034182e-09,2.7210876370627953e-10,3.3395586870216578e-10,1.8163989334818998e-09,1.4262744185517137e-08,1.1749279455277439e-08
0.1025,-2.3511189624640887e-10,-8.9260267499463266e-10,2.7476743321857564e-10,-1.6444185813152909e-09,-1.6978288990038987e-09,6.4979670208171622e-09,1.0974990228810622e-08
0.105,1.1738965272906713e-09,-5.3459139454476934e-10,3.51044357506784e-10,-2.3424146452790191e-09,-3.4636101974559806e-09,5.7179847908811783e-11,6.8304792653002096e-09
0.1075,2.4394892165388729e-09,-1.608513489070602e-10,6.5744462820403714e-10,-1.5148667676614521e-09,-3.1271124546925471e-09,-3.9076908999731043e-09,9.2725961646301533e-11
0.11,2.641957433345617e-09,1.1856227404284864e-10,1.1003845039646947e-09,-1.0043146289442963e-10,-1.7421307305855239e-09,-5.7675959376198915e-09,-6.1021074983209923e-09
0.1125,1.265292639575991e-09,2.3575783713643655e-10,1.4122301089790503e-09,7.7089855047236019e-10,-5.4195108189688896e-10,-6.1256145455147969e-09,-8.330277462800543e-09
0.115,-1.3685403609719232e-09,1.9347821705007822e-10,1.3524493201530957e-09,6.6847594867651154e-10,-4.9727346473841139e-11,-5.1684878127604144e-09,-5.7100589158591593e-09
0.1175,-4.1271526439267036e-09,5.5382044053629083e-11,9.0100093918197053e-10,-2.3508854573883268e-11,-6.8688275548701732e-11,-3.0932708173880055e-09,-7.62233851915901e-10
0.12,-5.6472383949988122e-09,-8.3725658728625499e-11,2.8558797990126963e-10,-6.4535586698813534e-10,-1.9508620713625775e-10,-7.5009520465087701e-10,2.5894892890156657e-09
0.1225,-5.1005834254149961e-09,-1.4186810594788744e-10,-1.9104467783002381e-10,-8.3311009800342378e-10,-2.3093860867177284e-10,4.9148664507492485e-10,2.0245748310597933e-09
0.125,-2.687208219625775e-09,-9.9499850120553493e-11,-3.8111914700932721e-10,-6.6053813615114129e-10,-2.320186145450466e-10,-3.7563870776264338e-10,-1.7070445412099048e-09
0.1275,4.1901325566911628e-10,-2.4799236941629606e-11,-3.6730464929186334e-10,-3.9813308245659037e-10,-3.2875029253285178e-10,-3.1127228512352504e-09,-5.7894834321229271e-09
0.13,2.7089168640021499e-09,-2.2766604346804978e-11,-3.1117957770097039e-10,-2.2764176682651719e-10,-5.5821467728082049e-10,-6.1775274994154024e-09,-7.6953881996095609e-09
0.1325,3.2719007751539545e-09,-1.0819561674779627e-10,-2.3618966407622625e-10,-1.6414138998689834e-10,-8.3433037845408711e-10,-7.6977332891217807e-09,-6.9083635946158167e-09
0.135,2.3240922041982852e-09,-1.2790381157770933e-10,-9.6381859064013066e-12,-1.8446335820046424e-10,-1.0357954953769921e-09,-6.7061436196312426e-09,-4.6622018808906146e-09
0.1375,9.7360186354827917e-10,1.5125995108843782e-10,4.4009659463497976e-10,-3.5667723260631125e-10,-1.1031773563406964e-09,-3.6381455899303199e-09,-2.3876605992670942e-09
0.14,3.6945634253030456e-10,8.2857082950593344e-10,9.2893762366517737e-10,-8.0583965924358595e-10,-1.0744668901593955e-09,7.4079742511025485e-11,-4.3556465735035089e-10
0.1425,8.5604479786785259e-10,1.7227811087614055e-09,1.1023186027010064e-09,-1.5538749502624961e-09,-1.0387848958438324e-09,2.9619300051950325e-09,1.8255305551511603e-09
0.145,1.7836020723749115e-09,2.4504059953195631e-09,7.3829381061615718e-10,-2.4082686418595882e-09,-1.0554207996576774e-09,4.2659218040257679e-09,4.7913324256731788e-09
0.1475,2.077268685894921e-09,2.6932844042221248e-09,-2.094241310769513e-11,-3.0178443706893428e-09,-1.1047361578296583e-09,4.0818838313537285e-09,7.6851841485881787e-09
0.15,1.0633575422956141e-09,2.4072117445711985e-09,-7.3972169708736257e-10,-3.0753243135952008e-09,-1.1043643205321248e-09,2.9949601149044664e-09,8.9174865226315665e-09
0.1525,-1.1001245410693194e-09,1.8098930636685907e-09,-1.0092984657637064e-09,-2.509546208006906e-09,-9.6956861607424925e-10,1.6192105211233223e-09,7.4412396443276533e-09
0.155,-3.6339208762856948e-09,1.1867712943201505e-09,-7.343145922284346e-10,-1.5213221725938409e-09,-6.7381476253950515e-10,3.7821946751112405e-10,3.8600538643824558e-09
0.1575,-5.6838607998095633e-09,7.1156795766865179e-10,-1.4634534373355149e-10,-4.5646548601480469e-10,-2.669833494080595e-10,-4.5712388917451757e-10,2.0707529637569641e-10
0.16,-6.7412247625564589e-09,4.0730224963546727e-10,4.1516365048461014e-10,3.8554068072429488e-10,1.5528266039022043e-10,-6.8617513169801488e-10,-1.473621131781381e-09
0.1625,-6.730963109150965e-09,2.2151336270651632e-10,7.2823337986951457e-10,8.666133437178235e-10,4.9842498675436136e-10,-2.268512564973298e-10,-5.5004077261849825e-10
0.165,-5.8699141275214749e-09,1.0030635631982842e-10,7.6128389468473589e-10,1.0104237623852027e-09,7.0504313316064478e-10,7.3334128834577726e-10,1.8536808857910505e-09
0.1675,-4.4730237725045957e-09,1.1832498279430995e-11,5.9730278752092504e-10,9.2321323312484338e-10,7.6436712967088547e-10,1.6811474280557801e-09,3.7538579132276878e-09
0.17,-2.8171052871576832e-09,-6.0802631164473491e-11,3.3464988853583805e-10,7.1904888809428126e-10,7.0202706481648249e-10,1.9735338448882512e-09,3.6707272072242027e-09
0.1725,-1.0820879048915442e-09,-1.2530614595196789e-10,4.5989430328864052e-11,4.875363992532917e-10,5.5991237354992852e-10,1.2151882504492725e-09,1.4754477714235097e-09
