Physical Time (s),ep_left Monitor (W)
0.0025,4.2206283048460604e-13
0.005,2.7837625348769339e-10
0.0075,1.1452199895010266e-08
0.01,1.0653938479878131e-07
0.0125,3.9549681438855016e-07
0.015,7.6185557249230936e-07
0.0175,7.0870780697222551e-07
0.02,1.7260420878945876e-07
0.0225,3.4734130359944104e-08
0.025,5.0562670827102056e-07
0.0275,6.4771572040994893e-07
0.03,2.4184575159928121e-07
0.0325,-1.0394805517027137e-07
0.035,-1.6101830126536227e-07
0.0375,-6.2073786397681329e-08
0.04,2.3997215871030911e-08
0.0425,7.8309024711785685e-09
0.045,-7.7023144902089911e-08
0.0475,-1.2590458542539616e-07
0.05,-9.7098139698070651e-08
0.0525,-4.0339187622909192e-08
0.055,-7.7491535593137383e-09
0.0575,-1.4060747858061041e-09
0.06,-3.9336085955828985e-09
0.0625,-5.9104228752536732e-09
0.065,-2.4683473127752016e-09
0.0675,8.3525061536489263e-09
0.07,2.1999819113212402e-08
0.0725,3.078226521250209e-08
0.075,3.0413581650208072e-08
0.0775,2.2029983796450367e-08
0.08,1.0132177422210376e-08
0.0825,-1.1928312774116306e-10
0.085,-5.2429121879185031e-09
0.0875,-4.7958518243939296e-09
0.09,-1.304352291837407e-09
0.0925,1.5721789358069008e-09
0.095,1.7546548906347271e-09
0.0975,1.6696964786600584e-10
0.1,-3.755725281751896e-10
0.1025,2.2899061018272982e-09
0.105,7.9772468187436696e-09
0.1075,1.4450955148602336e-08
0.11,1.9005225207877641e-08
0.1125,2.0010295788247246e-08
0.115,1.7463805592687847e-08
0.1175,1.2634736063763369e-08
0.12,7.1701379506364303e-09
0.1225,2.3733423041382054e-09
0.125,-1.0990588197127748e-09
0.1275,-3.1090046169426224e-09
0.13,-3.8077698387002764e-09
0.1325,-3.4987034310361997e-09
0.135,-2.5285262613825191e-09
0.1375,-1.2426832918549257e-09
0.14,7.8531987791237356e-11
0.1425,1.2769787178798413e-09
0.145,2.2850444503044608e-09
0.1475,3.02136111797375e-09
0.15,3.3226321359627508e-09
0.1525,2.9560506957016086e-09
0.155,1.7137120686839496e-09
0.1575,-4.7616960603973162e-10
0.16,-3.4848194104079634e-09
0.1625,-6.9727770071429286e-09
0.165,-1.0400920634795256e-08
0.1675,-1.3027187182471902e-08
0.17,-1.3916298197958554e-08
0.1725,-1.206358580704586e-08
0.175,-6.73604135340796e-09
0.1775,2.0392487804794102e-09
0.18,1.3080499036341418e-08
0.1825,2.4104433611267975e-08
0.185,3.2409062696098243e-08
0.1875,3.5865035919876476e-08
0.19,3.3749217855367182e-08
0.1925,2.6968391864912674e-08
0.195,1.7593019781642513e-08
0.1975,7.9910875309227724e-09
0.2,1.1223853208548986e-10
0.2025,-4.9322085225129374e-09
0.205,-6.9204801588860929e-09
0.2075,-6.334770106534705e-09
0.21,-4.0539211182639386e-09
0.2125,-1.0786080553716677e-09
0.215,1.6291681829746178e-09
0.2175,3.2773832485149361e-09
0.22,3.3688641302738583e-09
0.2225,1.7782712758151012e-09
0.225,-1.2916153540072702e-09
0.2275,-5.4350675054866662e-09
0.23,-1.0136220262783685e-08
0.2325,-1.4756473930442083e-08
0.235,-1.8553472196500737e-08
0.2375,-2.0720161757837252e-08
0.24,-2.0503373357493284e-08
0.2425,-1.7424259333397565e-08
