Physical Time (s),ep_right Monitor (W): right_cv1,ep_right Monitor (W): right_cv2,ep_right Monitor (W): right_cv3,ep_right Monitor (W): right_cv4,ep_right Monitor (W): right_cv5,ep_right Monitor (W): right_cv6,ep_right Monitor (W): right_cv7
0.0025,9.2462467311788807e-07,3.9281366539612708e-10,-2.2944035735186816e-16,1.361137669587486e-16,5.259324971708158e-18,3.4525068637268433e-20,8.6261579728624437e-23
0.005,4.7413163992421503e-06,6.1038139242248586e-08,6.5535174676140759e-12,2.275309744630576e-15,2.2378251758716218e-16,1.1552624268379383e-18,1.9919682070333578e-21
0.0075,2.8413526711019713e-06,4.0193158347728562e-07,1.2261564755944793e-09,2.3772726631503461e-13,3.3348950837078978e-15,2.0798454974656313e-17,2.7678503288803236e-20
0.01,-4.3171843642409642e-07,9.9277008892756457e-07,2.5775647651795544e-08,6.6970574003192204e-11,1.2758325285821809e-15,2.7415397758974368e-16,2.2992281889982944e-19
0.0125,2.5279646805068575e-07,1.1780111029733e-06,1.4962526490825921e-07,2.1028236443707033e-09,4.7079573539909067e-12,2.0238796968349474e-15,1.5281288478350009e-18
0.015,8.0432207587505312e-07,3.378844443990192e-07,3.9484270560791716e-07,2.1252282902832197e-08,2.016835543519884e-10,4.4030419892571805e-15,8.0651040231871703e-18
0.0175,7.2150987717430894e-07,-7.5008383481266934e-08,5.3948101007679288e-07,9.6850333959543792e-08,2.8371636453561829e-09,5.7746162892633869e-14,3.6647074708273473e-17
0.02,3.6230527042934688e-07,6.6824361498755798e-07,2.8006858535943747e-07,2.310690973400864e-07,1.9015269128136142e-08,6.0859315851568245e-12,3.6076337049057221e-17
0.0225,2.7320272432939758e-08,8.8920588247479442e-07,-1.8266325882058938e-08,2.9449900488283993e-07,6.8493897754794356e-08,1.0578123602326832e-10,2.8933653070940815e-17
0.025,-5.9184885092045466e-08,3.6109147205483544e-07,2.1897418400559962e-07,1.5485608033098031e-07,1.4516131634039863e-07,9.2143436599426024e-10,8.1373874431531298e-15
0.0275,1.9299456346695594e-08,5.1204201275808057e-08,6.5267250735349239e-07,-5.2406235753131771e-09,1.7483680193983291e-07,4.9986100831042491e-09,1.9208879564384112e-13
0.03,1.2693898747779959e-07,3.9569747269795821e-08,5.2983098421681168e-07,1.2846455490176311e-07,9.2704566970024351e-08,1.8081824559419376e-08,2.5174641898134199e-12
0.0325,1.8871946939335457e-07,1.0460258678673698e-07,1.5616148659719119e-07,4.2837265227551017e-07,-7.5766380580713755e-10,4.4823159338542001e-08,2.2388093757659259e-11
0.035,1.8194114820994432e-07,1.2201544770587388e-07,1.9283050192369197e-08,4.4003510244908753e-07,7.1522672025511361e-08,7.5310416753001468e-08,1.455580016946413e-10
0.0375,1.2456576603189916e-07,9.3653937359567877e-08,6.5822060091322193e-08,1.7611398458300225e-07,2.6564394603181727e-07,7.9714903298362977e-08,7.1874409426865352e-10
0.04,5.4282267618695177e-08,4.7163931576132593e-08,9.8271411819512306e-08,1.266631927969491e-08,3.1780505093878583e-07,4.1064214977757274e-08,2.7469055950373665e-09
0.0425,3.6800263602895129e-10,7.5899437981347416e-09,7.2397246595382121e-08,3.736400688452408e-08,1.6056176554612558e-07,9.7807342060565404e-10,8.1611647750271632e-09
0.045,-3.0717196952576137e-08,-8.9665955192042985e-09,2.9347811988400108e-08,8.3667170602115924e-08,1.9341439631307538e-08,2.8385311965364892e-08,1.8683839174619179e-08
0.0475,-5.2212424650537127e-08,3.1951547896586446e-10,2.9734347153233256e-09,6.4876307805761538e-08,1.7442898143645224e-08,1.1415764726134638e-07,3.2073805239317149e-08
0.05,-8.0052452116463092e-08,2.2675576275255282e-08,3.9321415099891949e-09,2.1205540445965425e-08,5.8847306176084342e-08,1.5953935348643662e-07,3.8506284494427874e-08
0.0525,-1.1447596423402864e-07,3.72856276079106e-08,2.6949078099270416e-08,-9.9877747522845459e-12,5.0728551591883929e-08,1.1066945201431676e-07,2.5084277563765867e-08
0.055,-1.3696856115593017e-07,3.1212914255153629e-08,5.5780477968608126e-08,1.1019032882129972e-08,1.4234680257740316e-08,3.2897083830482456e-08,-7.9376223823404782e-09
0.0575,-1.2365680666817799e-07,1.0099992721071561e-08,7.0204146754887963e-08,4.0837553750929533e-08,-8.1365583009368358e-10,4.3504211445782036e-09,-3.4991500646985688e-08
0.06,-6.3104311140949059e-08,-7.3915244137502646e-09,5.8935726702685633e-08,6.8799366901535319e-08,1.6759727752931043e-08,1.3581951933795e-08,-2.1990624214464276e-08
0.0625,3.3957544058866731e-08,-5.1216416998329908e-09,2.9641215246671078e-08,7.659258661908444e-08,4.8307642114041786e-08,1.090675912157529e-08,3.2376107124339271e-08
0.065,1.3498880223852886e-07,1.9486714126849605e-08,4.2835548430295178e-09,5.8200040751075421e-08,7.0661016990928842e-08,-9.1775014616880855e-09,8.1707504661231804e-08
0.0675,2.0068491817964038e-07,5.6069913988030635e-08,1.5730688153440497e-09,2.5817495277863214e-08,6.9537246616427567e-08,-1.9148438488273553e-08,7.58346543589191e-08
0.07,2.0624691710327436e-07,8.9090931256365428e-08,2.3182523740799273e-08,2.4471913915313986e-09,4.5372668316164284e-08,-7.5828140299713884e-09,1.5463943521027843e-08
0.0725,1.5684242554444742e-07,1.0561835005719479e-07,5.4407965746076598e-08,4.386492586727817e-09,1.3395171646622396e-08,1.314010343716767e-08,-5.0599132525561594e-08
0.075,8.2472609902684796e-08,1.0029258164386206e-07,7.6069582352392624e-08,2.8591755657309975e-08,-5.4545347097619716e-09,2.7493981096362688e-08,-7.8120463381757166e-08
0.0775,1.6292203797372921e-08,7.6844917717475368e-08,7.6817744170837696e-08,5.5805896911374811e-08,2.4432909526432724e-10,2.8716644346463667e-08,-6.3466408431587459e-08
0.08,-2.386167595478801e-08,4.5563018665179872e-08,5.7856867682135135e-08,6.5636286732172459e-08,2.3608241588361737e-08,1.6825772774959947e-08,-3.2318702835097172e-08
0.0825,-3.9388906387708314e-08,1.6459432744314821e-08,2.9099683327037109e-08,5.1300967933404516e-08,4.5928521736687421e-08,-4.5241100845359925e-09,-7.3201166772234052e-09
0.085,-4.2184447839211309e-08,-6.4687917060026575e-09,1.263999225071451e-09,2.2156146581864436e-08,5.2474241963940697e-08,-2.7822039895045119e-08,7.311477460490269e-09
0.0875,-4.4752371818838508e-08,-2.4531638832109241e-08,-1.9754848961535124e-08,-4.9295600437461073e-09,4.1969861798282141e-08,-4.1880433175344612e-08,1.62607154403304e-08
0.09,-5.5372713258767586e-08,-3.9687270046061662e-08,-3.3041091400338592e-08,-1.7281668174676076e-08,2.3165709847919344e-08,-3.8203653904411734e-08,2.0348264689903564e-08
0.0925,-7.6300576993429278e-08,-5.1706739440501066e-08,-3.8858905797405509e-08,-1.3635674493117319e-08,4.7810689924572762e-09,-1.9722872389000599e-08,1.5389220415695941e-08
