Physical Time (s),ep_top Monitor (W): top_cv1,ep_top Monitor (W): top_cv2,ep_top Monitor (W): top_cv3,ep_top Monitor (W): top_cv4,ep_top Monitor (W): top_cv5,ep_top Monitor (W): top_cv6,ep_top Monitor (W): top_cv7
0.0025,3.4968432041722348e-14,3.8857707758538165e-17,2.1261663865787979e-17,1.9145245106437221e-17,1.5977138211013039e-18,1.6534564967349746e-19,1.2025395839285503e-21
0.005,2.9149604871786025e-11,2.0305423854724787e-13,1.7642062531725166e-13,3.0524482243065476e-16,6.6051730283714631e-17,6.083768455493832e-18,3.2105089160396504e-20
0.0075,1.4344861994276052e-09,2.0842190696302429e-11,2.8712327119313129e-11,4.9888904828366674e-13,2.7351881968326088e-16,1.0163127662524011e-16,4.5357053449447775e-19
0.01,1.4674680685833106e-08,3.3820217126939993e-10,6.6717002798290551e-10,3.5885116399252516e-11,1.5937105451394561e-13,4.6363004422753763e-16,5.4830240700818881e-18
0.0125,5.6999089049139602e-08,1.9117947763352101e-09,4.9070439639900383e-09,5.8855664263850795e-10,9.6804033525473667e-12,2.5212717830677141e-14,4.2861031838500738e-17
0.015,1.1512910996786043e-07,5.4899555130586893e-09,1.7109366114225614e-08,3.8695578803655469e-09,1.61482709281868e-10,1.7801245547914349e-12,1.3822280510278361e-16
0.0175,1.2674470576972023e-07,8.7867045765975993e-09,3.3395678302762365e-08,1.3301706917882596e-08,1.1875502979543546e-09,3.2991431374599732e-11,3.0313171938710087e-16
0.02,5.4059363960115606e-08,5.8405984095187298e-09,3.4149166961106087e-08,2.6488041430705039e-08,4.7539567054127144e-09,2.9027114409678045e-10,5.7712352154310855e-14
0.0225,-4.8771002453473416e-09,-1.7903354579865947e-09,9.5338213669268712e-09,2.9716227300972226e-08,1.1354627779525184e-08,1.3735271137295558e-09,1.1357962592760162e-12
0.025,1.8023997760969565e-08,-3.1518576472337889e-09,-1.015601744827487e-08,1.4295499369247902e-08,1.6723460635664615e-08,4.1052516775739517e-09,1.0500346130335218e-11
0.0275,4.2341495643665251e-08,-4.7360146421184113e-10,-3.7760490438131648e-09,-3.27797180669106e-09,1.395274964100812e-08,8.2195582871583154e-09,6.0101274275093288e-11
0.03,1.7572913496680318e-08,4.2448503635910061e-10,8.7652128945834752e-09,-1.8873468844683828e-09,4.251598846709517e-09,1.1104323799364173e-08,2.3394649547148794e-10
0.0325,-1.5140141579901861e-08,1.3743392242657765e-10,1.0468430710115449e-08,1.2262235384520486e-08,-8.1683450155631969e-10,9.8200710047777893e-09,6.4681854695785604e-10
0.035,-1.9705853096901751e-08,-2.1821518860737948e-10,5.1052914935044752e-09,1.8972041803194601e-08,5.5319450094058263e-09,5.4678847400099497e-09,1.2838012842889035e-09
0.0375,-1.9513790372617623e-09,-4.8119870831786928e-10,6.8797527246223891e-10,1.2763332181942048e-08,1.5236003710282726e-08,3.4050728131540964e-09,1.7833134641023452e-09
0.04,1.2527877560128502e-08,-6.9158884000729934e-10,3.8584794825223851e-11,3.6964710024178345e-09,1.6746424811315208e-08,7.1809466915742492e-09,1.5820153622308175e-09
0.0425,8.2074754318581463e-09,-1.0977716978666836e-09,9.0708482961056858e-10,2.5041522096823575e-10,9.8717148528619505e-09,1.3854281781982656e-08,6.6426737920508608e-10
0.045,-8.0315688014767459e-09,-2.0890998020384916e-09,-2.7509995735377776e-10,1.0715284462032772e-09,2.872358880825593e-09,1.7265308736466592e-08,1.0120587760957401e-10
0.0475,-2.0281881391405363e-08,-3.5141908093208751e-09,-4.4674269369430235e-09,8.3213621281411265e-10,4.9339055377728062e-10,1.4582368260243335e-08,1.1107984799598691e-09
0.05,-2.212533907960374e-08,-4.3365261601585602e-09,-9.3759383719406316e-09,-2.4343498401247733e-09,7.2218639116674747e-10,8.2013144280000416e-09,3.204391970363252e-09
0.0525,-1.7848353101805521e-08,-3.4650391827442175e-09,-1.1610422257051103e-08,-6.661530524283387e-09,1.6983647511522705e-10,2.552849903151501e-09,3.9072248363437481e-09
0.055,-1.2749256949865989e-08,-1.2466587412855041e-09,-9.427409650088508e-09,-8.9057493375517647e-09,-1.9004766292473522e-09,1.9562802804949608e-10,1.0869617178973345e-09
0.0575,-7.9036455367169513e-09,3.0790927972178548e-10,-4.4460672016264386e-09,-7.7717116468327932e-09,-4.0201058006309051e-09,1.4459323520172927e-10,-4.4465716413297616e-09
0.06,-2.376225541856301e-09,-3.7482224521389642e-10,-6.5359650883255354e-10,-4.1921563934975934e-09,-4.5570117894208756e-09,-2.9978285992470707e-10,-9.2450261121019876e-09
0.0625,3.4543625174102089e-09,-2.4059406210912414e-09,-8.3467400947768078e-10,-7.6984785895836254e-10,-3.0337134000600753e-09,-2.3469648412150038e-09,-1.034367458666455e-08
0.065,7.6413558031331017e-09,-3.3869416942954056e-09,-3.7651445388561706e-09,1.4710728048247401e-10,-3.7143639746933387e-10,-4.2099828658757041e-09,-7.8903259880706224e-09
0.0675,8.6393916213027657e-09,-2.2961543310342229e-09,-5.6862617552958803e-09,-1.5042622416856266e-09,1.765973179556577e-09,-2.9934149488185138e-09,-4.4370729856553825e-09
0.07,6.7362705176061689e-09,-4.6967571884128264e-10,-4.5086291543680258e-09,-3.4718521890253163e-09,2.2851046512198665e-09,2.2129804069748685e-09,-2.0629893460317449e-09
0.0725,3.6887300934031295e-09,2.8358291879803926e-10,-1.714360880476282e-09,-3.488766009218428e-09,1.5373922032227175e-09,9.1156407572178647e-09,-9.1291522123166324e-10
0.075,1.369282392577861e-09,-3.2400579748607208e-10,-1.9024873246599189e-10,-1.6293139860036541e-09,7.9747344741451485e-10,1.3754775881135052e-08,-3.317234762248134e-10
0.0775,7.0267170444606388e-10,-1.1857630110425243e-09,-1.0344794380174759e-09,-8.8755160168815268e-11,7.3002986830492955e-10,1.3242047502660415e-08,-3.8765980225049108e-10
0.08,1.4480789645024453e-09,-1.2879088868325455e-09,-2.9835178503546386e-09,-8.4281098558752349e-10,6.2543246462694475e-10,7.7614199321479533e-09,-1.6184243260180321e-09
0.0825,2.607870983460438e-09,-6.3499969533516311e-10,-4.2698529014973406e-09,-3.5943831256921028e-09,-4.8081900355844062e-10,6.3744496240602551e-10,-3.6045969183985809e-09
0.085,3.1899665338789621e-09,9.6356406411051324e-11,-4.2663363824253341e-09,-6.1314523386322172e-09,-2.1168324352097281e-09,-3.5256983413819892e-09,-4.6673520244032535e-09
0.0875,2.8266979228583561e-09,3.5499566492207296e-10,-3.4127567747463057e-09,-6.353634630274398e-09,-2.4216376767530613e-09,-1.5134439003790844e-09,-3.3616031805831675e-09
0.09,1.7964530951214998e-09,7.6399694868221496e-11,-2.333476098727776e-09,-3.9422520610347208e-09,-1.5902938954130745e-10,6.310999096776865e-09,5.6536825683873977e-11
0.0925,5.9114949268496248e-10,-4.5464535417209112e-10,-1.3205433369555134e-09,-4.1928509492441386e-10,3.5996720106093553e-09,1.5890318250094446e-08,4.0331834176860688e-09
0.095,-4.4284943925085867e-10,-9.2792110077325027e-10,-4.9499801473147845e-10,2.0520369697609529e-09,6.1229200398395484e-09,2.1927046880177786e-08,7.3427703758419946e-09
0.0975,-1.0779685428273059e-09,-1.1764007291338231e-09,3.4662189511905559e-11,2.2034711593307855e-09,5.4477613220427704e-09,2.137898475531312e-08,9.8239207067537828e-09
0.1,-1.0664813273062364e-09,-1.1662681343596733e-09,2.3605091389580649e-10,4.5459988230390144e-10,2.083770819976887e-09,1.5163749593910947e-08,1.1403125332589528e-08
0.1025,-2.3775255727677445e-10,-9.3567552444331948e-10,2.5576921635300481e-10,-1.565705329302888e-09,-1.6249471398318676e-09,6.9149290672932355e-09,1.0983618681145667e-08
0.105,1.1966860824578336e-09,-5.6610827510121371e-10,3.4327523443443666e-10,-2.3445172663649007e-09,-3.544360506296008e-09,9.5414950645069147e-11,7.2169611286146616e-09
0.1075,2.5052982306489503e-09,-1.7280999006571431e-10,6.574661418331171e-10,-1.5765996821397466e-09,-3.2445137909836486e-09,-3.928282731195309e-09,5.5929636265248485e-10
0.11,2.7387811341579944e-09,1.2065885789642554e-10,1.1176516259856339e-09,-1.6314442859202952e-10,-1.8095896797110774e-09,-5.6665495554866566e-09,-5.9422024413014485e-09
0.1125,1.3381544208133309e-09,2.3858504652032586e-10,1.4507172510125159e-09,7.4167233457484451e-10,-5.5202576916755519e-10,-5.9831319749042563e-09,-8.6550284933248886e-09
0.115,-1.3946387557780626e-09,1.8376707565769857e-10,1.3970690850306472e-09,6.5661387472773419e-10,-4.5564894978988899e-11,-5.1355926551792885e-09,-6.3637113198118985e-09
0.1175,-4.3064218133286353e-09,2.9755614737317905e-11,9.2586092578573228e-10,-5.1854480464185101e-11,-8.5042993335244541e-11,-3.1921716836979244e-09,-1.3730492024029072e-09
0.12,-5.9570940514790984e-09,-1.1698550368853987e-10,2.7579221665157547e-10,-7.0099871418630204e-10,-2.2855263938456917e-10,-8.355344267912692e-10,2.3336522569853277e-09
0.1225,-5.4460386899252234e-09,-1.6758861926766887e-10,-2.2658513466454784e-10,-8.9740264634759542e-10,-2.5491632850590649e-10,5.5401058188351459e-10,2.1616209552015236e-09
0.125,-2.9379530120751258e-09,-1.0742711461302415e-10,-4.2354089253416485e-10,-7.0996358967132657e-10,-2.2648691783429758e-10,-1.7469791755987004e-10,-1.4233580571070003e-09
0.1275,3.6632279800481513e-10,-1.936057948507056e-11,-4.0617836486666613e-10,-4.2325439873083085e-10,-2.9471679549780141e-10,-2.900817687205289e-09,-5.6892537446223528e-09
