Physical Time (s),etp_bot Monitor (W): bot_cv1,etp_bot Monitor (W): bot_cv2,etp_bot Monitor (W): bot_cv3,etp_bot Monitor (W): bot_cv4,etp_bot Monitor (W): bot_cv5,etp_bot Monitor (W): bot_cv6,etp_bot Monitor (W): bot_cv7
0.0025,3.1156573585796052e-13,-4.1937023971054515e-15,1.2044307800370798e-15,3.5800894730211868e-15,8.3676997898730986e-16,2.7761112815200905e-16,2.3006978649820586e-17
0.005,3.6357989515797273e-11,-1.790298855241819e-13,-2.0197404710634828e-13,-9.4298828168302989e-16,5.5177520752585182e-15,1.7373480123988135e-15,1.3117431597866457e-16
0.0075,1.4861301750242488e-09,1.728510044584923e-11,2.3738283711302672e-11,3.2934005250951961e-14,8.6566994075516366e-15,7.8641133077630099e-15,5.4965486759243584e-16
0.01,1.4870554045794009e-08,3.247805180211252e-10,6.434363918327893e-10,3.1637335198925899e-11,-4.1020578451168612e-14,2.0165355053079949e-14,1.8816347719253859e-15
0.0125,5.7461784671111152e-08,1.8774204282284475e-09,4.8378421463906613e-09,5.7030992067109693e-10,7.8394709663118115e-12,-1.5770307744498915e-14,4.8695327172116043e-15
0.015,1.1566950516981659e-07,5.4271033658939812e-09,1.6970860202706848e-08,3.8212566949370838e-09,1.5360320290047928e-10,1.1404547796868296e-12,9.1939605689310129e-15
0.0175,1.2716623773127671e-07,8.7226612803527177e-09,3.3204970208187115e-08,1.3202791724507322e-08,1.1656910408131186e-09,2.9957047104545652e-11,5.3884870776555289e-15
0.02,5.5180058060227597e-08,5.8429915541493162e-09,3.3992163969727655e-08,2.6285601310240289e-08,4.7043756751782282e-09,2.80648966765851e-10,-8.9055892875486295e-15
0.0225,-4.3232716007384744e-09,-1.8129869588643493e-09,9.4290124555566481e-09,2.9551371723028545e-08,1.1265660820068723e-08,1.3447866578609811e-09,8.670230357113118e-13
0.025,1.7638169760956678e-08,-3.2193980573135294e-09,-1.0263820399074379e-08,1.4274965889603974e-08,1.6615342797143173e-08,4.0343771173979056e-09,9.8843042615814856e-12
