Physical Time (s),etp_left Monitor (W)
0.0025,1.4965407093569243e-12
0.005,3.0319460045656915e-10
0.0075,1.1533614225436964e-08
0.01,1.0612740362044687e-07
0.0125,3.9260343011356802e-07
0.015,7.5463026506195266e-07
0.0175,6.9987006232486603e-07
0.02,1.679381880438411e-07
0.0225,3.3371499224771176e-08
0.025,5.0039978651736643e-07
0.0275,6.3775350204070094e-07
0.03,2.3255896346163821e-07
0.0325,-1.0966860294793928e-07
0.035,-1.6355313877841733e-07
0.0375,-6.2760716093348117e-08
0.04,2.3936923877000612e-08
0.0425,7.4994711042934043e-09
0.045,-7.786610123226722e-08
0.0475,-1.2682641564325265e-07
0.05,-9.7695191636531555e-08
0.0525,-4.0722373253755509e-08
0.055,-8.1514334953741567e-09
0.0575,-1.7613891697564965e-09
0.06,-4.0939755987077882e-09
0.0625,-5.9516571135772946e-09
0.065,-2.575692061376323e-09
0.0675,8.1329065990437734e-09
0.07,2.1776891932880595e-08
0.0725,3.066344661894388e-08
0.075,3.0398478371893189e-08
0.0775,2.202764793121945e-08
0.08,1.0037900299378845e-08
0.0825,-3.6239494530625311e-10
0.085,-5.6258926309047166e-09
0.0875,-5.2616066925900447e-09
0.09,-1.7803610593175284e-09
0.0925,1.1469308914800353e-09
0.095,1.4191632051935226e-09
0.0975,-5.9649175558176661e-11
0.1,-4.9049818407618618e-10
0.1025,2.269363531301107e-09
0.105,8.0064589891571343e-09
0.1075,1.4460780303798025e-08
0.11,1.8922284341676356e-08
0.1125,1.9785572944243744e-08
0.115,1.7091736166968008e-08
0.1175,1.2152197914514276e-08
0.12,6.6384784412465836e-09
0.1225,1.8559076490893833e-09
0.125,-1.5536405357870607e-09
0.1275,-3.4747085892225131e-09
0.13,-4.0825679649423855e-09
0.1325,-3.7005061782841367e-09
0.135,-2.6864039612482565e-09
0.1375,-1.385759519255848e-09
0.14,-6.9702852170393139e-11
0.1425,1.1162477874696305e-09
0.145,2.1141979608565431e-09
0.1475,2.8460889964458338e-09
0.15,3.1463973935557128e-09
0.1525,2.7783094860895497e-09
0.155,1.5317606520142399e-09
0.1575,-6.6402499855647666e-10
0.16,-3.6772697687630648e-09
0.1625,-7.166130963778363e-09
0.165,-1.0592298894763779e-08
0.1675,-1.3218907345336654e-08
0.17,-1.4119273576342922e-08
0.1725,-1.2297311998322512e-08
0.175,-7.0234201286605172e-09
0.1775,1.6816919316231979e-09
0.18,1.2653468114777429e-08
0.1825,2.363171784431259e-08
0.185,3.1933365373075105e-08
0.1875,3.5433421005441236e-08
0.19,3.339358146099963e-08
0.1925,2.6690819254355314e-08
0.195,1.7363425809617677e-08
0.1975,7.7581018294873362e-09
0.2,-1.765089251603955e-10
