Physical Time (s),etp_right Monitor (W): right_cv1,etp_right Monitor (W): right_cv2,etp_right Monitor (W): right_cv3,etp_right Monitor (W): right_cv4,etp_right Monitor (W): right_cv5,etp_right Monitor (W): right_cv6,etp_right Monitor (W): right_cv7
0.0025,9.4425634362233261e-07,3.7068942859009482e-10,-8.6095940927747263e-15,1.7059171960998991e-14,3.2389793874632625e-15,2.4176370555639467e-16,1.1798435981573009e-17
0.005,4.8867332307171504e-06,6.1688066231894768e-08,1.4749602627010099e-12,6.0105330037555324e-14,2.2757531534244943e-14,1.5036183206574525e-15,6.3568823408934243e-17
0.0075,3.0116317531000875e-06,4.078204458964501e-07,1.1770877695798652e-09,-9.7974010466527733e-13,8.9367173241322875e-14,6.7778818495231037e-15,2.516820132691215e-16
0.01,-3.34599040191325e-07,1.0114978874903898e-06,2.5820858867148343e-08,5.0650927605072588e-11,-1.7835926105047845e-13,2.6662491138231323e-14,8.0913555357923378e-16
0.0125,3.3369803835508294e-07,1.2082015717239908e-06,1.5089621968455001e-07,2.0356119867934945e-09,1.1017824601908295e-13,7.8538947996474838e-14,2.2564621700210539e-15
0.015,8.7200437793424248e-07,3.6221953885621943e-07,3.9924077506067448e-07,2.1214976983855272e-08,1.7477255299959492e-10,1.1366184163424366e-13,5.583638242788877e-15
0.0175,7.6969420808326098e-07,-6.0658639959007899e-08,5.4680301230866401e-07,9.7388757794992796e-08,2.7608535144714623e-09,-3.8255115942799175e-13,1.259662918810774e-14
0.02,3.9462206684529383e-07,6.8253953983637345e-07,2.8598525486389343e-07,2.329765164457428e-07,1.8947361798817675e-08,1.5754121790050139e-12,1.93784011405572e-14
0.0225,5.1776716231816523e-08,8.995008767036196e-07,-1.5957547023507951e-08,2.9741246005273504e-07,6.8728376101983474e-08,8.7064638436482811e-11,2.7345958023447836e-15
0.025,-3.5974141922965014e-08,3.6493294736820816e-07,2.2201132748097131e-07,1.5683393070348423e-07,1.4604876349671645e-07,8.7115579793733914e-10,-1.3160697016949479e-13
0.0275,4.4411275705093298e-08,5.2214563646836397e-08,6.5955046885436159e-07,-4.7492043738048616e-09,1.7611066886195438e-07,4.9090246672969719e-09,-5.7993309380960345e-13
0.03,1.5459920170803472e-07,4.0480307655035769e-08,5.3606478036927923e-07,1.301975199309266e-07,9.3430328353402999e-08,1.7997484615554051e-08,-4.0455524414242695e-13
0.0325,2.1934343527975407e-07,1.0618035707044306e-07,1.5884723161977447e-07,4.3343762754804839e-07,-6.7820031900262767e-10,4.4857724269799332e-08,1.352465522931497e-11
0.035,2.1701140135716678e-07,1.2432058492535188e-07,1.9948695120941754e-08,4.4582563959643499e-07,7.2612495004892738e-08,7.553633782178901e-08,1.2320791031585455e-10
