Physical Time (s),etp_top Monitor (W): top_cv1,etp_top Monitor (W): top_cv2,etp_top Monitor (W): top_cv3,etp_top Monitor (W): top_cv4,etp_top Monitor (W): top_cv5,etp_top Monitor (W): top_cv6,etp_top Monitor (W): top_cv7
0.0025,3.2255235779323854e-13,-2.0896429981732518e-15,1.5320142652860925e-15,3.3687833276944929e-15,8.189319524849025e-16,2.8769923183569842e-16,1.9018803057511833e-17
0.005,3.6898545417673183e-11,-1.7716895002408781e-13,-2.0324380489924703e-13,-7.5068566001448701e-16,5.2380634139622621e-15,1.6651467578067845e-15,9.2761247396771141e-17
0.0075,1.4912711642283326e-09,1.692786625741236e-11,2.3600472545888917e-11,3.1319971128281605e-14,6.448168198456736e-15,7.0030368574025848e-15,3.4804659854298665e-16
0.01,1.4874548760987037e-08,3.2262711178603794e-10,6.4200811032202782e-10,3.1545606762941411e-11,-4.1404414473572449e-14,1.7395793367215736e-14,1.2237707703262366e-15
0.0125,5.7441969148192377e-08,1.876528272104847e-09,4.8386156710836653e-09,5.700876756879252e-10,7.8887049623061567e-12,-1.8921390087957365e-14,3.4429295172497684e-15
0.015,1.1583014295615171e-07,5.4332901155482637e-09,1.6979850002599937e-08,3.82063071421053e-09,1.5369842176566842e-10,1.1591349066226402e-12,6.8202352257843138e-15
0.0175,1.2754735232418535e-07,8.7116146995889476e-09,3.320127177379266e-08,1.3206933180288611e-08,1.1655220345543498e-09,2.995345046381845e-11,2.6985246133463261e-15
0.02,5.4659413350112237e-08,5.7541227690659176e-09,3.390969919882684e-08,2.6341335527358794e-08,4.7080651069306617e-09,2.8052015359100494e-10,-4.160091945688512e-15
0.0225,-4.6484040105730849e-09,-1.8673668337856252e-09,9.3093543080744835e-09,2.9530486579550421e-08,1.1278536200058193e-08,1.3506656035209843e-09,8.1529800060030071e-13
0.025,1.7935878260894426e-08,-3.1948399874136323e-09,-1.0287047985415324e-08,1.4113584057709191e-08,1.6619516091708244e-08,4.0626357684500843e-09,9.4641420998867995e-12
0.0275,4.2062164907981417e-08,-4.8665702870312386e-10,-3.7921686233306607e-09,-3.3948990169497881e-09,1.3838279090557196e-08,8.1535813673965458e-09,5.7538080657380782e-11
0.03,1.7239576946626348e-08,4.236501026951507e-10,8.8220346843706017e-09,-1.9016200970102007e-09,4.1598695513782255e-09,1.1018761662869847e-08,2.2878364219242788e-10
0.0325,-1.5413579853682741e-08,1.3721638657819699e-10,1.0547762023007302e-08,1.2338842049167807e-08,-8.503506810456845e-10,9.7299157154944177e-09,6.3814629512683765e-10
0.035,-1.9859802035382049e-08,-2.2289614126602259e-10,5.1726650365391916e-09,1.9094263499873503e-08,5.5725352022242461e-09,5.3988632772871493e-09,1.2715588914376861e-09
0.0375,-1.9733036205233843e-09,-4.929696798882014e-10,7.2194685888530707e-10,1.2882688247691287e-08,1.5335045513063992e-08,3.3854413437828231e-09,1.7689862094820838e-09
0.04,1.261854997085725e-08,-7.1198505788290014e-10,2.8658554461695796e-11,3.777757586114433e-09,1.6865612322774053e-08,7.2269752120347693e-09,1.5690334200822965e-09
0.0425,8.3687535385930027e-09,-1.1280921577827152e-09,8.525287647374131e-10,2.7452531903820972e-10,9.9704506883782239e-09,1.3958259236394622e-08,6.5765209076971493e-10
0.045,-7.852347601557063e-09,-2.1310409464611902e-09,-3.6798770783329409e-10,1.0346420974844918e-09,2.9227170089621896e-09,1.7395444262420327e-08,1.0588640981796375e-10
0.0475,-2.0128006476620356e-08,-3.5682571820757875e-09,-4.5878562842162011e-09,7.4439430206472519e-10,4.8467349392330263e-10,1.4695461490480447e-08,1.1284227990334951e-09
0.05,-2.2010285861361163e-08,-4.39904993671321e-09,-9.5101411849360989e-09,-2.5534269223047484e-09,6.6016768117455254e-10,8.2598140499888615e-09,3.2299881105398433e-09
0.0525,-1.7751423250455374e-08,-3.5269770889850612e-09,-1.1742289898203398e-08,-6.7901685615946989e-09,7.2593058344006063e-11,2.537254732241156e-09,3.928580390537705e-09
0.055,-1.2632479906013018e-08,-1.2957221320681736e-09,-9.5394240374884554e-09,-9.0247160835529398e-09,-2.0100285252271457e-09,1.0881184073924613e-10,1.0885040000634813e-09
0.0575,-7.7374119309551853e-09,2.8290504788589648e-10,-4.5221199307908579e-09,-7.8655071196928964e-09,-4.1212637559132874e-09,7.3997489722079064e-12,-4.4770487422095782e-09
0.06,-2.155187095624927e-09,-3.694191756835667e-10,-6.8265651599128547e-10,-4.2488586666250847e-09,-4.6341725737094513e-09,-4.566149108720656e-10,-9.3107645045541264e-09
0.0625,3.7108980451580936e-09,-2.3709739561919206e-09,-8.1371593372237048e-10,-7.8200122139552508e-10,-3.0763747689439676e-09,-2.4908731731241172e-09,-1.0436602547372453e-08
0.065,7.8999609583418265e-09,-3.3313626742601759e-09,-3.7010619263433109e-09,1.8069630264202947e-10,-3.7404091097244113e-10,-4.3129059230437498e-09,-7.9920743949795483e-09
0.0675,8.8664078032773548e-09,-2.2354468081376283e-09,-5.5964893675415674e-09,-1.431586827581913e-09,1.8033459633202304e-09,-3.0363057051177802e-09,-4.5229168194500198e-09
0.07,6.9092609440140517e-09,-4.2144457265840529e-10,-4.4188893146598284e-09,-3.3754034934678515e-09,2.3558571293551862e-09,2.2377472282858414e-09,-2.1079363777597179e-09
0.0725,3.8021509874047723e-09,3.0498961852261904e-10,-1.652508648121348e-09,-3.3910992595131608e-09,1.6283862466441883e-09,9.2040348657427389e-09,-8.9830160849307868e-10
0.075,1.4332816294796209e-09,-3.3684487369507812e-10,-1.7839501842883388e-10,-1.5558022049772322e-09,8.9044038330528667e-10,1.3892618025356454e-08,-2.5061959986535194e-10
0.0775,7.3647576507389802e-10,-1.2326521279727508e-09,-1.0834782037348031e-09,-6.1170774827688218e-11,8.0458083172541687e-10,1.3407155697511749e-08,-2.480259315615076e-10
0.08,1.471200183821353e-09,-1.3624583648257899e-09,-3.0915371070352561e-09,-8.7344340617537402e-10,6.6352831088132062e-10,7.9258365898738801e-09,-1.4434769240364447e-09
0.0825,2.6328800356588237e-09,-7.2707936862997355e-10,-4.424174132961415e-09,-3.6830804896018221e-09,-4.9031054933675821e-10,7.7048556107668948e-10,-3.4288125907458543e-09
0.085,3.2195270105224651e-09,-2.1260521288927231e-12,-4.4469321712590711e-09,-6.2658316072612071e-09,-2.17490467862889e-09,-3.4522383394248457e-09,-4.5275041486114938e-09
0.0875,2.8551238780760683e-09,2.5973993410911593e-10,-3.5970712800900433e-09,-6.511989936240049e-09,-2.518365857621984e-09,-1.51848164756281e-09,-3.2862518212106658e-09
0.09,1.814620905140956e-09,-9.1268553941488466e-12,-2.5014201320043312e-09,-4.0987477188219735e-09,-2.7561717798170213e-10,6.2242953370150518e-09,5.4073042518530037e-11
0.0925,5.9213843126767768e-10,-5.2749051868380794e-10,-1.4584941757807192e-09,-5.5055247351562355e-10,3.4859267201167128e-09,1.5736832075390323e-08,3.9560736681639138e-09
