Physical Time (s),ev_bot Monitor (W): bot_cv1,ev_bot Monitor (W): bot_cv2,ev_bot Monitor (W): bot_cv3,ev_bot Monitor (W): bot_cv4,ev_bot Monitor (W): bot_cv5,ev_bot Monitor (W): bot_cv6,ev_bot Monitor (W): bot_cv7
0.0025,3.0724541199714967e-21,-2.1424468733433083e-25,-4.010386665320665e-27,2.2720649245316321e-26,3.3270836379973773e-28,5.337877570418432e-30,1.9726749062116238e-33
0.005,5.3046184946547639e-17,-9.6081501172335023e-20,-4.9581377445079843e-20,-2.8672260146177911e-24,8.3241592684410564e-26,1.448535882160492e-27,4.0808652863196049e-31
0.0075,1.6764869580118427e-14,-9.323905878223045e-17,-8.2762834469322405e-17,-1.5710135350458052e-19,4.8252022161441637e-25,1.2564411603388435e-25,3.133624487541043e-29
0.01,5.4409782289662019e-13,-6.618183697060081e-15,-8.7516114168740037e-15,-8.2062748254025332e-17,-1.62798134473931e-20,1.1325423694895052e-24,1.3930919070280714e-27
0.0125,4.5053382211311596e-12,-1.0422066300520933e-13,-1.8312195936336772e-13,-5.118048178085171e-15,-6.7281368037412515e-18,-4.9861279422475085e-22,2.4265057947450771e-26
0.015,1.5120795697737996e-11,-6.232137511873616e-13,-1.3525589529728862e-12,-8.6383958518310696e-14,-4.3475924269796886e-16,-2.8953381163813801e-19,1.3021152726463161e-25
0.0175,2.3470191826149414e-11,-1.7236741822047117e-12,-4.5725320306346829e-12,-5.8554161964256037e-13,-8.5785499931403185e-15,-2.2107976120517947e-17,-3.0184532461895398e-26
0.02,1.4809311887098602e-11,-2.0354297967921159e-12,-7.2385446168244124e-12,-1.8888498752392926e-12,-7.0535068356813475e-14,-5.4148974529467593e-16,-4.1101455846391566e-22
0.0225,2.7190601406485968e-12,-8.096743964496322e-13,-4.8083071540690114e-12,-3.0230743771136198e-12,-2.8436696957180545e-13,-5.5587652190343769e-15,-3.5790868277709221e-20
0.025,-3.0335990622064839e-13,-7.4443405071506235e-14,-1.0321363017038474e-12,-2.272024041050183e-12,-5.9900740450651825e-13,-2.8901413457886929e-14,-9.1772841003880262e-19
0.0275,-1.7468450192662598e-12,-2.0454220518977154e-15,-2.2542976219304223e-14,-6.4967569993402988e-13,-6.3988244655708849e-13,-8.2692083859356768e-14,-1.1740338186129503e-17
0.03,-2.4864277354041996e-12,1.1751681023436143e-15,5.6736636336456692e-14,-3.3670864753856742e-14,-2.936603152806777e-13,-1.302105497822158e-13,-8.5896516040538903e-17
0.0325,-1.3875581642220212e-12,7.2794145387251748e-16,2.2712637813227955e-13,1.453118333458701e-13,-3.6132089405741326e-14,-1.0480141485684008e-13,-3.7532312351550329e-16
0.035,-2.9047123745870739e-13,-6.4401598856283712e-16,1.9735968713448003e-13,5.6227871055941496e-13,4.4270175895561042e-14,-3.8165325724074743e-14,-9.6711071096986062e-16
0.0375,-1.1580236553860589e-14,-2.1066902832063294e-15,5.3940022792416021e-14,6.4444841967363464e-13,3.1459271820863763e-13,-4.4331148771773065e-15,-1.3663512928042764e-15
0.04,9.9713744150973822e-14,-1.3593649334429043e-14,-4.3653900956091794e-15,2.7754059251121922e-13,5.4707384259861145e-13,6.7141397711207658e-14,-8.6208666593973527e-16
0.0425,3.8325243243362119e-13,-5.418814449492239e-14,-8.1922928812702512e-14,3.0123396909276448e-14,3.62063766584251e-13,2.0994609569039966e-13,-1.2472289205038109e-16
0.045,5.1923899112863378e-13,-1.3594173277783527e-13,-3.3815149549580268e-13,-4.53947232866188e-14,7.9401516846738456e-14,2.4937572968176472e-13,1.8682396219241919e-16
0.0475,4.1493298283785895e-13,-2.447843308566042e-13,-6.9266048689424427e-13,-2.8068660307379346e-13,-6.0913405537333962e-15,1.3894854287927769e-13,2.507461139478653e-15
0.05,2.8629859733317536e-13,-3.2166179167142092e-13,-9.1935730394542644e-13,-6.2249017271499869e-13,-1.2038882752700911e-13,4.0179484260436518e-14,6.1236938274150117e-15
0.0525,2.6026466301492938e-13,-2.8684314425198596e-13,-8.5606841108122955e-13,-7.6490370309437939e-13,-3.6595651081160486e-13,-2.7353533652770074e-14,4.57112693066918e-15
0.055,3.3428536506022778e-13,-1.4313686000686965e-13,-5.3188253522738004e-13,-6.0697982245294823e-13,-5.0529361686528859e-13,-1.7098843003870349e-13,2.0126678461262512e-17
0.0575,4.6898377721714226e-13,-2.3390613264401041e-14,-1.7746440884181028e-13,-3.045698615556555e-13,-4.0195261882791564e-13,-3.5072970762935466e-13,-2.4229088766706559e-15
0.06,7.1308383444003962e-13,8.9362621251991615e-16,-1.4230134066484475e-14,-7.3283218018829825e-14,-1.8470591462509618e-13,-4.0669217915033177e-13,-1.8910343381650429e-14
0.0625,1.080373140104407e-12,4.6487622809930855e-14,5.4972905817768655e-15,-2.3101907100209624e-15,-3.6008189224477162e-14,-2.902496495547251e-13,-5.9889435599798681e-14
0.065,1.2819292411407714e-12,1.7827375652522259e-13,9.964327357345364e-14,1.5223072353008698e-14,-5.5389377784113908e-16,-1.2174296909103077e-13,-8.6648771656962317e-14
0.0675,1.0215208952616485e-12,2.34915794859247e-13,2.640933446362537e-13,1.3364286808225521e-13,2.1539166306123515e-14,-2.4771426345808553e-14,-5.9353666499963271e-14
0.07,4.9320534567882284e-13,1.2272958869077558e-13,2.6807799939224193e-13,3.0537566278187439e-13,1.2923264277130812e-13,1.5796063444798895e-14,-1.2493634215841887e-14
0.0725,1.287807548794767e-13,1.1850951634102189e-14,1.0101932205115907e-13,3.1654790493868119e-13,2.6695719207757742e-13,9.830216435933322e-14,1.3897081918811771e-15
0.075,2.8600260233256782e-14,-2.2326661047171929e-15,5.7948838274409692e-15,1.431522271750724e-13,2.7690329085798543e-13,2.4993688319068271e-13,2.7564050151665256e-14
0.0775,-2.0754553341827157e-15,-1.2063115378212984e-13,-6.9028499253403374e-14,1.5833981812831668e-14,1.3922218425523863e-13,3.758519390996982e-13,1.4643780793376845e-13
