Physical Time (s),ev_left Monitor (W)
0.0025,-4.259477411961815e-16
0.005,-1.919216532567687e-13
0.0075,-8.7369451709603458e-12
0.01,-1.0488731704629909e-10
0.0125,-5.3979536937167504e-10
0.015,-1.5421318103138322e-09
0.0175,-2.616685918184894e-09
0.02,-2.5444092859752765e-09
0.0225,-1.2138844552424136e-09
0.025,-1.1242882143002022e-10
0.0275,-1.3256588058567483e-10
0.03,-4.5202495140852303e-10
0.0325,-4.1349895173017175e-10
0.035,-1.8570522219352306e-10
0.0375,-3.5285012794381562e-11
0.04,-1.1891088819315543e-11
0.0425,-6.7679319512750153e-11
0.045,-1.6225818197190327e-10
0.0475,-2.7755736606699513e-10
0.05,-3.9630524326297e-10
0.0525,-4.8241722283789983e-10
0.055,-4.8649611712172312e-10
0.0575,-3.86820682083406e-10
0.06,-2.2679693189771363e-10
0.0625,-8.8072143992942478e-11
0.065,-1.8277507356313289e-11
0.0675,-1.9707055297602322e-12
0.07,-2.4959934973970053e-12
0.0725,-8.5837455205487059e-12
0.075,-3.4780005688202532e-11
0.0775,-9.2455134363759543e-11
0.08,-1.6929370781346223e-10
0.0825,-2.32888616118918e-10
0.085,-2.512828746512172e-10
0.0875,-2.144587766770548e-10
0.09,-1.4180319298480489e-10
0.0925,-6.8798285615448467e-11
0.095,-2.2425968262713305e-11
0.0975,-5.5813233174043088e-12
0.1,-3.3736290558339747e-12
0.1025,-3.9611366918208433e-12
0.105,-1.3305955859706438e-11
0.1075,-5.0726333637182388e-11
0.11,-1.3085460931548367e-10
0.1125,-2.4875744213994938e-10
0.115,-3.7928554712696316e-10
0.1175,-4.8882103264535763e-10
0.12,-5.4993208480422461e-10
0.1225,-5.5077568851231119e-10
0.125,-4.9636996290273387e-10
0.1275,-4.0412049828176192e-10
0.13,-2.9745534294769414e-10
0.1325,-1.985160878335612e-10
0.135,-1.219475739502216e-10
0.1375,-7.2155767136518229e-11
0.14,-4.5366744944364926e-11
0.1425,-3.49044033358438e-11
0.145,-3.5892400652508263e-11
0.1475,-4.685748347779977e-11
0.15,-6.8315578957136357e-11
0.1525,-1.0011226987483541e-10
0.155,-1.3947207418514296e-10
0.1575,-1.8081582180001501e-10
0.16,-2.1727675735460887e-10
0.1625,-2.4295568811221729e-10
0.165,-2.5488345880995837e-10
