Physical Time (s),ev_right Monitor (W): right_cv1,ev_right Monitor (W): right_cv2,ev_right Monitor (W): right_cv3,ev_right Monitor (W): right_cv4,ev_right Monitor (W): right_cv5,ev_right Monitor (W): right_cv6,ev_right Monitor (W): right_cv7
0.0025,3.4407008164628875e-09,5.4779974278246021e-13,3.7200474293404616e-18,9.3664177264096804e-20,2.4725715687521051e-21,1.4268173310787543e-23,3.2793756146871583e-26
0.005,3.9963755248567044e-08,9.9740018308320129e-11,2.6054247875762489e-15,1.9022429175805329e-18,7.7305158754223946e-20,3.1818885655752995e-22,3.7844858762280203e-25
0.0075,9.2148202585924259e-08,1.1358628795070941e-09,6.3111898581083344e-13,1.7120160258201598e-16,1.1669949168779843e-18,5.7350031959370108e-21,4.163882652031852e-24
0.01,8.7287472184300642e-08,4.9537125601543247e-09,1.8976955743147291e-11,2.954318214138099e-14,1.3242944745473983e-17,6.8333175952386659e-20,2.4797079049899145e-23
0.0125,5.0062278173765756e-08,1.1931792476753229e-08,1.7183510679276964e-10,8.9421361632774733e-13,2.2484671019969802e-15,4.7716052357142854e-19,1.1368962521404874e-22
0.015,2.3679144986965367e-08,1.6405858493844761e-08,7.3680784358766466e-10,1.023634093687331e-11,7.0213638553077751e-14,9.7353203487107674e-19,4.9789545305835274e-22
0.0175,1.2601247236599229e-08,1.3354576242468376e-08,1.831003799956573e-09,6.1530690788544057e-11,8.1295988825380523e-13,4.9236903815904882e-17,2.8730701254658247e-21
0.02,9.2629927974567812e-09,5.9185455914881327e-09,2.720763175072649e-09,2.2153386408056697e-10,5.0323797749371794e-12,2.3691058366326008e-15,1.1070612543778259e-20
0.0225,8.2393802898866688e-09,1.0212815597021123e-09,2.3405338798429965e-09,5.0673299538889614e-10,2.12550790411005e-11,3.1773253686432196e-14,1.34284479548264e-19
0.025,7.6578973969925419e-09,3.6444845388615841e-11,9.3194250294936455e-10,7.3741899111102709e-10,6.6931657375598898e-11,2.036060367108486e-13,4.7387310936462207e-18
0.0275,7.8728357345398638e-09,1.3740951731120168e-10,3.8160475549649979e-11,6.3557580747892941e-10,1.5234425136157602e-10,7.4245700021218105e-13,9.780998142162587e-17
0.03,9.5753367728834871e-09,5.7836053262990243e-11,2.8110780046342059e-10,2.3906711181362475e-10,2.3474163175457005e-10,1.6621017607545083e-12,1.2063825005509235e-15
