Physical Time (s),ev_top Monitor (W): top_cv1,ev_top Monitor (W): top_cv2,ev_top Monitor (W): top_cv3,ev_top Monitor (W): top_cv4,ev_top Monitor (W): top_cv5,ev_top Monitor (W): top_cv6,ev_top Monitor (W): top_cv7
0.0025,3.4042778853730133e-21,2.8666464131303114e-26,4.8820647789239729e-27,1.8813223940967386e-26,2.7503561659726223e-28,5.8702615426213349e-30,1.4791527225552041e-33
0.005,5.4296111288152345e-17,-9.0062389036093253e-20,-4.833040512650911e-20,-2.546125766606432e-24,6.7963537403027077e-26,1.3328261512464886e-27,1.9227245727665581e-31
0.0075,1.6854741337760279e-14,-9.1422249589573017e-17,-8.2355467244260094e-17,-1.5783515976374384e-19,1.6579302896652024e-25,9.5400250429715076e-26,1.1036174523858237e-29
0.01,5.4437019742049062e-13,-6.5844386205585163e-15,-8.7479642659365438e-15,-8.1792242289895042e-17,-1.6891852761649806e-20,7.7975673451562962e-25,5.0944524711263618e-28
0.0125,4.5060742327860455e-12,-1.0420094206894904e-13,-1.8331067286233779e-13,-5.1174900277050516e-15,-6.809719750226739e-18,-5.5710130612787375e-22,1.1517041314052553e-26
0.015,1.5152246805339291e-11,-6.2384177747449981e-13,-1.3542589397779776e-12,-8.6413361703002927e-14,-4.3553570745509706e-16,-2.9657826787401973e-19,6.662001200710955e-26
0.0175,2.3551121115518409e-11,-1.7225206255872855e-12,-4.5743963703585651e-12,-5.8603400217612273e-13,-8.5840406597685431e-15,-2.2188863776413668e-17,-8.835254480336374e-26
0.02,1.4732559432950709e-11,-2.0245285567442362e-12,-7.2316870210135575e-12,-1.8918161381197191e-12,-7.0535375166220113e-14,-5.3933955587687183e-16,-3.4992352985662909e-22
0.0225,2.6614491338600019e-12,-8.007066515651472e-13,-4.7939359943587334e-12,-3.0212919949896635e-12,-2.8433560834456173e-13,-5.5504070716029677e-15,-3.0533382756441316e-20
0.025,-3.0967513144585446e-13,-7.4657333131570363e-14,-1.0282063959627815e-12,-2.2609847371222287e-12,-5.9874803714796813e-13,-2.8979875292421029e-14,-8.4407570235231223e-19
0.0275,-1.7215555639100823e-12,-2.2400361154416745e-15,-2.2266726149200013e-14,-6.4269471942003352e-13,-6.3876193224274144e-13,-8.2698896869453662e-14,-1.1304454651141677e-17
0.03,-2.4228838541224853e-12,1.0595522493895712e-15,5.6293615312480166e-14,-3.2551550601712165e-14,-2.9280179757264122e-13,-1.2895023542908625e-13,-8.4800150088369126e-17
0.0325,-1.3657168570548762e-12,7.5098643449035893e-16,2.2651037451763084e-13,1.4505046103705693e-13,-3.6026378750070647e-14,-1.0224280468204197e-13,-3.7491501079010503e-16
0.035,-2.9454219151414886e-13,-5.7925818168422257e-16,1.9737909249092498e-13,5.6025946404829952e-13,4.4597526993931531e-14,-3.6564504930414139e-14,-9.7585406725734237e-16
0.0375,-1.22120227245475e-14,-2.0162655283721922e-15,5.3482928628933537e-14,6.3755769298696329e-13,3.1482162007322785e-13,-4.0267085700291711e-15,-1.397933587535675e-15
0.04,9.6100972117988781e-14,-1.355531475529135e-14,-4.4709037237946642e-15,2.7116270073075149e-13,5.454188832601773e-13,6.7007817416686697e-14,-8.926213897739346e-16
0.0425,3.8159078808860362e-13,-5.4750547762717729e-14,-8.3153892111453939e-14,2.8784961306658571e-14,3.5731182130913764e-13,2.0358413556522171e-13,-1.3982776954389986e-16
0.045,5.2875751805520236e-13,-1.3791052583873677e-13,-3.4146178428294022e-13,-4.6167767533882903e-14,7.6243825075791255e-14,2.3609219935795822e-13,1.7643059119911848e-16
0.0475,4.3246425385061995e-13,-2.4843868952008274e-13,-6.9698642744143327e-13,-2.8163582575629139e-13,-6.6755001028125626e-15,1.3002729860397086e-13,2.4566915339549086e-15
0.05,3.0406242189372304e-13,-3.2531204057852993e-13,-9.2534733060240923e-13,-6.2300389775595381e-13,-1.2269996457125465e-13,3.8232461196078841e-14,6.0796933297930851e-15
0.0525,2.7467958552495973e-13,-2.8665122370729401e-13,-8.6274210602512463e-13,-7.6895753688505218e-13,-3.6749212819160707e-13,-2.7171214773491158e-14,4.6348841354540614e-15
0.055,3.4437121272203485e-13,-1.3937614757633645e-13,-5.349246976768689e-13,-6.1367782213268304e-13,-5.0177117962709311e-13,-1.6379652810411766e-13,1.1255457915370094e-16
0.0575,4.7686064688435629e-13,-2.1306523694153995e-14,-1.7614917649579924e-13,-3.0865203219487105e-13,-3.9726980920028811e-13,-3.3472601090444716e-13,-2.0968037687011758e-15
0.06,7.2337921562260221e-13,1.2558954756442343e-15,-1.3462753773822895e-14,-7.3657962329374482e-14,-1.8257606422385628e-13,-3.9356645078226071e-13,-1.7714461331663081e-14
0.0625,1.085468172133825e-12,5.1239156940051549e-14,6.5345734511403846e-15,-2.2168517277450626e-15,-3.5710766626699774e-14,-2.8842458318130276e-13,-5.8305929595852227e-14
0.065,1.2688939691640628e-12,1.8530147736283564e-13,1.0711367056041404e-13,1.6650405899754169e-14,-5.6834608467011402e-16,-1.2513083364613074e-13,-8.6116711851743705e-14
0.0675,9.9695030498912641e-13,2.3615876339229919e-13,2.7498051147929775e-13,1.4093370345674517e-13,2.2207033454620914e-14,-2.6271084269393978e-14,-5.9956345574958493e-14
0.07,4.7572797900291033e-13,1.2021338638788635e-13,2.7327368930826066e-13,3.1534988417088682e-13,1.3180819767276599e-13,1.4936143270887547e-14,-1.3041492920996629e-14
0.0725,1.2315864054804741e-13,1.1062591500699497e-14,1.0084244220890322e-13,3.2169330743740187e-13,2.7232373133869107e-13,9.8459540893929793e-14,1.0433256607099669e-15
0.075,2.7273123237058375e-14,-2.4747860002624036e-15,5.5066750242771098e-15,1.4362307698018628e-13,2.8375860299139715e-13,2.5861598487485525e-13,2.5477512987486169e-14
0.0775,-3.5919880656686272e-15,-1.2255985283997514e-13,-7.1574714161920139e-14,1.5766114353397869e-14,1.442173295993192e-13,3.9597858239970919e-13,1.4229994396135232e-13
0.08,-7.205502254067625e-14,-5.0558747123913865e-13,-5.6155823116090448e-13,-3.593226353862666e-14,2.3994869842944683e-14,3.8986955869859838e-13,2.9329793820235136e-13
0.0825,-1.2796274810280117e-13,-9.6916359617629536e-13,-1.5526162760455294e-12,-3.4729040514026517e-13,-8.0286363545343166e-15,2.454820287128448e-13,3.1162624515000935e-13
0.085,-1.3667452291117246e-13,-1.199662059416541e-12,-2.4416993522120066e-12,-1.0243919426860591e-12,-1.2588171673989666e-13,8.4161437312327404e-14,1.6823178300126505e-13
0.0875,-1.2812745502322898e-13,-1.0944453823909159e-12,-2.5731460169796838e-12,-1.5692235377127951e-12,-4.1598823850865398e-13,-1.5819031849916833e-14,2.9188626447027792e-14
0.09,-1.2114900374498255e-13,-7.953054544898288e-13,-1.9435768128939487e-12,-1.4635853651397579e-12,-6.3999787038893386e-13,-1.2800241072881624e-13,-6.826101201747983e-18
0.0925,-1.0384295524302816e-13,-4.9039638390837597e-13,-1.0837514707209185e-12,-8.4909126172236944e-13,-5.5830960130223719e-13,-3.6432260082009656e-13,-3.6036057786533185e-14
0.095,-7.4012387688879082e-14,-2.7308992981557033e-13,-4.548686445034034e-13,-2.79297540723645e-13,-2.7813241500797408e-13,-6.3733249733711245e-13,-2.0147560148670748e-13
0.0975,-4.5427860397696213e-14,-1.4548410518106379e-13,-1.5100264342015305e-13,-3.7015740840976673e-14,-6.6569891118458624e-14,-6.7810945212741212e-13,-3.7345173763904448e-13
0.1,-2.4550655544823785e-14,-7.7047564061262654e-14,-4.664656533452247e-14,-4.9912720901622507e-16,-4.0256280177424902e-15,-4.082672667401186e-13,-3.4411648454832851e-13
0.1025,-8.9026758423191372e-15,-4.0709683159902936e-14,-1.7709200803090463e-14,2.9163344127207712e-15,2.0645778939845279e-15,-1.040767285805351e-13,-1.524404275667378e-13
0.105,1.2586396408357904e-14,-2.0891689550406926e-14,-9.7783237758280484e-15,8.3903309712928119e-15,1.4897708298810257e-14,-1.2484733315586412e-15,-2.0169611210483205e-14
0.1075,8.7024573653291935e-14,-1.0210128288434872e-14,-8.3832607973648412e-15,4.4891159628060711e-15,2.4029849008192675e-14,3.6225347204908639e-14,6.4925383234465421e-16
0.11,3.0995867763351867e-13,-4.9781878416520729e-15,-1.1452125454220821e-14,2.5339799011641699e-16,1.8156169245412419e-14,1.9982737429407959e-13,5.9059312473375184e-14
