Physical Time (s),ew_bot Monitor (W): bot_cv1,ew_bot Monitor (W): bot_cv2,ew_bot Monitor (W): bot_cv3,ew_bot Monitor (W): bot_cv4,ew_bot Monitor (W): bot_cv5,ew_bot Monitor (W): bot_cv6,ew_bot Monitor (W): bot_cv7
0.0025,3.5642850276523554e-25,1.6997581330356759e-29,1.0291519092098367e-28,1.1477944678706482e-28,1.5056948997107627e-30,4.7487479196329389e-32,5.6301958976373985e-35
0.005,1.8969988620122863e-21,-3.1423728241151155e-24,-4.0306677858130268e-24,-7.2314699368766175e-27,1.2252534467171675e-28,4.0630901954094373e-30,2.3884623941775413e-33
0.0075,2.19295371582686e-19,-9.0800273868770552e-22,-2.302157155041786e-21,-2.683934671908828e-23,-1.0390955277202799e-28,2.9415114131162876e-28,1.3384936678682625e-31
0.01,2.1837359059492044e-18,-2.2723241937264051e-20,-9.1589510116966193e-20,-3.6397327201661623e-21,-2.2384244436052016e-24,4.5896823365094066e-27,3.4140262122858955e-30
0.0125,3.8467396355890361e-18,-1.1964311085141678e-19,-7.3490648158994027e-19,-8.4473233330421081e-20,-3.6242337620712922e-22,-2.5239086305217813e-25,2.7619106264725422e-29
0.015,1.3791326794561307e-18,-1.5229219839723644e-19,-1.3947542345166752e-18,-4.850772027772825e-19,-1.0098049272637904e-20,-3.8056239369059763e-23,2.3081033361879362e-28
0.0175,1.0626251570291403e-17,-7.8991008593363103e-20,-4.6344950075516279e-19,-8.2362523338205752e-19,-7.9186371662252738e-20,-1.19261243703489e-21,-9.6915635658010208e-28
0.02,2.0010832284688907e-17,-1.5390506354266325e-18,-1.6209605903813332e-18,-4.117882710174548e-19,-1.9786065459844987e-19,-1.0042286357606549e-20,-2.3559184756101731e-26
0.0225,1.0891706486924014e-17,-2.0345494553189791e-18,-4.3698735333848308e-18,-1.1546778643856933e-18,-1.805198182363659e-19,-5.0176509669924583e-20,-9.724531656921238e-25
0.025,1.3978728358390577e-18,-7.9942144885853815e-19,-3.8493968333074088e-18,-2.3959295845339386e-18,-1.7588050751159423e-19,-1.2776452567793503e-19,-1.5166298312889636e-23
0.0275,-1.0365349901474729e-17,-9.8910956727223432e-20,-1.3993111898524623e-18,-2.0763469840495411e-18,-9.5483250303554797e-19,-2.0715807097948795e-19,-2.139968418335137e-22
0.03,-1.4347891589325119e-17,1.7525028363698077e-19,2.0496579752845415e-18,-6.7976067121786514e-19,-1.474705500614418e-18,-4.0955445404060162e-19,-1.6248651124021127e-21
0.0325,-8.6642195489319844e-18,8.1291690651327179e-20,2.7020159022446292e-18,2.5950405830091398e-18,-5.3782651181245828e-19,-8.8593951083643725e-19,-8.3147947367245328e-21
0.035,-1.9595171271038864e-18,-2.6567569520567674e-20,1.6297315235710257e-18,4.6747619750540743e-18,1.4783685694351259e-19,-1.0437459724321128e-18,-2.9075098623502312e-20
0.0375,-9.2300277600214232e-20,-9.8788204972743483e-20,6.0581468375226449e-19,3.7957799245444722e-18,4.4998947428055946e-19,-3.6346183216674267e-19,-5.9341645287945818e-20
0.04,4.4254479794512373e-19,-1.687839835915815e-19,-3.2721855414055973e-21,1.7637470144229853e-18,9.8771021551944619e-19,4.277247192607821e-19,-6.5486826095460716e-20
0.0425,1.5106256893731109e-18,-2.8802865081955e-19,-2.8802918075526284e-19,3.0777628617550496e-19,9.9931887111151565e-19,7.2556168075168509e-19,-2.6999166571785089e-20
0.045,1.3970121364495137e-18,-4.8607841150838353e-19,-5.501184700635226e-19,-3.6570321241594158e-19,4.0521276591566474e-19,9.176370765773867e-19,9.1780095006476407e-21
0.0475,3.9858394771797176e-19,-6.8285699122117166e-19,-9.997532610363366e-19,-6.3882025548790912e-19,-3.8550966112223177e-20,1.0172850042376013e-18,5.180170872659814e-20
0.05,1.089949154585784e-19,-8.211475112771558e-19,-1.5264281277544245e-18,-8.7408430906588249e-19,-1.4136265664548577e-19,6.4755602239162154e-19,1.694272734412233e-19
0.0525,5.5355941165015485e-19,-8.843114778749235e-19,-1.802134626672698e-18,-1.144744472049918e-18,-1.3789806787186128e-19,2.1089930708700936e-20,2.1169789371304278e-19
0.055,1.2533952078828112e-18,-7.9622959513188497e-19,-1.6226063308014332e-18,-1.3022941857996169e-18,-1.2831317146882046e-19,-2.839693433670696e-19,6.4658146352508005e-20
0.0575,2.2319166908299963e-18,-4.0578641609050167e-19,-1.0528757504030706e-18,-1.1871140458741203e-18,-1.031001221980071e-19,-3.2823655003895133e-19,-2.3541328053867341e-19
0.06,3.2308768251513581e-18,4.6535265696714673e-20,-3.6694730524431423e-19,-7.5580339475847905e-19,-6.3395762753972869e-20,-4.0037844871669095e-19,-5.8543472087456634e-19
0.0625,3.5747026254594911e-18,2.3588108174717406e-19,1.9344071907130949e-19,-1.3787575055573703e-19,-3.274777282646601e-20,-3.8236102422597329e-19,-7.3000432763512229e-19
0.065,3.0277307279455388e-18,2.900002190259544e-19,4.6825165840909256e-19,4.2505494519654651e-19,1.2704320289923633e-20,-2.0053664693712984e-19,-5.1972548043168085e-19
0.0675,2.0140164444226506e-18,3.7614143286548037e-19,4.7216155284148941e-19,7.1921935803215753e-19,1.1128251846624876e-19,-6.116100802757528e-20,-2.0487601673683736e-19
0.07,1.0781914641707391e-18,3.9003057584902359e-19,3.7948283229752295e-19,7.4655346779585134e-19,2.1565237296508412e-19,7.8050466846090094e-21,-5.18117009048598e-20
0.0725,4.2619702588113945e-19,2.0199472702801653e-19,2.8665165513050251e-19,5.8249945814082481e-19,2.3108280390309567e-19,1.9896367255358134e-19,9.3611987860655782e-20
0.075,3.1073467881619347e-21,-1.2513358647401223e-19,5.3049229748063356e-20,3.6532763338611141e-19,1.5885137103401105e-19,5.2097809109256846e-19,3.9163130613032729e-19
0.0775,-2.3785829141967913e-19,-4.949588340018631e-19,-4.2490556597120785e-19,7.119864152946021e-20,8.6717522014706427e-20,6.3728907545252966e-19,5.7302351006613193e-19
0.08,-3.2719568848579867e-19,-7.9782658083355041e-19,-9.747309703017117e-19,-3.7534740843041506e-19,2.2475540478312216e-20,4.6166691246644594e-19,4.4628473536685074e-19
0.0825,-3.2753238388484931e-19,-9.3811580611433749e-19,-1.3179905285087367e-18,-9.273627171221919e-19,-4.176140972548583e-20,2.4135116525482136e-19,2.5854712790775764e-19
0.085,-3.0066875759211951e-19,-9.1373421505538343e-19,-1.3673317136467412e-18,-1.4196016080397031e-18,-1.1090277785859576e-19,2.0138793229500389e-19,2.1826962481694279e-19
0.0875,-2.8442469304798911e-19,-8.1614823580545794e-19,-1.2203260092157995e-18,-1.688964441839793e-18,-2.4437629023160877e-19,7.7255865550575802e-20,1.7310604886828316e-19
0.09,-2.7892308213400464e-19,-7.0893633219621584e-19,-1.0080718791652394e-18,-1.6380731003637356e-18,-4.412670606109886e-19,-3.5419301151126725e-19,-1.3947877809172096e-20
0.0925,-2.6845884959185389e-19,-6.0368279034507358e-19,-7.9439894154461796e-19,-1.2683510384510935e-18,-5.5772550127212093e-19,-8.14022765452081e-19,-2.0895402329812953e-19
