Physical Time (s),ew_left Monitor (W)
0.0025,-1.6858912794743029e-18
0.005,-1.353613340101472e-16
0.0075,-2.1204766367466259e-15
0.01,-7.0251246803860748e-15
0.0125,-5.9955116843023804e-14
0.015,-1.3388293324976508e-14
0.0175,-1.5871389189971876e-14
0.02,-5.0620152451202577e-14
0.0225,-1.0419866154480351e-12
0.025,-2.0222203057497123e-13
0.0275,-4.0592513983709652e-14
0.03,-2.3276186724542247e-14
0.0325,-1.626701769321981e-14
0.035,-6.8188136791815499e-15
0.0375,-4.0936875360993448e-15
0.04,-4.9841997126579099e-15
0.0425,-7.4293309714786679e-15
0.045,-1.0115020729427026e-14
0.0475,-1.2530180880272407e-14
0.05,-1.3411311494501775e-14
0.0525,-1.2685706063544884e-14
0.055,-1.0919712027462391e-14
0.0575,-9.4186340859223676e-15
0.06,-8.7613372952539014e-15
0.0625,-8.6843025631899285e-15
0.065,-8.7083430315641992e-15
0.0675,-8.4950214467666472e-15
0.07,-7.9302556794183717e-15
0.0725,-7.1333021290194859e-15
0.075,-6.290283383044777e-15
0.0775,-5.5944315511908883e-15
0.08,-5.171346633494734e-15
0.0825,-5.0804923297774468e-15
0.085,-5.3178322063416547e-15
0.0875,-5.8065685467509047e-15
0.09,-6.392780032039019e-15
0.0925,-6.9132670240502298e-15
0.095,-7.2099293948675969e-15
0.0975,-7.2024025725335625e-15
0.1,-6.8831515627634819e-15
0.1025,-6.3415171213115123e-15
0.105,-5.7293118304071805e-15
0.1075,-5.1909706122111187e-15
0.11,-4.8109913864971707e-15
0.1125,-4.6119651681008465e-15
0.115,-4.5690825235637336e-15
0.1175,-4.6355611083388314e-15
0.12,-4.7596755264254844e-15
0.1225,-4.9018182043136721e-15
0.125,-5.0377781475170957e-15
0.1275,-5.1421419487423585e-15
0.13,-5.2040261177026447e-15
0.1325,-5.218476178757706e-15
0.135,-5.1883067985592701e-15
0.1375,-5.1229903699050961e-15
0.14,-5.0358008550832581e-15
0.1425,-4.9461328376449087e-15
0.145,-4.8610860952361346e-15
0.1475,-4.7932587217246846e-15
0.15,-4.7544541151451258e-15
0.1525,-4.7478369285991732e-15
0.155,-4.7697169163886077e-15
0.1575,-4.8111790128770479e-15
0.16,-4.860202881487192e-15
0.1625,-4.9039060489300052e-15
0.165,-4.9241315919474486e-15
0.1675,-4.9005615616444687e-15
0.17,-4.8152914772621674e-15
0.1725,-4.6577516956901437e-15
0.175,-4.4262471464527846e-15
0.1775,-4.131071198847722e-15
0.18,-3.8019798897837609e-15
0.1825,-3.4693373825879116e-15
0.185,-3.1668594820998014e-15
0.1875,-2.9206706902235731e-15
0.19,-2.7456881570221942e-15
0.1925,-2.6392360025270502e-15
0.195,-2.5942424166764301e-15
0.1975,-2.5947946777203194e-15
0.2,-2.6252793886922249e-15
0.2025,-2.6767004617624488e-15
0.205,-2.7423749862980331e-15
0.2075,-2.8135890180119721e-15
0.21,-2.8834473927893357e-15
0.2125,-2.9570018210551529e-15
0.215,-3.0388366018738493e-15
0.2175,-3.1278363814243284e-15
0.22,-3.2231179713892745e-15
0.2225,-3.3177996411373864e-15
0.225,-3.4031775717219673e-15
0.2275,-3.4700441683511745e-15
0.23,-3.5093243942018471e-15
0.2325,-3.5106834895913261e-15
0.235,-3.4663914288241362e-15
0.2375,-3.3733504807492319e-15
0.24,-3.2332189547946906e-15
0.2425,-3.0525208532054282e-15
0.245,-2.8397618796507203e-15
0.2475,-2.6096788448958929e-15
0.25,-2.3768060871556768e-15
0.2525,-2.1598613462728197e-15
0.255,-1.9679130744286575e-15
0.2575,-1.8050141574063592e-15
0.26,-1.6729824061587966e-15
0.2625,-1.5699032854760657e-15
0.265,-1.4944028739275151e-15
0.2675,-1.4435887815389168e-15
0.27,-1.4131369704144911e-15
0.2725,-1.4002540553623631e-15
0.275,-1.4011258983705249e-15
0.2775,-1.4125630087420073e-15
0.28,-1.4302779876078505e-15
0.2825,-1.4509062101121835e-15
0.285,-1.4728866801342329e-15
0.2875,-1.49223792631188e-15
0.29,-1.5053468691855864e-15
0.2925,-1.51060143818963e-15
0.295,-1.5074683777161652e-15
0.2975,-1.4959358360897908e-15
0.3,-1.4762771016508495e-15
0.3025,-1.4497961586603398e-15
0.305,-1.4181690392834779e-15
0.3075,-1.3832643662808892e-15
0.31,-1.3469757789972387e-15
0.3125,-1.3103134211073473e-15
0.315,-1.2747821117383025e-15
0.3175,-1.2404279926117132e-15
0.32,-1.207278263308956e-15
0.3225,-1.1756826550643053e-15
0.325,-1.1444048038615301e-15
0.3275,-1.1130488143229243e-15
0.33,-1.081602392935907e-15
0.3325,-1.049996077356043e-15
0.335,-1.0182170516997033e-15
0.3375,-9.860516633288465e-16
0.34,-9.5490579691696132e-16
0.3425,-9.2499322329855825e-16
0.345,-8.9638082155758361e-16
0.3475,-8.6852829698576075e-16
0.35,-8.4036597576653577e-16
0.3525,-8.1219183851220977e-16
0.355,-7.8330588945597791e-16
0.3575,-7.5351955387475386e-16
0.36,-7.2303159889853131e-16
0.3625,-6.9203742002987285e-16
0.365,-6.6089728801207076e-16
0.3675,-6.3055767895580016e-16
0.37,-6.0138916443691567e-16
0.3725,-5.7427224377849765e-16
0.375,-5.4950942961874178e-16
0.3775,-5.2823848969177918e-16
0.38,-5.1055050304074521e-16
0.3825,-4.9676615213287467e-16
0.385,-4.8678057299669827e-16
0.3875,-4.8075836261615784e-16
0.39,-4.792231435445292e-16
0.3925,-4.8194042606795774e-16
0.395,-4.8883627528920208e-16
0.3975,-4.9946256265519238e-16
0.4,-5.1319344230944743e-16
0.4025,-5.2889857376510652e-16
0.405,-5.4604049418671518e-16
0.4075,-5.6311421796642054e-16
0.41,-5.7820941405286371e-16
0.4125,-5.8959999132699929e-16
0.415,-5.9620920289626971e-16
0.4175,-5.970606749687658e-16
0.42,-5.9167551398114068e-16
0.4225,-5.8003848176543376e-16
0.425,-5.6246728021112466e-16
0.4275,-5.3960362434503805e-16
0.43,-5.1192136566134844e-16
0.4325,-4.7991269546283401e-16
0.435,-4.4449383103351561e-16
0.4375,-4.0595817095577512e-16
0.44,-3.647159501534173e-16
0.4425,-3.2178590137872302e-16
0.445,-2.7836051660198575e-16
0.4475,-2.3642237818195661e-16
0.45,-1.9792747283835793e-16
0.4525,-1.6473798439382617e-16
0.455,-1.3864324944377521e-16
0.4575,-1.2093611911376734e-16
0.46,-1.1227108883226707e-16
0.4625,-1.1246223355668239e-16
0.465,-1.2065826493094244e-16
0.4675,-1.3474707727380582e-16
0.47,-1.5320714795887077e-16
0.4725,-1.721487936033968e-16
0.475,-1.9070379343477052e-16
0.4775,-2.0699308909161994e-16
0.48,-2.1827819709375266e-16
0.4825,-2.2455153396584767e-16
0.485,-2.2580175094116359e-16
0.4875,-2.2373296586775804e-16
0.49,-2.2001246712303226e-16
0.4925,-2.1630024474563068e-16
0.495,-2.1404399452711599e-16
0.4975,-2.1368786217575634e-16
0.5,-2.1488391288986316e-16
0.5025,-2.1630761143887948e-16
0.505,-2.1647828025220554e-16
0.5075,-2.1314117446584333e-16
0.51,-2.0542397513107939e-16
0.5125,-1.9188071116768339e-16
0.515,-1.72937307290977e-16
0.5175,-1.4950802318737575e-16
0.52,-1.229754136958103e-16
0.5225,-9.5767450715846175e-17
0.525,-7.0823738892859458e-17
0.5275,-4.9801283406470236e-17
0.53,-3.3857724178316047e-17
0.5325,-2.3134111669953399e-17
0.535,-1.7710463630495509e-17
0.5375,-1.6717334746829412e-17
0.54,-1.8702229914800095e-17
0.5425,-2.2196645714793222e-17
0.545,-2.5744416508113905e-17
0.5475,-2.806064906813198e-17
0.55,-2.8783756027091116e-17
0.5525,-2.7759359990528355e-17
0.555,-2.5502456926143418e-17
0.5575,-2.2457171437785362e-17
0.56,-1.9465414313141585e-17
0.5625,-1.6886693959827602e-17
0.565,-1.5097110077134725e-17
0.5675,-1.4101362881287708e-17
0.57,-1.3962080893944679e-17
0.5725,-1.4429985293040469e-17
0.575,-1.515842273111061e-17
0.5775,-1.5773429709149816e-17
0.58,-1.598601830025835e-17
0.5825,-1.5655242594754411e-17
0.585,-1.4777506744824631e-17
0.5875,-1.3408374547406634e-17
0.59,-1.1715109836918297e-17
0.5925,-9.8459376774571483e-18
0.595,-7.9683193295140589e-18
0.5975,-6.2796271936082977e-18
0.6,-4.8242821488165014e-18
0.6025,-3.6905536713492366e-18
0.605,-2.8140278839131775e-18
0.6075,-2.2012378889696389e-18
0.61,-1.8139832343444435e-18
0.6125,-1.5966484095416808e-18
0.615,-1.5212923044144628e-18
0.6175,-1.5841765168043427e-18
0.62,-1.7247191481146967e-18
0.6225,-1.9641034042185327e-18
0.625,-2.2754023856030329e-18
0.6275,-2.659344452592283e-18
0.63,-3.1284581636213763e-18
0.6325,-3.6484508881946032e-18
0.635,-4.1854861221471429e-18
0.6375,-4.6850169846771483e-18
0.64,-5.0505461150141528e-18
0.6425,-5.2330801010503218e-18
0.645,-5.2179950733246647e-18
0.6475,-5.1179308090264089e-18
0.65,-5.1826124269557478e-18
0.6525,-5.7820854775883997e-18
0.655,-7.2818203596622682e-18
0.6575,-9.8807699126048704e-18
0.66,-1.3497472784291162e-17
0.6625,-1.7834057278370501e-17
0.665,-2.2025479146109042e-17
0.6675,-2.5379408094983427e-17
0.67,-2.7580953705533292e-17
0.6725,-2.7700261162417058e-17
0.675,-2.6191605538137993e-17
0.6775,-2.2914307307096617e-17
0.68,-1.925055268095738e-17
0.6825,-1.5265269884546525e-17
0.685,-1.1959209233558499e-17
0.6875,-9.8408331381528761e-18
0.69,-9.2722040328449697e-18
0.6925,-1.0255252981708891e-17
0.695,-1.2470008723899276e-17
0.6975,-1.5259521719017843e-17
0.7,-1.8104516605357699e-17
0.7025,-2.0360589496385425e-17
0.705,-2.1410263225285143e-17
0.7075,-2.1026570355177394e-17
0.71,-1.957464833175568e-17
0.7125,-1.7362108087885585e-17
0.715,-1.4861990803980449e-17
0.7175,-1.2674400916166105e-17
0.72,-1.1002151829075979e-17
0.7225,-9.3527816346702236e-18
0.725,-8.1339917977984957e-18
0.7275,-7.3832872307713986e-18
0.73,-7.0386934094370566e-18
0.7325,-6.9597705895512792e-18
0.735,-7.0168076989627609e-18
0.7375,-7.0961546243357684e-18
0.74,-7.1200323373519307e-18
0.7425,-6.9522163048220327e-18
0.745,-6.8616321560944591e-18
0.7475,-6.8964920363027613e-18
0.75,-7.1105158986987419e-18
0.7525,-7.5327142064422789e-18
0.755,-8.4127710117958671e-18
0.7575,-9.5033812864077983e-18
0.76,-1.0822070498403212e-17
0.7625,-1.2359273065613957e-17
0.765,-1.3872502194970914e-17
0.7675,-1.5217624885190749e-17
0.77,-1.6362416602639442e-17
0.7725,-1.7206516585129444e-17
0.775,-1.7683189746243822e-17
0.7775,-1.7776268125009216e-17
0.78,-1.747715643527761e-17
0.7825,-1.6775336066321177e-17
0.785,-1.5754236228499009e-17
0.7875,-1.4459872916602458e-17
0.79,-1.2947747732194306e-17
0.7925,-1.1366391594803444e-17
0.795,-9.6622529693643414e-18
0.7975,-8.101173060632483e-18
0.8,-6.7040944699384384e-18
0.8025,-5.564075047869002e-18
0.805,-4.725744070621011e-18
0.8075,-4.0690033718772488e-18
0.81,-3.6639815251149459e-18
0.8125,-3.429966579283039e-18
0.815,-3.2927033670740089e-18
0.8175,-3.2066471327017536e-18
0.82,-3.116462716752406e-18
0.8225,-2.9944998733920141e-18
0.825,-2.8188330540618416e-18
0.8275,-2.6243367850375897e-18
0.83,-2.4068089929829155e-18
0.8325,-2.2067935406199115e-18
0.835,-2.0409108962874134e-18
0.8375,-1.9120617580755704e-18
0.84,-1.8259288274673568e-18
0.8425,-1.7991559319606255e-18
0.845,-1.8157654980125943e-18
0.8475,-1.854422117944449e-18
0.85,-1.950410497536635e-18
0.8525,-2.1293261797571801e-18
0.855,-2.3229390414408937e-18
0.8575,-2.5305588334586696e-18
0.86,-2.7209039032190677e-18
0.8625,-2.8788275243359931e-18
0.865,-2.9932781293373882e-18
0.8675,-3.0615323257753935e-18
0.87,-3.0816343547970775e-18
0.8725,-3.0461488745213222e-18
0.875,-2.9617106728365829e-18
0.8775,-2.8334496782118556e-18
0.88,-2.6740984062234067e-18
0.8825,-2.491823366198709e-18
0.885,-2.3039173389024009e-18
0.8875,-2.1257706112867145e-18
0.89,-1.9762893696579511e-18
0.8925,-1.8520919869175812e-18
0.895,-1.8138801426476038e-18
0.8975,-1.8650011322771784e-18
0.9,-1.9548713096214351e-18
0.9025,-2.1613596425324854e-18
0.905,-2.423652550356904e-18
0.9075,-2.7699905900227742e-18
0.91,-3.1921553267224255e-18
0.9125,-3.7472770402375119e-18
0.915,-4.3765116163605137e-18
0.9175,-5.037586309038734e-18
0.92,-5.6833069876077379e-18
0.9225,-6.2874506310721793e-18
0.925,-6.837524758454374e-18
0.9275,-7.3222796750166033e-18
0.93,-7.6862814746744244e-18
0.9325,-7.904084811464996e-18
0.935,-7.9361065221660173e-18
0.9375,-7.7875634445547574e-18
0.94,-7.4611262536386465e-18
0.9425,-6.9842708334682144e-18
0.945,-6.3881498877262801e-18
0.9475,-5.7103015152649396e-18
0.95,-4.9926443635951009e-18
0.9525,-4.2751770478447335e-18
0.955,-3.6270876281200156e-18
0.9575,-3.063398448061501e-18
0.96,-2.6030542598670464e-18
