Physical Time (s),ew_right Monitor (W): right_cv1,ew_right Monitor (W): right_cv2,ew_right Monitor (W): right_cv3,ew_right Monitor (W): right_cv4,ew_right Monitor (W): right_cv5,ew_right Monitor (W): right_cv6,ew_right Monitor (W): right_cv7
0.0025,5.1328571574048013e-13,1.3004340815269189e-15,1.8837404996125018e-19,4.8255930156506698e-21,1.8807571220811844e-22,2.0866627983621137e-24,2.7662868749423232e-27
0.005,1.637033690830628e-12,2.133368932797374e-14,1.4983169539225622e-17,5.3004123256588425e-20,1.4300829304991859e-21,1.1366927238804364e-23,1.0956066680726615e-26
0.0075,4.3724923276535665e-12,4.271573016423848e-13,6.6903789074599963e-16,1.5774339451842876e-18,2.1031878979711631e-20,1.2682822903051964e-22,1.2475946797175387e-25
0.01,3.0368214982580102e-12,1.0250580211149879e-13,4.3179081806549355e-15,3.9724110110900551e-17,1.9200189235871114e-19,7.5390653646846175e-22,3.5170768449818945e-25
0.0125,2.0268002962071786e-12,6.7984860983808062e-14,1.8217788104973264e-14,4.613681058091005e-16,3.254778558702226e-18,2.9700095168656746e-21,1.2674665970201065e-24
0.015,1.2329180352260276e-12,4.2146122359354795e-13,4.3151218503015225e-14,1.9720243164104644e-15,4.5790167382902216e-17,9.8020721813042254e-21,2.9074774297363526e-24
0.0175,1.1757202052183609e-12,2.0302531579384672e-12,4.1365378450137928e-15,3.5077153944971163e-15,3.0855997551380274e-16,6.452099649138781e-20,4.2305012938061684e-24
0.02,1.2596842026925843e-12,1.8310763421138824e-12,2.7110540550532882e-14,2.1007133232670402e-15,8.6584137815032612e-16,5.7071343477756308e-19,1.1555468476621009e-22
0.0225,1.3424429495970792e-12,6.5759122532882606e-14,5.4691359848014943e-13,1.1142576530804347e-15,1.6553230603381966e-15,6.919099026754123e-18,6.2896165559619854e-22
0.025,1.1837249550858987e-12,6.1067984100609427e-13,9.9062371634387175e-13,8.8163431030035006e-15,1.5629511344895609e-15,4.7845083558681948e-17,2.8941028111082537e-21
0.0275,1.1222726633936058e-12,5.4588749540183796e-13,6.0030522024170652e-14,3.6758709067668133e-14,1.3772905597004903e-15,1.9430005551491669e-16,1.7959732483200871e-20
0.03,1.1984551603207355e-12,1.752290629792105e-13,3.4182716718118657e-14,3.1821745139827822e-13,4.5451337778829189e-15,4.6558545309920441e-16,1.2184295213233449e-19
0.0325,1.3550464214730825e-12,1.7206684666410783e-14,2.0836452097086283e-13,4.6134358424229919e-14,1.0515614508942644e-14,6.3937182373738615e-16,7.4273539016661836e-19
0.035,1.5791938366337386e-12,1.8445513761281652e-14,2.1447507296160535e-13,1.6984046609779349e-14,5.9793661495632478e-14,4.7256655937159373e-16,3.6949447680250707e-18
0.0375,1.9059569543510633e-12,2.1101327606313816e-14,1.7789431992900372e-14,2.5583905799803937e-14,2.4369774468810807e-14,4.4982430005739298e-16,1.4171933086932033e-17
0.04,2.3537598922375548e-12,1.9880836925060796e-14,4.705843782037997e-15,1.2233927756985851e-13,5.6446795161886928e-15,1.7036769103087186e-15,4.0061344676815159e-17
0.0425,2.9424998027532968e-12,1.766105381665648e-14,5.6408451229206418e-15,3.8819062608999089e-14,1.1761238796643636e-14,3.8140437270819168e-15,8.1189108540705865e-17
0.045,3.7018078309237327e-12,1.5257404682916157e-14,6.4896044207854155e-15,2.6517786708108004e-15,1.6332603242950788e-14,4.480348173583933e-15,1.0914992907615826e-16
0.0475,4.6915874054687147e-12,1.2905175340102836e-14,7.1300072190586639e-15,2.4024883283271361e-15,1.8852581657241112e-14,2.3490391452156586e-15,9.2445125823191115e-17
0.05,5.8755995122920221e-12,1.1607891338377976e-14,7.7525232604253808e-15,3.4005182282996259e-15,2.0518858725848639e-15,1.0678657721056994e-15,9.8054858226341927e-17
0.0525,7.1827899813332174e-12,1.2756120330793402e-14,8.1092556564128376e-15,3.7719796233328208e-15,1.7638312802477416e-15,2.5764682356296098e-15,3.6184542378848733e-16
0.055,8.5144607136332609e-12,1.5871617872270014e-14,8.1099407224842848e-15,3.8088060887225892e-15,2.7212475592318757e-15,3.8089548723146934e-15,1.0380366486102618e-15
0.0575,9.7790557362989682e-12,2.0852332620956643e-14,7.9563460020270348e-15,3.6431089221266597e-15,2.6279056905333435e-15,2.540894853506318e-15,1.6991410404986341e-15
0.06,1.0847439253779406e-11,2.7487342135519564e-14,7.9690661259404814e-15,3.3448185896700834e-15,1.8529194503850018e-15,6.4816845906554547e-16,1.5967024981002465e-15
0.0625,1.1640750267786129e-11,3.3766194813578885e-14,8.2173822049537087e-15,3.1061549845456659e-15,1.1281805257630979e-15,7.8571462883835514e-16,9.7281444522518756e-16
0.065,1.2091193006082835e-11,3.7622049952905589e-14,8.3730558534243272e-15,3.1319698836986251e-15,7.4158735466875047e-16,1.888769663811623e-15,9.445873423018351e-16
0.0675,1.2113191696816009e-11,3.8196972236623631e-14,7.96664379182842e-15,3.3665718958430078e-15,7.5175885764674215e-16,2.116129841028292e-15,2.0880946936328428e-15
0.07,1.1683967138133409e-11,3.5475323739725877e-14,6.8822858894459767e-15,3.4586190632435952e-15,1.0819308817260401e-15,1.4069270078461862e-15,3.1372155393002269e-15
0.0725,1.0818728332155264e-11,3.2611865913585467e-14,5.5638200636881651e-15,2.9952312719717169e-15,1.5196832049337393e-15,6.8495318016858967e-16,2.7348014543187116e-15
0.075,9.6489285981289406e-12,3.1636145733364248e-14,4.730756648729318e-15,2.0963533005251136e-15,1.742322545091387e-15,7.1217064577353548e-16,1.3672014878151684e-15
0.0775,8.392577416986176e-12,3.3605244826012486e-14,4.8145115135476707e-15,1.3385236692275869e-15,1.5516019096166034e-15,1.5995022257912234e-15,8.2596157355517051e-16
0.08,7.3562429125095625e-12,3.7202940766492176e-14,5.6899158508364284e-15,1.2590874469597346e-15,1.0698090714336735e-15,2.9199395901365159e-15,1.2965561526370861e-15
