Physical Time (s),ew_top Monitor (W): top_cv1,ew_top Monitor (W): top_cv2,ew_top Monitor (W): top_cv3,ew_top Monitor (W): top_cv4,ew_top Monitor (W): top_cv5,ew_top Monitor (W): top_cv6,ew_top Monitor (W): top_cv7
0.0025,1.1205316281212189e-24,1.219293356934515e-28,3.5832647259804547e-29,8.2948985944148127e-29,2.588674447079285e-30,1.1886891601250263e-31,5.8420435783980235e-35
0.005,2.8026436628276115e-21,-2.4281321130813262e-24,-3.584287409895966e-24,-7.8318626354584774e-27,2.0375363305588276e-28,3.9583579292114624e-30,2.0824623462460673e-33
0.0075,3.1894249436056998e-19,-8.7949012591084966e-22,-2.0060476961933862e-21,-2.9488734513545442e-23,-3.2975677210276769e-27,2.3574492449939117e-28,8.5693518767972361e-32
0.01,3.4623730616324921e-18,-2.2462577721846951e-20,-8.2515844160055726e-20,-4.0618135729518291e-21,-7.1925899600990939e-24,4.7410376467288264e-27,2.0025663648468086e-30
0.0125,7.4759339436093898e-18,-1.0888072986351084e-19,-6.1247139678052964e-19,-9.1118753425351145e-20,-7.2881491498894626e-22,-7.4803370885842729e-25,3.0068969426141739e-29
0.015,4.4272449855775544e-18,-1.2321039213803541e-19,-1.1853877472434757e-18,-5.1833468279478259e-19,-1.618210783310216e-20,-6.7134575818684154e-23,1.7440419912779706e-28
0.0175,1.4755124632019762e-17,-6.3730304598904606e-20,-3.9960384041957638e-19,-8.5231743308778072e-19,-1.0425214389186252e-19,-1.5939349388300582e-21,-9.9726832297521049e-28
0.02,1.2348353287608541e-17,-1.5696647986030983e-18,-2.150907483166382e-18,-3.0967195281274197e-19,-7.6540930444245361e-20,-2.6079053016296867e-21,-1.3897373607042485e-25
0.0225,1.7350417935179189e-17,-2.4099467326986561e-18,-5.8142804186416127e-18,-1.0840790829924753e-18,-2.7883656180889417e-19,-1.5765078273949766e-20,-6.9444652356847074e-24
0.025,-6.3598536639353925e-18,-7.866484460144543e-19,-2.9639266355291749e-18,-1.891040512756075e-18,-5.4699574244466389e-19,-6.69220029631075e-20,-1.2163019237089178e-22
0.0275,-4.8541157252854633e-17,-8.3189525327947747e-20,-6.4441703888116117e-19,-1.3492957014668077e-18,-8.6792356324672904e-19,-2.4195736908920174e-19,-1.0683903502788767e-21
0.03,-4.7272752743193817e-17,1.1253980454352057e-19,2.0535955867735208e-18,-5.0914236277163895e-19,-1.257531605926678e-18,-5.6797922549084057e-19,-5.3663733894668486e-21
0.0325,-2.2953240759972737e-17,4.4364993804101488e-20,3.1880318831306398e-18,1.7871342958272628e-18,-5.8604469380552993e-19,-7.4285191495708319e-19,-1.5742732586155948e-20
0.035,-6.7643578414376273e-18,-2.9704328858157394e-20,2.1500331215031155e-18,3.9736793994955668e-18,9.3322911332955094e-19,-5.220573189202618e-19,-2.8407050774783628e-20
0.0375,-3.9132968040396995e-19,-6.8274668523636697e-20,8.021791733381255e-19,3.4479042308910508e-18,1.4009518078804406e-18,-2.237995418012554e-19,-3.7869996724746176e-20
0.04,3.1756022528938745e-18,-8.1661515898382435e-20,-2.0244611742973147e-20,1.5691123412602645e-18,1.105100376876489e-18,1.9991974617324411e-19,-4.842569618049441e-20
0.0425,9.9550032437272001e-18,-9.5693596780104121e-20,-3.5987625118888132e-19,2.9457966769966119e-19,7.0270837510133115e-19,8.2075528626753709e-19,-4.1758160139431247e-20
0.045,2.0122408848944314e-17,-1.5223045373228181e-19,-6.1303658283414371e-19,-1.6140938878553037e-19,2.5002229869158492e-19,1.005126023133726e-18,3.5853357946754122e-20
0.0475,2.6996614260362527e-17,-1.9863439999949553e-19,-1.0029530659886712e-18,-2.96964644875749e-19,-2.1039628187883667e-20,7.9957718965992854e-19,1.5898527339799772e-19
0.05,2.6755307233481587e-17,-1.971233245469987e-19,-1.4542737809184675e-18,-4.2991284305459327e-19,-1.5323650229690139e-19,5.1212505657430525e-19,2.0620525284743889e-19
0.0525,2.3013313273953611e-17,-2.6784769638171435e-19,-1.7832301084232741e-18,-6.3871053211292257e-19,-3.272897802905568e-19,8.9426209803018719e-20,1.2927514497189975e-19
0.055,1.9693529900353006e-17,-3.5693598441102889e-19,-1.8222330868709494e-18,-8.202889794642057e-19,-4.9448444031347871e-19,-3.5642196392320048e-19,-1.0466638564100716e-20
0.0575,1.7618883682407733e-17,-1.9937326771013887e-19,-1.3526695499371513e-18,-8.1368591441788425e-19,-5.1832572387886033e-19,-5.155404157166248e-19,-1.3930836024975552e-19
0.06,1.6456684940102814e-17,3.8180747235334499e-20,-4.951177055348475e-19,-5.4085894124015698e-19,-3.5996212554483134e-19,-4.0074879420961648e-19,-2.3025130059471626e-19
0.0625,1.563964127785931e-17,1.2002348374367882e-19,2.0015208485513462e-19,-1.2229806315537395e-19,-1.4204891668856577e-19,-2.3941402530888576e-19,-3.2362641904747728e-19
0.065,1.4358274240048132e-17,1.7900220998853128e-19,4.0822015159349814e-19,2.2623043387199944e-19,9.0411602442273688e-21,-1.5380819364461509e-19,-3.9533601590362341e-19
0.0675,1.2078654464294039e-17,2.6160104619897294e-19,3.6503112941027172e-19,4.0760971256346353e-19,6.5716831798904909e-20,-1.0083863772576512e-19,-2.9768336617817446e-19
0.07,9.2402828338134394e-18,2.2443827038200855e-19,3.2292530763929212e-19,4.5049616775184442e-19,1.0507344961885523e-19,-9.3175543910012952e-21,-5.4681206381187105e-20
0.0725,6.8110693993484954e-18,7.326606456090821e-20,2.538425844514122e-19,3.7019676380190684e-19,1.2467192062729306e-19,1.3581185546330772e-19,6.6596227893681372e-20
0.075,5.4976232303488429e-18,-2.8330266802754653e-20,4.9203026372457348e-20,2.3127449392153148e-19,1.0624971986033581e-19,3.1471546404438399e-19,6.0118439883376102e-20
0.0775,5.3699909143042885e-18,-8.8738361877425366e-20,-3.2754867855451037e-19,6.4647819104202509e-20,7.590756514557586e-20,4.388630342813839e-19,2.124598017460542e-19
0.08,5.9459697522954677e-18,-1.38410969161285e-19,-8.3695689118759393e-19,-2.6327109476573678e-19,3.3112149058307389e-20,4.5204143841663564e-19,4.6755115235532807e-19
0.0825,6.6307158504904987e-18,-1.5152045773063156e-19,-1.2710323955746771e-18,-8.1191262690232535e-19,-8.5657909272078167e-20,3.7268647932067003e-19,4.7938518812969641e-19
0.085,6.9480849983578848e-18,-1.2616941327568845e-19,-1.4308097042097876e-18,-1.3119095887723636e-18,-2.9571194643090119e-19,2.4566734967809232e-19,2.4409339913695076e-19
0.0875,6.5948110357228787e-18,-9.9716340721003094e-20,-1.3176944100573363e-18,-1.4543197647163824e-18,-4.6443282420410206e-19,6.0881626014249492e-20,6.4391096474548788e-20
0.09,5.4305854422922305e-18,-8.99298479913796e-20,-1.048621884636904e-18,-1.2382291849344313e-18,-5.0595049933329894e-19,-1.8869297724723072e-19,-1.9229651411437517e-21
0.0925,3.6330537496816278e-18,-8.6704711532318276e-20,-7.4259853173485613e-19,-8.7112401779765706e-19,-5.3809072614287151e-19,-4.7263414302878042e-19,-8.3337443462762517e-20
0.095,1.7492094437737216e-18,-7.9773446377023183e-20,-4.7476761229704967e-19,-5.3291844584465369e-19,-5.9340157684996743e-19,-7.2947727428513977e-19,-1.6609781770812863e-19
0.0975,4.9440548752188791e-19,-6.7618470762723077e-20,-2.8034821223255116e-19,-2.5338779735776997e-19,-5.1429573896483375e-19,-8.1137431684815219e-19,-1.7148048822322501e-19
0.1,4.5666303668954091e-19,-5.6223284633626943e-20,-1.6292888459726748e-19,-3.6449245368392303e-20,-2.1930990114239834e-19,-6.3411432619625485e-19,-1.1983960447413809e-19
0.1025,1.8963092724898326e-18,-5.0535471831652136e-20,-1.064981322803551e-19,8.2225336781317077e-20,1.1020093428963569e-19,-2.6089082792025778e-19,-6.2596729247374831e-20
0.105,4.7469308794505967e-18,-4.8487632458067487e-20,-8.8378723919945277e-20,9.7434580017956329e-20,2.579385681427713e-19,6.0170592464901153e-20,-2.4897631525576804e-20
0.1075,8.6784849245872965e-18,-4.330370493342399e-20,-9.0900381233947779e-20,5.464317570197102e-20,2.203508078987999e-19,1.9501335548799059e-19,-8.5871435994981543e-22
0.11,1.3156809005812957e-17,-3.1267577434463924e-20,-1.0255421499419325e-19,6.4234834178799378e-21,1.2568221649214794e-19,1.8789462746874334e-19,6.3556358635137658e-20
0.1125,1.7580767771954714e-17,-1.5618373763199162e-20,-1.1928212811339568e-19,-3.0540518659515255e-20,5.1111543282543117e-20,1.3707133206044598e-19,1.8858970252054638e-19
0.115,2.1335467548994602e-17,-5.0467691718746006e-22,-1.4299746631187309e-19,-6.6929783468164592e-20,-6.2548757576829434e-21,8.8531261713397957e-20,2.7639882186302704e-19
0.1175,2.4065973902879499e-17,1.4193640056753549e-20,-1.7148996835859162e-19,-1.0593355881573847e-19,-5.9712494480745855e-20,4.9289995808606354e-20,2.2988031718398335e-19
0.12,2.5620521774887166e-17,3.0535046233472094e-20,-1.8978065174651664e-19,-1.293947243271358e-19,-1.0580287434094196e-19,1.55935276087467e-20,1.0384041769161948e-19
0.1225,2.5875841624329991e-17,4.4694539442916114e-20,-1.8234157479584776e-19,-1.2320613913905553e-19,-1.3957482251538559e-19,-3.3963161937960128e-20,9.0250720072244068e-21
0.125,2.4869509702749889e-17,4.7344178052813619e-20,-1.506931669107732e-19,-9.4335687767242625e-20,-1.5811666648313338e-19,-1.1150241614202132e-19,-2.1338577330010902e-20
0.1275,2.2689312622787478e-17,3.3252176897914359e-20,-1.1757510123087399e-19,-6.304499398999955e-20,-1.5697295212336488e-19,-1.8217960463340089e-19,-3.8402392326821044e-20
0.13,1.9527279006803071e-17,9.8324418716940974e-21,-1.0633117186961214e-19,-4.5534276344343807e-20,-1.3506737092094383e-19,-2.0644014929473898e-19,-6.1316499977981287e-20
0.1325,1.5703179475818068e-17,-1.4973935768657018e-20,-1.2571512718880399e-19,-4.5246680837298099e-20,-1.0138606665781354e-19,-1.7250394371239617e-19,-6.3340120107836078e-20
0.135,1.1634324434225393e-17,-4.2705640999051736e-20,-1.6765268662680326e-19,-6.0756874264719774e-20,-7.001080477908992e-20,-1.0615404623296666e-19,-3.7162135371582319e-20
