Physical Time (s),lift Monitor (N)
0.0025,6.084692403752773e-07
0.005,-2.3094751201913719e-07
0.0075,8.2475399739797485e-08
0.01,9.3892289619406231e-08
0.0125,2.6747482378111666e-08
0.015,2.2835583740051021e-09
0.0175,2.7067149615767937e-08
0.02,1.999885589827526e-08
0.0225,-5.4476021921454759e-09
0.025,-3.3139326785653639e-08
0.0275,-4.5635498611177104e-08
0.03,-3.0662800807237358e-08
0.0325,-7.6793228889672213e-09
0.035,2.8019539099926837e-10
0.0375,-1.1784808636884378e-08
0.04,-3.281999975377795e-08
0.0425,-5.0567905767413683e-08
0.045,-5.1745436409446976e-08
0.0475,-4.4214376880403281e-08
0.05,-3.5131298787404284e-08
0.0525,-2.6651882569797411e-08
0.055,-2.2213263753604065e-08
0.0575,-2.2731677216972295e-08
0.06,-2.9784268183063106e-08
0.0625,-3.9405067852537767e-08
0.065,-5.0136390227639924e-08
0.0675,-6.0940802918333229e-08
0.07,-6.9481936128964094e-08
0.0725,-7.2281446336163938e-08
0.075,-6.889694664625779e-08
0.0775,-6.1943257290636585e-08
0.08,-4.965349360887766e-08
0.0825,-3.835211635907947e-08
0.085,-3.067044037720241e-08
0.0875,-2.8931541032489021e-08
0.09,-3.2655141063572502e-08
0.0925,-4.0995880718295156e-08
0.095,-4.9106027382319155e-08
0.0975,-5.47901641376871e-08
0.1,-5.7415613406226693e-08
0.1025,-5.7385843323140814e-08
0.105,-5.5273527527940734e-08
0.1075,-5.2658926130613134e-08
0.11,-5.0084176200580621e-08
0.1125,-4.8163223139197815e-08
0.115,-4.5182106215996897e-08
0.1175,-4.1278869331820323e-08
0.12,-3.647345521166384e-08
0.1225,-3.1975942881749489e-08
0.125,-2.8554232188256805e-08
0.1275,-2.8458535255936257e-08
0.13,-3.2623256251077813e-08
0.1325,-4.0496179316275837e-08
0.135,-4.9577603363826364e-08
0.1375,-5.7664936868005973e-08
0.14,-6.0849854224928135e-08
0.1425,-5.7778929741949945e-08
0.145,-4.8091700086898674e-08
0.1475,-3.5339206102655869e-08
0.15,-2.116366565313209e-08
0.1525,-9.736054812979906e-09
0.155,-3.3027904285211603e-09
0.1575,-2.6833100453775778e-09
0.16,-7.335021164914141e-09
0.1625,-1.4992473571118398e-08
0.165,-2.2900023965422217e-08
0.1675,-3.0506463949952116e-08
0.17,-3.5197806037508505e-08
0.1725,-3.6317323474204117e-08
0.175,-3.2774308144319702e-08
0.1775,-2.5090169104798833e-08
0.18,-1.4817248632382244e-08
0.1825,-3.6449002232123309e-09
0.185,6.7553068437071335e-09
0.1875,1.3821329267859509e-08
0.19,1.6408935690241405e-08
0.1925,1.4660063623028537e-08
0.195,9.4553329630869837e-09
0.1975,2.5806390922290261e-09
0.2,-4.5105009261773691e-09
0.2025,-9.9583347698840841e-09
0.205,-1.2091151612044452e-08
0.2075,-1.030102762619277e-08
0.21,-5.0123163643104062e-09
0.2125,3.2927246822732929e-09
0.215,1.2786301917792041e-08
0.2175,2.205042030639035e-08
0.22,2.9432261432715796e-08
0.2225,3.3647855161698842e-08
0.225,3.4951851348697123e-08
0.2275,3.3406748867624413e-08
0.23,2.9226308456644996e-08
0.2325,2.4008480691579167e-08
0.235,1.9031714289137982e-08
0.2375,1.538153722250903e-08
0.24,1.4056146232996268e-08
0.2425,1.5396740002997887e-08
0.245,1.9274658189400216e-08
0.2475,2.4827691618033388e-08
0.25,3.1050777756607908e-08
0.2525,3.7048880280675052e-08
0.255,4.1892001513379224e-08
0.2575,4.46841030495688e-08
0.26,4.5008737446519376e-08
0.2625,4.3012240125461129e-08
0.265,3.9400081353010587e-08
0.2675,3.5028282600368355e-08
0.27,3.0893189892420422e-08
0.2725,2.7817466266641644e-08
0.275,2.6614113777400211e-08
0.2775,2.7200640984801821e-08
0.28,2.9402585993121188e-08
0.2825,3.266749204181023e-08
0.285,3.6202743137205749e-08
0.2875,3.9233627711589933e-08
0.29,4.1590902223309947e-08
0.2925,4.232921351755554e-08
0.295,4.1458107714165576e-08
0.2975,3.9144475725068619e-08
0.3,3.5834790918721828e-08
0.3025,3.2114425242228975e-08
0.305,2.875353309855953e-08
0.3075,2.6014585390805241e-08
0.31,2.402917204758128e-08
0.3125,2.295848257845774e-08
0.315,2.2970931093102304e-08
0.3175,2.337652742205422e-08
0.32,2.4249587995638849e-08
0.3225,2.4797188236344772e-08
0.325,2.4605840579365934e-08
0.3275,2.3307761753322244e-08
0.33,2.1073220403244484e-08
0.3325,1.8201832209214245e-08
0.335,1.4914305587257966e-08
0.3375,1.1534209457062915e-08
0.34,8.053196984801396e-09
0.3425,5.2609206674984751e-09
0.345,3.2658369642353989e-09
0.3475,2.0639099052530143e-09
0.35,1.3756840187964986e-09
0.3525,9.8156664478648256e-10
0.355,6.5117899098585998e-10
0.3575,1.2259785493250995e-10
0.36,-8.1235279547444943e-10
0.3625,-2.2722919619170108e-09
0.365,-4.5328088278497917e-09
0.3675,-7.4667015322404024e-09
0.37,-1.0979870735932732e-08
0.3725,-1.4673739734462238e-08
0.375,-1.8395138184784841e-08
0.3775,-2.1654108206896491e-08
0.38,-2.4247550193872741e-08
0.3825,-2.6344869607353212e-08
0.385,-2.7621240582269007e-08
0.3875,-2.8485947020551641e-08
0.39,-2.9002531600518121e-08
0.3925,-2.9397492332230667e-08
0.395,-3.0091437578039528e-08
0.3975,-3.1178144828456703e-08
0.4,-3.273039199355148e-08
0.4025,-3.4881704948025631e-08
0.405,-3.7424813386300032e-08
0.4075,-4.0099169321740381e-08
0.41,-4.2536284351833375e-08
0.4125,-4.4594400790521851e-08
0.415,-4.6104522975804999e-08
0.4175,-4.7217946939116793e-08
0.42,-4.8103816677359317e-08
0.4225,-4.8561586529189487e-08
0.425,-4.8687812803618166e-08
0.4275,-4.8629444352795073e-08
0.43,-4.8621360673679321e-08
0.4325,-4.8842941030298137e-08
0.435,-4.9269817458714916e-08
0.4375,-5.0080353680274652e-08
0.44,-5.1103691327696159e-08
0.4425,-5.1937243727215033e-08
0.445,-5.2686974783357046e-08
0.4475,-5.3368747894606144e-08
0.45,-5.3672384972512933e-08
0.4525,-5.3578767991892053e-08
0.455,-5.3055591438701254e-08
0.4575,-5.2129517405778147e-08
0.46,-5.0849666242235291e-08
0.4625,-4.9312055025040411e-08
