Physical Time (s),massspec_vol Monitor (J): cv1,massspec_vol Monitor (J): cv2,massspec_vol Monitor (J): cv3,massspec_vol Monitor (J): cv4,massspec_vol Monitor (J): cv5,massspec_vol Monitor (J): cv6,massspec_vol Monitor (J): cv7
0.0025,6.2580388251319942e-14,-5.3660803080155992e-18,-1.3669985512091072e-17,2.7848969100315551e-18,-5.714546066617994e-16,-3.4066524375503122e-15,-1.3774378152057699e-14
0.005,1.1075226285472197e-13,-2.4609963361859599e-18,-2.1934425108371041e-17,-2.1296146978281561e-17,-1.2895068822360146e-17,-7.3699997652457798e-16,-4.5040999115638576e-15
0.0075,1.2513721968388857e-13,-2.0840652290305787e-18,7.4287876811416361e-18,-2.5349162107581203e-17,-5.2626411248903875e-17,1.5963042359731722e-16,-1.7426832500010263e-15
0.01,1.2903105229288474e-13,9.6293868462883117e-18,4.2849223215477356e-18,3.6730004280603345e-18,4.2789877312004704e-18,4.0469219737738822e-17,-6.7240364868642863e-16
0.0125,1.3019142613388111e-13,1.2401407919793484e-18,2.4547918718188007e-18,4.8861782590129913e-18,3.4351418066197057e-18,-6.2758570403654121e-19,2.2935219595570047e-16
0.015,1.3043441941145016e-13,2.8037052576628613e-17,3.7481838160124719e-18,-7.0312220739285081e-18,1.2824988380709617e-17,-8.1850105272316135e-20,-7.8220024639851463e-16
0.0175,1.3036418983498244e-13,1.714983104699012e-17,-2.2209273078187173e-18,9.4401047077832905e-18,3.4918700422530987e-18,2.0119190167840418e-17,4.4457872750622298e-16
0.02,1.3009870903029064e-13,3.5996729676851829e-17,6.3493299858831374e-18,-5.6342523452024457e-18,-5.3864276651481119e-18,-3.2422099352045284e-19,-1.6150773393475157e-16
0.0225,1.2978553833520679e-13,3.3224666205279221e-17,-2.5000220684656923e-18,-6.9894438486065737e-18,2.1575488289366756e-17,-3.5213999617282348e-17,-1.4850043078704076e-17
0.025,1.2924346827352463e-13,4.6898625021013994e-17,7.5302210625903959e-18,-1.6465567268652219e-17,-1.7445763142141624e-17,-2.9094510276137769e-18,-1.0346271108590654e-16
0.0275,1.2881818229790633e-13,5.258949692662461e-17,1.0055960989485069e-18,-5.351475154444511e-18,1.1883991893887087e-18,1.3523964985263155e-17,5.8286206474245988e-17
0.03,1.2824851254935678e-13,6.9182012781584077e-17,3.1940235800085639e-18,-4.3851835654252962e-18,-1.0138601439978046e-17,-8.7202172407457284e-18,-4.8902904644506721e-18
0.0325,1.2767129033336288e-13,8.6579919609024791e-17,-2.876352577716258e-18,-7.1909333853728396e-18,3.7381386592967093e-18,1.0569774095210878e-18,1.3183685771051515e-17
0.035,1.2701054149738306e-13,1.0254926989971216e-16,-4.0964568108403685e-18,-8.6528411746821733e-18,1.1038447824405996e-17,-5.0086648932996095e-18,-1.0217212590153071e-17
0.0375,1.2633151013388297e-13,1.3045360931122192e-16,8.9678264808279324e-18,5.0593338362664311e-18,-4.110863661353123e-20,-5.1111720442214793e-18,2.3099724358633685e-18
0.04,1.2562876740961608e-13,1.6746315989206064e-16,-2.0574065616734054e-18,-3.1669348588445841e-18,3.8761656583207862e-19,-8.4203906361600372e-18,-1.5386614323126505e-17
0.0425,1.2490621551364152e-13,2.2228210348561485e-16,-9.7359668687168502e-18,4.6761439964877911e-18,4.6497832307248623e-18,1.1009238013725662e-18,1.2418794773884175e-17
0.045,1.241450483958719e-13,2.9392576405348445e-16,-1.2522404597924565e-18,-5.0627203077968431e-18,3.2573314144676466e-18,-5.4976499003630137e-18,3.06688245642285e-17
0.0475,1.2340611890691767e-13,3.784643970212478e-16,4.231226624410515e-18,-8.4584009921713173e-18,-1.0832956217464809e-17,1.527763545916829e-18,9.5706767258679095e-18
0.05,1.2262471532489407e-13,4.9823710490225808e-16,6.8944712991709632e-18,1.0440987780343924e-17,-8.2348829640226208e-18,7.7099827849027241e-18,-3.4616318114362736e-18
0.0525,1.2183340284953103e-13,6.609640884175431e-16,-2.6917271335783513e-18,7.040614471524672e-19,-1.4991555325330149e-17,-2.794084817673045e-18,-3.8400875484183492e-17
0.055,1.210761238311259e-13,8.5143651509055415e-16,4.1065307879654969e-18,4.6111014629692684e-19,5.6181653649099078e-18,-1.1724832229935421e-17,-2.0675488712200913e-17
0.0575,1.2025881356808985e-13,1.07730094160611e-15,-7.7887095750997754e-18,-1.6960047535624743e-17,-5.9867320676767935e-18,9.4504740611036799e-18,-4.8715351802322148e-18
0.06,1.1946655881687591e-13,1.3623584192143362e-15,-1.1411210802483707e-18,1.5376843388887731e-18,-1.7637193688925037e-18,1.0859513743763802e-17,2.3733723336574295e-17
0.0625,1.1863316036659129e-13,1.6914371689036771e-15,-8.0155724997822354e-18,8.6247767197788396e-18,2.7717319809775124e-18,-1.3874107425252934e-17,2.2999608257496037e-17
0.065,1.1776484131498883e-13,2.0485075870953915e-15,1.0497105636788933e-18,-6.389004817588584e-18,-1.364900924979988e-17,-2.0652622952589897e-18,1.7841677532913203e-18
0.0675,1.1685395356531879e-13,2.4413652966831473e-15,-2.411374535022291e-18,2.8825024953646377e-19,3.2823565317527993e-18,9.8807290104132519e-18,-8.4398965273569153e-18
0.07,1.1593620079827227e-13,2.8687492464105035e-15,8.5052062270816509e-19,-4.8295251956834716e-18,-5.138336679772681e-18,-1.5142300398095374e-18,1.6853098977799327e-18
0.0725,1.150047158364194e-13,3.2998999132462883e-15,1.1032061232545238e-17,1.0023179746026734e-17,6.4847678099071968e-18,-1.2907983558496456e-17,-9.380423658978907e-18
0.075,1.141039306996861e-13,3.745574352253583e-15,2.3566725512335309e-18,-2.0480779080411298e-18,-4.61813661944997e-18,1.4333110547526437e-17,-1.2989920212532592e-18
0.0775,1.1320331592810124e-13,4.2049841673476398e-15,5.3016557676219336e-18,-8.2947699493971236e-18,1.8972353006534177e-19,-4.8119411202874396e-18,3.0641284892912537e-18
0.08,1.1234562885361205e-13,4.6586891301725524e-15,8.3772446265051739e-19,-9.082609984974478e-18,-7.4492047463937016e-18,6.1637318791178503e-18,-1.4344275661322875e-17
0.0825,1.1154930351001696e-13,5.098859751749558e-15,-5.9958333560883505e-19,-3.042923565430723e-18,5.7050862807385306e-18,-1.2825233445890616e-17,2.8744366825663766e-17
0.085,1.1076182236430724e-13,5.5369724901765282e-15,5.1523068089815164e-19,7.1483441585531018e-18,-4.6311141102222142e-18,-4.434928233025029e-18,-4.8454386864719093e-18
0.0875,1.1002139550748797e-13,5.9516134966942341e-15,2.772919799476541e-18,-2.5829862149041505e-18,5.2177699665190084e-18,-7.667144154507591e-18,1.893641810269265e-17
0.09,1.0929624917389425e-13,6.3449204204375619e-15,2.911182783545558e-18,2.0308048079665728e-19,8.2435111209304777e-19,-1.0625071224249124e-17,-2.5024879453395796e-17
0.0925,1.0863425264248738e-13,6.72428832466699e-15,-5.866123174479753e-18,1.166070264316858e-18,5.5720926829311636e-18,1.9725671260637696e-18,-2.489500921810209e-17
0.095,1.0796570421011974e-13,7.0866966857988648e-15,1.9940852910881243e-20,2.7986829685074787e-19,-3.9262133798764987e-18,-6.3045080125600968e-19,2.6409146141332041e-18
0.0975,1.0732392707879887e-13,7.4513117892916389e-15,6.850302261565501e-18,4.0593802671140039e-18,1.5882757631333124e-18,7.0739397524640232e-18,-1.7035593558703215e-17
0.1,1.0674725530887696e-13,7.799570583159035e-15,1.0211244079948088e-17,5.4859249072278247e-19,-6.3191297100939514e-18,1.8495772286418087e-18,1.1214352559420452e-17
0.1025,1.0614769131236721e-13,8.1516420843579182e-15,-1.318684006440711e-18,8.7368792241883046e-18,-9.0430589302179575e-19,-5.9089147437592177e-18,7.7346578230795931e-18
0.105,1.0561094602747009e-13,8.5265259322393159e-15,9.1903576033400667e-18,-7.2811752245062908e-18,1.6793592530438356e-17,-1.3881318358451071e-17,3.8225962088311527e-18
0.1075,1.0506213111996086e-13,8.9092217939904747e-15,9.6804408318752966e-18,5.2316699522302633e-18,3.3521753296399842e-19,1.1108274439850122e-17,2.4795862206843945e-17
0.11,1.0451963114398658e-13,9.2989316527817984e-15,5.0434601647961058e-18,4.3114121922048213e-18,-4.5671599529914575e-18,-8.7068628651292482e-18,-1.7359760595695713e-17
0.1125,1.0401265344699973e-13,9.7162408947015401e-15,2.0348123134990674e-19,-2.1906783785319627e-18,-7.0910943693197056e-18,-6.4134898125521868e-19,-1.8234846525092603e-17
0.115,1.0345328741321092e-13,1.0147784610757367e-14,-5.3785509722168028e-18,-4.1208697062194846e-18,7.3753736879295491e-18,-6.0486125027477739e-18,9.3747232158747382e-19
0.1175,1.0291122576108938e-13,1.0589016006675493e-14,8.8378416383857242e-19,1.3356943319024973e-18,1.0342051682802753e-18,1.0609410915745305e-17,-1.0902302193020067e-17
0.12,1.0239169145662175e-13,1.1053643625074272e-14,1.2786108475671449e-17,7.7659311578380046e-18,1.5407765408778868e-19,2.3655543292993027e-17,-1.9610618266801697e-17
0.1225,1.018475863775385e-13,1.1528357134313779e-14,4.0255977485823264e-18,-4.287242502817291e-18,2.5331479083676079e-18,7.7781725655248617e-18,4.4182930685651916e-18
0.125,1.0130670976787854e-13,1.1989470380461493e-14,1.3854633512568183e-17,6.5192110441298867e-18,-5.479551786498896e-19,7.8761420184707424e-18,7.7568601768405008e-18
0.1275,1.0075219090974097e-13,1.245426221033368e-14,-1.2062682122296021e-17,-4.6479803441504098e-18,-6.0251884230940162e-18,-1.6219816462615632e-17,-3.8738072385311435e-18
0.13,1.0019764893514352e-13,1.2916333985669287e-14,6.0993911292004393e-18,-4.6209261160552075e-18,-1.6539573010841513e-17,1.0766568325326106e-17,-1.0083417837304498e-17
0.1325,9.9622863900741985e-14,1.335495765588663e-14,8.6799441207649284e-18,-1.0212385228538031e-17,2.5296234026167283e-19,6.2796089206433712e-18,-6.8011567388118365e-18
0.135,9.9080389558360095e-14,1.3782329495614942e-14,1.3904301829840308e-17,-9.3529864855174435e-19,8.6984862589054366e-18,1.2088392603842341e-17,-1.3773391541886542e-17
0.1375,9.8534032483135543e-14,1.4175261582415215e-14,1.1973350239030461e-17,-4.9510368391618191e-18,8.6793811270556186e-18,4.2310008992444014e-18,6.0566050443053162e-18
0.14,9.7991097083154111e-14,1.4557827815354915e-14,1.0421136541552495e-17,-5.9385225797954948e-18,-6.9645610783351217e-18,4.0044950075097908e-18,-9.0247089187111605e-20
0.1425,9.7499299838378986e-14,1.4920030144823599e-14,8.6395389980576615e-18,-2.0571125747443821e-18,-1.3418386490943745e-17,-1.7404436480655395e-18,-6.539658308310592e-18
0.145,9.6968199187678862e-14,1.5267114184213561e-14,1.2697203854976321e-17,1.1417112485196472e-18,-2.1746333297602539e-18,1.0302831551638033e-17,-9.3588587334291139e-18
0.1475,9.6476716193842998e-14,1.5580164551829752e-14,1.5986057888751058e-17,-2.6163790968426113e-19,-1.3543095078785191e-18,1.5107648513648708e-17,2.7216275832430032e-17
0.15,9.5987589637508463e-14,1.5873364269186045e-14,2.1612140351161902e-17,-1.0364396249658277e-18,-4.5268816849680136e-18,-8.5121080881445245e-18,1.9472923276779127e-17
0.1525,9.5558979409930572e-14,1.6138582462698233e-14,9.8956467410751234e-18,-1.9709727642631024e-18,-5.4606591705848072e-18,-1.8136639338011799e-18,1.3336359776348779e-17
0.155,9.5093607995517032e-14,1.6378285830874992e-14,1.8202880435972408e-17,-2.4109161769450662e-18,7.7098269680411704e-18,4.140879404315333e-18,1.7485375677981762e-17
0.1575,9.4672753337382612e-14,1.6607908995138249e-14,2.7513528458158731e-17,1.8061475478277714e-18,4.0441568202789066e-18,7.4879182871086017e-19,-8.1037624371193262e-18
0.16,9.4257289194996958e-14,1.6814720936907216e-14,2.2310268269773652e-17,-1.6382652242392599e-18,4.3598704303644791e-18,-9.9375185878598478e-18,5.361932184241095e-18
0.1625,9.3846474378583123e-14,1.699891516458266e-14,3.3047574453051859e-17,6.0966500146620498e-18,5.8843451226016595e-18,-1.8294342917613961e-18,-1.4323662416539932e-17
0.165,9.3442951457930937e-14,1.7173646806661316e-14,4.246290783220125e-17,9.6317984860493175e-19,5.4082070573049807e-18,-3.1128343105785263e-18,-1.1231242736557629e-17
0.1675,9.3068706790030509e-14,1.7332416892070475e-14,5.2871563940832755e-17,1.7977387524763195e-18,-5.6896917617161414e-19,9.2010192950028052e-19,1.3534596374782643e-17
0.17,9.2708343721914324e-14,1.7463968416239163e-14,6.6026441695572155e-17,1.7980006430729326e-18,6.079162639047384e-18,7.1071035229097829e-18,2.0025168459748606e-18
0.1725,9.2361556610320637e-14,1.760694665652653e-14,7.775343467044742e-17,-2.0065040934081639e-18,7.8871454967109603e-18,-1.2372046772654329e-17,2.8587853533887313e-17
0.175,9.2047188017358005e-14,1.7718611745985122e-14,8.7154086463000407e-17,4.7553026796047301e-18,-6.0563005941196252e-19,3.2153021566961231e-18,4.7943281775855992e-18
0.1775,9.1728968894284239e-14,1.7833182684182395e-14,1.0464259045624734e-16,-4.1578348734158125e-18,1.3515652775432867e-19,-8.3031379719087526e-18,-2.4302691437631883e-18
0.18,9.142508182862591e-14,1.7923817275510061e-14,1.2930089932291281e-16,5.1527558776577639e-18,-8.6367040885162834e-20,-7.0229962097072847e-18,5.0476161990986777e-17
0.1825,9.1092518368348976e-14,1.8003351565360008e-14,1.519389220211248e-16,-4.8816148906749417e-18,3.0707628993657965e-18,-9.6142967530253072e-18,-3.5929369667282529e-18
0.185,9.0770709771969266e-14,1.8068825968120287e-14,1.9023486655851655e-16,-7.4027248642724653e-19,1.8107270211748388e-18,4.4345687974616489e-18,3.8790739411909233e-18
0.1875,9.0434968106729802e-14,1.8115458891270572e-14,2.2168095097318337e-16,-7.3974803744046761e-19,-1.3363391767290042e-17,7.2653928192275133e-18,1.3855431521832037e-17
0.19,9.0129850281828086e-14,1.8154866220897892e-14,2.4894302785226846e-16,-3.3627055369196212e-18,8.5581384022616388e-18,-1.774396241161592e-17,3.4853565961722184e-17
0.1925,8.9788006321757943e-14,1.8173357020673969e-14,3.1859976068587653e-16,-9.878009179094819e-19,-3.6119856719528501e-18,1.1067002243261214e-18,8.3190784725160225e-18
0.195,8.9466593956166323e-14,1.8200930481653636e-14,3.6969694737481229e-16,7.717726990922683e-19,8.5387912783552459e-18,-1.8751693603570434e-17,4.2145551672962901e-18
0.1975,8.9124809559948681e-14,1.8196746960688858e-14,4.2586598218957588e-16,-1.4082597982923084e-18,-5.7021010437371327e-18,-9.6440371298882092e-18,-1.5896350414803397e-17
