Physical Time (s),phi_vol Monitor (W): cv1,phi_vol Monitor (W): cv2,phi_vol Monitor (W): cv3,phi_vol Monitor (W): cv4,phi_vol Monitor (W): cv5,phi_vol Monitor (W): cv6,phi_vol Monitor (W): cv7
0.0025,8.6627711529788447e-06,6.6048100493508846e-10,2.7917359157427206e-13,7.7083142666519404e-18,2.1008553820655836e-19,1.1208959484679266e-20,1.031616518568445e-22
0.005,4.3654768072133839e-06,8.2951878463970249e-09,1.2057783405669991e-10,8.0057540142136465e-15,3.2829360600417645e-18,2.0469458826856637e-19,1.1928915738214169e-21
0.0075,2.4123110401096556e-06,1.0758603505952777e-08,7.1506748265811826e-10,1.7783692117571944e-12,3.9500426842090363e-16,3.5696523599549098e-18,2.0647471596731334e-20
0.01,1.7142424082098682e-06,9.9896384127433073e-09,1.6776381199949831e-09,3.8648765400603223e-11,8.1303102553956128e-14,3.7876611514438284e-17,2.4496049136616947e-19
0.0125,1.3685921884111997e-06,8.2288440525375018e-09,2.525130059449442e-09,2.1557319600006053e-10,2.5581570441026837e-12,7.1338330886594678e-15,1.7974441343427235e-18
0.015,1.1695255498877242e-06,6.2057016066742593e-09,2.6980951863317707e-09,5.2490911959004661e-10,2.5034388048145171e-11,2.6453651250311971e-13,4.7277541313250411e-18
0.0175,1.0416834276469005e-06,4.5870297023886316e-09,2.504760061233384e-09,7.2748403030805614e-10,1.0696493867744782e-10,3.4320829609363675e-12,1.1721718906336821e-16
0.02,9.5590987662224741e-07,3.0206243883012586e-09,2.3417417081835488e-09,5.8538158120400326e-10,2.3058337436990996e-10,2.0444165547354798e-11,7.104696592561916e-15
0.0225,8.9772957628526273e-07,2.4741259179851647e-09,1.763052420321569e-09,5.3841408268756583e-10,2.7292806855882436e-10,6.7756982410407971e-11,1.1587160155499386e-13
0.025,8.5715858690986568e-07,2.5921509445187579e-09,1.2131633412012823e-09,9.2384657863148152e-10,1.836068001426044e-10,1.3414282599563689e-10,9.4310480157486529e-13
0.0275,8.3205347266891847e-07,2.5415318596331653e-09,1.1165320192388875e-09,1.1206629928220896e-09,2.3868429759046436e-10,1.6312548097115671e-10,4.7486848082292789e-12
0.03,8.2271194126081371e-07,2.4291677698909883e-09,1.1104014307915736e-09,8.2786345215435689e-10,5.5897438813648771e-10,1.4621183437600724e-10,1.5934314587207432e-11
0.0325,8.2791230831860129e-07,2.4672013659973859e-09,9.349025550664057e-10,5.9149166266341377e-10,7.7974948197507629e-10,2.0196068628529929e-10,3.6549788898181686e-11
0.035,8.4378640768398779e-07,2.7634606674128621e-09,7.0973275389386364e-10,6.2878333837320391e-10,6.3548958351550151e-10,4.1205611296661767e-10,5.7618734956154048e-11
0.0375,8.6429092589043972e-07,3.1862293197990004e-09,5.681625279667084e-10,6.7446374961813644e-10,3.861707817818043e-10,6.4608412277706117e-10,6.3952529025387261e-11
0.04,8.8353066427265e-07,3.5816694648085876e-09,4.951767604401827e-10,5.2686425017054881e-10,3.7490496265314582e-10,7.3055911729281189e-10,6.4377189431387641e-11
0.0425,8.975769248880173e-07,3.8651447262056087e-09,4.6460900671555307e-10,3.0672759420702224e-10,4.7767287022893819e-10,6.5004714276855027e-10,1.033345225334635e-10
0.045,9.045260738588839e-07,4.0307555490620381e-09,4.3061791306714554e-10,1.621227143694047e-10,4.3194797316404892e-10,5.5691825297128636e-10,2.0424115676434227e-10
0.0475,9.0380643113433663e-07,4.1220005627731268e-09,3.7559292208686597e-10,1.1477299078299298e-10,2.6939831602183819e-10,4.998362727989229e-10,3.142149666437611e-10
0.05,8.9591058393376121e-07,4.1972649518196133e-09,3.0225645268442247e-10,1.0584686516012438e-10,1.4426919148528793e-10,4.7367354998810842e-10,3.5282865528132352e-10
0.0525,8.8235435405608091e-07,4.3087665792738606e-09,2.2425444484985493e-10,9.7597698833166563e-11,1.0577050646435693e-10,4.4100138785338754e-10,3.3154442005735367e-10
0.055,8.6571661736848777e-07,4.4919103676126234e-09,1.6228424702279641e-10,7.9987040218875606e-11,1.0169154649438451e-10,3.649941378804695e-10,3.1666555332619936e-10
0.0575,8.4945085019369726e-07,4.7694963631408722e-09,1.355321070664437e-10,5.5998233795191672e-11,9.1085806357756482e-11,2.5941586086980444e-10,3.1595774215717741e-10
0.06,8.3723684813003846e-07,5.1670034694488041e-09,1.4746234821309177e-10,3.8564762737507839e-11,7.0064953920551155e-11,1.782210730203054e-10,2.9256440519018392e-10
0.0625,8.3202184175578989e-07,5.7203838501704224e-09,1.8279530881306592e-10,4.2058117552735398e-11,4.8249385208156177e-11,1.473990045465806e-10,2.5617880014965488e-10
0.065,8.3496961122010959e-07,6.4522724850627407e-09,2.2283933102637231e-10,6.7199982033625241e-11,3.7192164269961022e-11,1.3547785741805044e-10,2.512167439181796e-10
0.0675,8.4484868632157388e-07,7.337982022652122e-09,2.617074171434746e-10,9.6694251272312662e-11,4.388995454154521e-11,1.1223174214690333e-10,2.6126450261190971e-10
0.07,8.5838346188517627e-07,8.3017915546010559e-09,3.0607013444825941e-10,1.1038659745221653e-10,6.5141673910175699e-11,8.2527912273467185e-11,2.3622380747119617e-10
