Physical Time (s),xth_bot Monitor (W): bot_cv1,xth_bot Monitor (W): bot_cv2,xth_bot Monitor (W): bot_cv3,xth_bot Monitor (W): bot_cv4,xth_bot Monitor (W): bot_cv5,xth_bot Monitor (W): bot_cv6,xth_bot Monitor (W): bot_cv7
0.0025,-6.4382638454405066e-22,1.6754706865479568e-24,7.4983800056338019e-23,6.8328855816372831e-24,-1.9618350868309964e-23,3.1224876535760599e-24,-4.5119888036179106e-24
0.005,8.3081014564303991e-21,1.5897172735025846e-21,5.7410629306067757e-22,-6.2377497344022886e-23,1.9740246243118884e-23,-9.0784840334802458e-23,-2.8209340548794073e-24
0.0075,7.8606293830128042e-20,-2.7849056817482018e-21,-1.3710644545506348e-20,6.991832252563944e-22,-1.6820660977178498e-24,1.4845884224464435e-23,-1.4115111680911569e-23
0.01,-1.4070780626272928e-19,3.8525680572284996e-20,-9.8219911258559829e-20,-5.4389401846179064e-21,-2.1066921310526274e-22,-4.8623151700086561e-23,-4.1915114453128414e-23
0.0125,-3.0387227332206488e-19,1.2982557648630754e-19,1.6134813317059236e-19,-5.9871266744433306e-20,4.0517127331162314e-21,7.1674063771324882e-23,9.1432012768912165e-24
0.015,1.087753268972126e-18,3.4430049074805822e-21,-3.1326985692876906e-19,-4.9669570041951064e-20,-3.6505927998230315e-20,-4.8512413920905278e-22,8.9661317193649595e-23
0.0175,1.3318960331200068e-18,3.960682008897632e-19,-5.2086032713972977e-19,-9.6123215159836849e-20,8.7881618441637858e-20,9.392141298078671e-23,6.300726574301558e-23
0.02,-1.0316482535483596e-18,1.8852231119083279e-19,2.5011081136615992e-19,-7.9588786982803499e-20,-7.3160325949049175e-20,2.5525691225665451e-20,-1.2865892114714722e-21
0.0225,6.2364022799161765e-19,3.8593166468461901e-19,-3.3845153074013537e-19,7.6492744982241358e-19,-1.7656742184027106e-19,1.3573248398197404e-19,-1.9788357293927732e-21
0.025,2.0015209593042728e-19,5.4583891940469939e-20,9.4521682892311649e-20,4.9628044139605953e-19,-6.5333159309660039e-19,-1.285142596418827e-19,-7.3468433037877961e-21
0.0275,1.4418934071680363e-18,-1.8923035235614063e-20,1.0640743807076744e-19,4.2469432616096186e-19,2.3273024345256334e-19,-7.9899216637551445e-20,1.6415709592608101e-20
0.03,4.5612868181771432e-19,7.0950746289510456e-21,1.386733472284662e-20,5.8579173191954078e-20,6.8300613775411798e-21,3.3290021660970116e-20,-2.5665141162051939e-21
0.0325,7.9503099668610771e-19,3.2425894775497912e-20,2.7709515078595196e-19,-9.6664961887993514e-20,1.0632077822653899e-19,-5.0166561883792438e-20,5.5860493239610907e-20
0.035,-7.7612442774032388e-19,1.0888106598572384e-20,1.3867184415426792e-19,-3.3706532793947606e-19,1.9367660489562108e-20,3.6620805902216054e-20,5.7840230206643252e-20
0.0375,-2.1324131628865925e-19,3.5535278281158708e-20,1.0436862825987334e-19,-1.053145559300902e-19,4.9625285916614636e-19,2.6215303927848567e-20,1.0841669159732718e-20
0.04,3.8138910778579209e-20,4.0485792947201726e-20,2.7077869277792352e-20,1.0305971371529888e-19,1.9608098689376402e-19,-2.9336411026360408e-20,5.3694974569485905e-20
0.0425,3.8762743976564986e-20,-2.0358952455171202e-19,9.8758832584360332e-20,1.4545355076561044e-20,2.7514219070130271e-19,-1.7718982639796401e-19,-4.1235027358313768e-20
0.045,3.9542428382734028e-19,3.8333494536327065e-20,2.2231549876054285e-19,-5.6843511676842359e-20,1.7658276868273031e-19,-2.2573072179019747e-19,-6.1320911013527137e-21
0.0475,9.5426960496130482e-19,-1.1302340221055521e-19,-4.4963718414011366e-19,-2.3242509998240785e-19,2.0626002766047093e-20,-2.0636439993284555e-19,-1.527717273673706e-20
0.05,3.8894819996452994e-19,2.4598826827712191e-19,1.682167037270679e-19,-5.3766349243943309e-19,5.8579275776390578e-21,8.93103514457942e-20,3.6885401388689854e-20
0.0525,-8.9961246049945444e-19,1.4998866697333678e-19,-6.4291243722961066e-19,-3.2107440289648295e-19,4.6755305347400588e-19,-1.1676334514887604e-19,-3.2370271010201945e-20
0.055,-1.3138802143614487e-19,1.3657613022249186e-19,1.2044772906162441e-19,-3.7264305672515526e-19,-2.905135624568868e-19,2.2289979098539516e-19,5.1749430887199196e-20
0.0575,6.2869599119026257e-19,-8.7811628419597126e-20,1.231785777443218e-19,3.4848018220072538e-19,3.41333918093291e-19,-4.7241825133575513e-19,1.4804613857805593e-20
0.06,-5.912433987677313e-20,-6.6628660720351685e-21,1.592057111335579e-20,-2.1425017149415455e-19,1.7672662719790064e-19,8.4555698110770649e-19,-2.1224677776776266e-19
0.0625,-7.5228253624105481e-19,-1.1261849228675294e-19,-3.1212136693871569e-20,-8.5076426824261259e-20,1.4259796323977378e-19,3.3112907168702815e-19,-1.3355473958172607e-19
0.065,-5.8134769883150144e-19,-8.6748918271343129e-20,5.9692834125704133e-20,1.4248532110265532e-19,-6.8604229522796118e-20,1.1108185801043838e-19,2.0420851870065003e-19
0.0675,1.7386069377558415e-20,-7.3702349963738427e-20,1.2150941181875375e-19,-1.4398059115096327e-19,1.0992229800797168e-19,1.3543712283104316e-19,1.5224204621080322e-19
0.07,3.6710291669939102e-19,9.7702964544139214e-20,8.6321350882690702e-21,4.6754203455024732e-19,-1.4437879395627209e-19,-7.8171204355453911e-20,-9.9857013170878591e-20
0.0725,5.4386094077852788e-20,5.2345195132113438e-21,-4.4064926966296231e-20,1.5925760440178554e-19,5.7777185377762901e-20,1.0441628399319649e-19,8.5608124298973111e-20
0.075,1.2088367543648141e-19,6.4971360630177401e-20,3.6744572965112563e-20,-2.5674860613274772e-19,-2.3527772704606409e-19,2.3473992443402238e-19,1.1123723793389615e-19
0.0775,8.9051440195595001e-20,1.1272937731914441e-20,1.6013773225491799e-19,9.658952474899007e-20,-1.3846419836629794e-19,3.7670492525088827e-19,3.8409408216246139e-19
0.08,-9.0236239955561886e-20,2.8895846426330022e-19,1.4111498548254039e-19,-1.2186810993444336e-20,-3.7996603477907405e-20,3.9942314506398196e-19,4.101276646157087e-20
0.0825,-1.7173344610051997e-19,-3.0163486756370028e-19,-1.8401851440496939e-19,-1.203067178026e-20,5.8311754791325521e-20,-3.6697504569888555e-19,-3.2668613029687458e-20
0.085,1.3864934459670488e-19,-1.5713769154928178e-19,1.6323468070701666e-19,6.8499673712944054e-20,1.4671521893706352e-19,6.9600372726719908e-20,4.9399600518966163e-19
0.0875,-1.3944662909710715e-19,3.3592295295054042e-20,1.511668493676711e-19,7.5586797425198679e-21,-2.3708147225390773e-19,-2.4511248169244961e-20,1.6239544116098385e-19
0.09,1.0445794613007138e-19,-9.8846169570815511e-21,-4.0125038723143961e-19,7.4632554401036752e-20,-2.9564455723019499e-19,2.0109133819085894e-19,-5.9729683360204224e-22
0.0925,2.4933461640018656e-19,7.8393619051315371e-20,-1.6388957870931671e-19,-2.1116282062309746e-19,-1.515966468499704e-19,-4.5748750887965505e-19,1.8940635862558407e-19
0.095,1.6575863386723433e-19,-5.4471918668683338e-20,-6.2395450684590835e-20,-1.3205061484630704e-19,7.6557194038393273e-20,-4.7299366989119431e-19,2.5705664424619436e-19
0.0975,-1.2395991633577539e-19,-5.614690926100221e-21,2.9562896043025616e-21,-1.0815187446634937e-19,-2.2295276655984481e-19,-1.5484781626228618e-19,2.148374203338901e-19
0.1,8.2366227040674894e-20,-5.3411076646134187e-20,-2.5734209318777186e-20,1.0975137614805063e-20,1.970294393386262e-20,-6.0408297627753167e-19,-2.8055345368692232e-19
