Physical Time (s),xth_left Monitor (W)
0.0025,1.9889529008072542e-16
0.005,-1.4365946347945633e-16
0.0075,-3.5545032126818929e-16
0.01,1.2423192853259518e-16
0.0125,3.0190917583720645e-16
0.015,-9.1306946523443983e-17
0.0175,-1.1967677060385734e-16
0.02,2.0848699548821027e-16
0.0225,1.8077124211587039e-16
0.025,3.748788102573397e-16
0.0275,-5.8163443698484192e-17
0.03,-4.4419866874566643e-16
0.0325,1.4369274593285607e-16
0.035,-2.3183546249729486e-16
0.0375,2.561076454995203e-16
0.04,-1.7001547351546537e-16
0.0425,1.2478245736007597e-16
0.045,-5.9105567346821723e-17
0.0475,-4.0923426805817115e-18
0.05,-1.1254940526320895e-16
0.0525,2.7959938985670384e-17
0.055,9.25884656797713e-17
0.0575,9.0635326260614896e-17
0.06,2.3916476308337186e-16
0.0625,-1.0702945363491558e-16
0.065,-9.0434032587023769e-17
0.0675,2.9991194146215085e-16
0.07,-6.496231394424391e-17
0.0725,-1.2707959420526823e-16
0.075,-1.0686451609299738e-16
0.0775,2.0526639852211831e-16
0.08,-2.1766123687990636e-16
0.0825,-1.0439978251788907e-16
0.085,7.6220634647647776e-17
0.0875,-2.3392336324053982e-16
0.09,4.7303855680162592e-17
0.0925,4.1201826063686275e-16
0.095,-2.3734250083343423e-16
0.0975,2.6337273377620929e-16
0.1,1.9717066558691442e-18
0.1025,-1.796277885113753e-16
0.105,-1.0748122126078703e-16
0.1075,-2.1774576696732919e-18
0.11,1.4193576249808466e-16
0.1125,1.0107402373549204e-17
0.115,1.4507399098483575e-16
0.1175,2.799524473980682e-17
0.12,-1.2744412023450557e-16
0.1225,1.3358653668523985e-16
0.125,-2.6083638172056374e-16
0.1275,-2.0655481574096289e-16
0.13,5.1374910190661518e-17
0.1325,-3.526565689346267e-16
0.135,1.8188690649442061e-17
0.1375,8.5986878599534187e-17
0.14,2.2307552295576723e-16
0.1425,-6.6657155568295164e-17
0.145,-1.6387692273997767e-16
0.1475,3.4238448246519702e-16
0.15,6.3202121233067775e-17
0.1525,-1.4867896142488595e-16
0.155,-1.0400339407334562e-16
0.1575,1.0714400006314935e-16
0.16,-1.0667659868020642e-17
0.1625,2.6134960191541566e-17
0.165,-1.5883256732215761e-16
0.1675,9.2762655269759706e-17
0.17,1.3567909439143378e-16
0.1725,-1.8417321331008369e-16
0.175,-1.1522393091137133e-17
0.1775,-7.442706601626709e-18
0.18,-5.5228478477472725e-17
0.1825,-1.0952438715536113e-16
0.185,4.8194703662815257e-17
