Physical Time (s),xth_right Monitor (W): right_cv1,xth_right Monitor (W): right_cv2,xth_right Monitor (W): right_cv3,xth_right Monitor (W): right_cv4,xth_right Monitor (W): right_cv5,xth_right Monitor (W): right_cv6,xth_right Monitor (W): right_cv7
0.0025,-1.7632233663247995e-16,-1.7035218813667428e-16,-5.6291645345728018e-16,2.2637499852281166e-16,1.2742420623048455e-15,-2.0744111240093521e-14,-2.0235854515873809e-14
0.005,6.4587448824480299e-19,2.7769892617661178e-16,3.4607842808648454e-16,-6.0696913060511956e-16,-1.8771186143706806e-15,-4.3665654210677011e-16,-1.0823699941418441e-14
0.0075,3.3086384978115575e-16,-3.507020229349812e-16,-2.2139723134095585e-16,-3.0782376991035055e-16,-6.0593826265117056e-16,5.7347007544350452e-16,-2.7484375053590309e-15
0.01,1.0239638687701042e-15,-1.3410605089416025e-16,1.5629336989248877e-16,7.0562925803547151e-17,-2.839335323180846e-16,-3.696442662014002e-16,-1.3037977807223793e-15
0.0125,1.2549623716689133e-15,-4.8149957520572123e-17,7.5557761377526327e-17,-2.8208673490402515e-17,8.194558517414505e-17,-5.8189897683130099e-17,2.2834811980544635e-15
0.015,1.3644420813883908e-15,1.852735423067315e-17,-1.3997955514352648e-16,-6.0684120321355289e-17,2.3669655440138021e-16,-3.8933979102623435e-16,-4.3769176142638742e-15
0.0175,1.592537415758167e-15,-5.3062201228751136e-17,-2.353542767942088e-16,3.3029663883857533e-17,-1.9084710192955066e-16,-3.7779316292825153e-16,2.842349561608073e-15
0.02,2.1570708466261827e-15,-2.7200937320074373e-16,-3.261773263091262e-16,-3.9827893066992526e-17,-2.0856681192275141e-16,-1.8734313816355551e-16,-3.5323285982267821e-15
0.0225,2.6536072570434131e-15,1.3539856702132722e-16,-6.1593990262799892e-17,-4.1985723376991902e-16,-6.7743791431930849e-17,2.426051949950136e-16,-4.326778632179225e-15
0.025,2.9437786141684342e-15,1.0323125175293546e-16,-7.9058897706651295e-17,-4.2446761394803033e-17,-4.4639433669265812e-17,2.0757854217990411e-16,3.0052060726235959e-16
0.0275,3.780030161025363e-15,-6.9851850589405946e-17,1.4228334209759848e-16,4.0507390288666336e-17,-1.3963658465694854e-17,3.2424566318594141e-16,1.6404465251470629e-16
0.03,5.3820969972732038e-15,-1.002404853330032e-16,1.2626315947185918e-16,6.7224876495666072e-17,2.3711347592477137e-16,-5.7781080357019638e-17,-1.6909208141638676e-16
0.0325,6.9208006313582464e-15,1.7960135006781542e-16,1.9143999780940787e-16,5.2116051015496316e-17,2.6364835839948559e-16,3.4974542375761636e-17,-1.2877512977425969e-16
0.035,8.9203844885667581e-15,2.8393988542865995e-17,-2.3999839830927214e-19,-2.0970481965697289e-16,-1.2573728907267571e-16,-1.6488016586150639e-16,-1.7595581816780824e-16
0.0375,1.1946693265785379e-14,8.7814337861311421e-17,-1.120380245257937e-16,2.6166450118015679e-16,-3.2880199350561047e-16,-1.6297993112673824e-16,-7.2554887223355279e-18
0.04,1.5685929285042201e-14,-2.6704419586144186e-16,-1.819922873290981e-16,-1.0316326020070139e-16,-8.2993260016025276e-17,-1.1585776637924907e-16,-1.0537441077484243e-16
0.0425,2.1176558268041663e-14,-2.199947125823566e-16,-1.9060073337145498e-18,1.7072813390760692e-17,5.7698197735985913e-17,-1.38417543969282e-16,7.6824410820822434e-17
0.045,2.8250474186385027e-14,1.1988006182209251e-17,3.9157771286432714e-16,-8.3230961884948988e-17,-1.7381727969577331e-16,3.6858152093890544e-17,4.4910299565908611e-17
0.0475,3.8001132206675985e-14,-1.2354352056434211e-16,-1.4156529614149431e-16,2.4503377496280262e-17,2.1799000437464809e-16,3.1898744450864312e-17,3.894951937136206e-17
0.05,4.9745273963372786e-14,2.5054793242781531e-16,1.1332193858285417e-17,2.6830175027240207e-16,-3.9559592170823451e-17,2.5708768609266537e-16,1.5492535148833601e-16
0.0525,6.3053201753250921e-14,-2.8435001731125105e-16,1.1585955733471178e-16,-1.2076818501003147e-16,2.1787519305180049e-17,1.3156719388121108e-16,3.663238001803829e-17
0.055,7.922526508341686e-14,-4.3811728300916648e-16,9.0501838043238986e-17,1.3661654595106345e-16,8.4466449260754174e-17,1.7531272340000671e-16,1.4962841887846873e-16
0.0575,9.606833229100758e-14,3.5294448742304026e-16,-3.3869655097501757e-16,-2.2509847774840966e-16,3.7480510146667018e-16,2.0347294537356374e-16,5.3510933258932691e-17
