Physical Time (s),xth_top Monitor (W): top_cv1,xth_top Monitor (W): top_cv2,xth_top Monitor (W): top_cv3,xth_top Monitor (W): top_cv4,xth_top Monitor (W): top_cv5,xth_top Monitor (W): top_cv6,xth_top Monitor (W): top_cv7
0.0025,-1.8026184070501318e-22,-3.0565346261892275e-23,2.2496712359837043e-23,-4.83946409053136e-23,-9.3641109088609584e-23,1.1385042261718618e-23,-3.7311568259208197e-24
0.005,-2.907106710373016e-21,-1.381016062611954e-21,1.6024791315517542e-21,2.0949640750421308e-23,8.7681042692390529e-23,-4.4560137332823463e-23,-1.8965113793518523e-24
0.0075,2.1973417922983366e-20,-2.8073968835222379e-20,-1.2050174513617076e-20,3.1017754100135254e-21,5.6190433099694895e-23,-1.0325824268155161e-23,-9.2985666816649038e-24
0.01,1.6278943759260443e-19,-5.0694659195868716e-20,6.7402264380973346e-20,7.3079410506557884e-21,-6.3175533121830378e-22,8.3243734125781691e-23,-4.039245299855844e-23
0.0125,3.8784871379188636e-19,1.2789377866812459e-20,-1.8715221526019419e-19,1.4574889710479721e-20,-2.3327981985663661e-21,-1.8938974159631324e-22,6.5713973051709414e-24
0.015,-1.6656411006485579e-18,3.2767805713785601e-19,-1.9619197875194956e-20,-1.0302862591726272e-19,6.5322205931944522e-21,-1.4009962031131404e-21,2.8132963403160121e-23
0.0175,-3.066794542931064e-18,-1.5664598132443001e-18,3.2056706414401453e-19,1.5432026625568478e-19,-1.758440016928095e-20,-1.8139412618613327e-21,2.5389094299593131e-23
0.02,8.7820588376619495e-19,2.2624299488268685e-19,-2.0278387930864942e-18,1.154146755835584e-21,-3.3343293099208617e-19,-1.5261464147999882e-20,-1.7552585893344112e-22
0.0225,-1.0802125630834292e-18,2.17296097648941e-19,-2.0865883056969568e-19,-4.3492244770039715e-21,8.0738878641236722e-20,-2.7004404025006337e-20,-2.4215546994671526e-21
0.025,-2.5298104760800523e-19,2.1897537220902142e-19,-2.3671351026261186e-19,8.5753318371385731e-19,-9.2233778654082229e-19,1.3158050528664883e-19,6.3939352397205791e-21
0.0275,-6.7624121566066389e-19,-5.4928314728463327e-20,2.3853668138685834e-20,-1.5737915047640529e-19,-6.2581175175389906e-20,6.1815675813455667e-20,-3.6660998221781389e-21
0.03,-1.2413363959192287e-18,-4.5253413751854624e-20,-2.2544715732447281e-19,-1.8464773699658067e-19,-8.584601827598246e-20,-2.3060790174070822e-19,-2.2215442676275191e-21
0.0325,2.8052154009079349e-19,9.1993021780619868e-21,2.5942612381011541e-19,7.9944100079673943e-20,-1.0749004118959192e-19,7.5074218758499547e-20,-3.1777836026100374e-20
0.035,9.8328602404941963e-20,3.8689790619842659e-20,-3.7477162274505507e-19,2.3053519404045463e-19,1.1180272849353571e-19,1.1079054323712928e-19,-2.2918092572835584e-21
0.0375,-9.5686577128534467e-20,3.659563942352963e-20,-1.0456703939658585e-19,1.7064800805911844e-19,-7.9365750223456492e-20,-1.6636236463034905e-19,1.6750761917748376e-20
0.04,-3.4171659107069423e-19,5.6968058640243672e-20,7.979777518908472e-20,-3.2955738921193424e-20,-4.1165725633425818e-20,1.3172940940797131e-19,-4.3876507126544545e-20
0.0425,2.4755641042868065e-19,3.5173355677956033e-20,-2.1254712375467026e-19,-3.9118926480672768e-20,-1.2304951846305962e-19,1.532969245882717e-19,4.0784307492623381e-20
0.045,1.7586919594583556e-19,-8.9829658683982161e-20,1.6062289991434631e-19,1.4295778099271678e-19,-8.495763577113995e-20,-3.8253500223890559e-19,9.7969318307119169e-21
0.0475,-1.3933986102491483e-19,1.6119651184873053e-19,3.6595796796553621e-19,-2.8163679773166108e-21,-4.8513604642664269e-20,3.554808160723876e-19,-7.6838828600886914e-20
0.05,-4.6067875683731502e-19,1.8403704230216326e-19,3.4688864054103508e-19,4.7080508413293084e-19,3.5896619793644211e-19,2.8121142448487555e-19,5.6774487917641466e-20
0.0525,-2.5545268876165137e-19,-6.1870875340901203e-21,-3.0846977342561788e-19,4.444355805792838e-19,1.7447026249466539e-19,-1.0409410406446312e-19,6.2187617910452149e-20
0.055,-7.9013964810919031e-19,4.816903701812294e-20,2.5234873419644729e-19,-5.5219570434856952e-19,-1.8393547917450555e-19,-2.8827400682737324e-19,-4.2890202183253367e-20
0.0575,-3.2343339770309568e-19,8.3190708976384654e-20,6.2587880314865517e-20,-8.2205653593457051e-20,-9.0150760612396946e-20,7.3119392907027087e-19,-5.886994554468209e-20
0.06,-3.9957733100351059e-19,-1.434497851250267e-20,-1.4613957997531822e-19,-4.0666927303156545e-20,-3.4856941341078903e-20,2.6727529052444146e-19,1.7915484666563655e-19
0.0625,-6.1165497537132834e-19,4.3923384282205039e-20,4.0091735799275513e-20,-6.3515324686753891e-20,-6.7203813337657045e-20,1.2306693863306773e-19,4.3891620016141176e-20
0.065,-7.0251213281639869e-19,1.7099893166712947e-19,-2.9648821081439036e-19,1.8345687196450859e-20,-5.3530724016385831e-21,1.0282577931609189e-20,-3.673320785105843e-19
0.0675,-3.5938370375491701e-19,-3.9972066284597831e-20,2.0895878886778731e-20,-1.0147914907340126e-20,5.9979895357010705e-20,2.1292942353578856e-19,1.0031753562621848e-19
0.07,-5.8644383755134694e-19,7.3984585055556255e-20,7.4765637444050697e-20,-2.0557873343964963e-19,9.864687557573965e-20,-6.6820764740788422e-20,2.0268854531903659e-19
0.0725,-6.7696790054776133e-20,3.7626326272459481e-20,7.1932404644965698e-20,1.1523367893473804e-20,-1.9056628126841003e-19,-1.7389126947083401e-19,-9.6496530946569506e-20
