Physical Time (s),FreestreamAbsolutePressure Monitor (Pa)
0.0025,101325.0000006426
0.005,101325.00000458513
0.0075,101325.00001626987
0.01,101325.00004259711
0.0125,101325.00009268211
0.015,101325.00018386892
0.0175,101325.00033086615
0.02,101325.00044875362
0.0225,101325.00068000388
0.025,101325.00109142144
0.0275,101325.00175717929
0.03,101325.00274403636
0.0325,101325.0040711645
0.035,101325.0056699423
0.0375,101325.00734920836
0.04,101325.0087922472
0.0425,101325.00959795064
0.045,101325.00937351359
0.0475,101325.00787045062
0.05,101325.00507928025
0.0525,101325.00134340549
0.055,101324.99729886623
0.0575,101324.99377071844
0.06,101324.99158806371
0.0625,101324.99133694162
0.065,101324.99315599253
0.0675,101324.99663454609
0.07,101325.00094742754
0.0725,101325.00506475696
0.075,101325.00795942663
0.0775,101325.00887916691
0.08,101325.0075637546
0.0825,101325.00431124349
0.085,101324.99985549021
0.0875,101324.99517222944
0.09,101324.99120613096
0.0925,101324.98869404953
0.095,101324.98800779534
0.0975,101324.9890493743
0.1,101324.9914515891
0.1025,101324.99466823266
0.105,101324.99807978215
0.1075,101325.0011414717
0.11,101325.00348425588
0.1125,101325.00494209169
0.115,101325.00554761969
0.1175,101325.00546347734
0.12,101325.00492057089
0.1225,101325.0041439014
0.125,101325.00330197341
0.1275,101325.00249457241
0.13,101325.00176824842
0.1325,101325.00113148702
0.135,101325.00057060941
0.1375,101325.00007019821
0.14,101324.9996272728
0.1425,101324.9992553568
0.145,101324.99897858112
0.1475,101324.99882117474
0.15,101324.99879854624
0.1525,101324.99891139867
0.155,101324.99914252831
0.1575,101324.99945759354
0.16,101324.99981014118
0.1625,101325.00014913152
0.165,101325.0004285287
0.1675,101325.00061516513
0.17,101325.00069749409
0.1725,101325.00068341862
0.175,101325.00059928616
0.1775,101325.00048054705
0.18,101325.00036282901
0.1825,101325.00027484485
0.185,101325.00023219529
0.1875,101325.00023590784
0.19,101325.00027432939
0.1925,101325.00032726505
0.195,101325.00037042404
0.1975,101325.00038175276
0.2,101325.00034678294
0.2025,101325.00026176788
0.205,101325.00013440158
0.2075,101324.99998201702
0.21,101324.99982705637
0.2125,101324.99969403536
0.215,101324.99960563985
0.2175,101324.99957819168
0.22,101324.99962042278
0.2225,101324.99973075835
0.225,101324.99989979019
0.2275,101325.00011164515
0.23,101325.00034518246
0.2325,101325.00057715365
0.235,101325.0007852079
0.2375,101325.00095029637
0.24,101325.00105706668
0.2425,101325.00110356878
0.245,101325.00109080353
0.2475,101325.00102364016
0.25,101325.00090904172
0.2525,101325.00075977521
0.255,101325.0005960063
0.2575,101325.00042970541
0.26,101325.00027526687
0.2625,101325.00014113278
0.265,101325.00003502046
0.2675,101324.99995887211
0.27,101324.99991331703
0.2725,101324.99989968752
0.275,101324.99991491091
0.2775,101324.99995416983
0.28,101325.00000942075
0.2825,101325.0000761261
0.285,101325.00014765498
0.2875,101325.00022103064
0.29,101325.00029221657
0.2925,101325.00035779274
0.295,101325.00041412443
0.2975,101325.00045946328
0.3,101325.00049455957
0.3025,101325.00051972552
0.305,101325.00053535143
0.3075,101325.00054433856
0.31,101325.00054797575
0.3125,101325.00054781146
0.315,101325.00054726703
0.3175,101325.00054774007
0.32,101325.00055070526
0.3225,101325.00055744323
0.325,101325.00056699457
0.3275,101325.00057751879
0.33,101325.00058666131
0.3325,101325.00059213597
0.335,101325.00059245119
