Physical Time (s),FreestreamDensity Monitor (kg/m^3)
0.0025,1.18415
0.005,1.18415
0.0075,1.18415
0.01,1.18415
0.0125,1.18415
0.015,1.18415
0.0175,1.18415
0.02,1.18415
0.0225,1.18415
0.025,1.18415
0.0275,1.18415
0.03,1.18415
0.0325,1.18415
0.035,1.18415
0.0375,1.18415
0.04,1.18415
0.0425,1.18415
0.045,1.18415
0.0475,1.18415
0.05,1.18415
0.0525,1.18415
0.055,1.18415
0.0575,1.18415
0.06,1.18415
0.0625,1.18415
0.065,1.18415
0.0675,1.18415
0.07,1.18415
0.0725,1.18415
0.075,1.18415
0.0775,1.18415
0.08,1.18415
0.0825,1.18415
0.085,1.18415
0.0875,1.18415
0.09,1.18415
0.0925,1.18415
0.095,1.18415
0.0975,1.18415
0.1,1.18415
0.1025,1.18415
0.105,1.18415
0.1075,1.18415
0.11,1.18415
0.1125,1.18415
0.115,1.18415
0.1175,1.18415
0.12,1.18415
0.1225,1.18415
0.125,1.18415
0.1275,1.18415
0.13,1.18415
0.1325,1.18415
0.135,1.18415
0.1375,1.18415
0.14,1.18415
0.1425,1.18415
0.145,1.18415
0.1475,1.18415
0.15,1.18415
0.1525,1.18415
0.155,1.18415
0.1575,1.18415
0.16,1.18415
0.1625,1.18415
0.165,1.18415
0.1675,1.18415
0.17,1.18415
0.1725,1.18415
0.175,1.18415
0.1775,1.18415
0.18,1.18415
0.1825,1.18415
0.185,1.18415
0.1875,1.18415
0.19,1.18415
0.1925,1.18415
0.195,1.18415
0.1975,1.18415
0.2,1.18415
0.2025,1.18415
0.205,1.18415
0.2075,1.18415
0.21,1.18415
0.2125,1.18415
0.215,1.18415
0.2175,1.18415
0.22,1.18415
0.2225,1.18415
0.225,1.18415
0.2275,1.18415
0.23,1.18415
0.2325,1.18415
0.235,1.18415
0.2375,1.18415
0.24,1.18415
0.2425,1.18415
0.245,1.18415
0.2475,1.18415
0.25,1.18415
0.2525,1.18415
0.255,1.18415
0.2575,1.18415
0.26,1.18415
0.2625,1.18415
0.265,1.18415
0.2675,1.18415
0.27,1.18415
0.2725,1.18415
0.275,1.18415
0.2775,1.18415
0.28,1.18415
0.2825,1.18415
0.285,1.18415
0.2875,1.18415
0.29,1.18415
0.2925,1.18415
0.295,1.18415
0.2975,1.18415
0.3,1.18415
0.3025,1.18415
0.305,1.18415
0.3075,1.18415
0.31,1.18415
0.3125,1.18415
0.315,1.18415
0.3175,1.18415
0.32,1.18415
0.3225,1.18415
0.325,1.18415
0.3275,1.18415
0.33,1.18415
0.3325,1.18415
0.335,1.18415
0.3375,1.18415
0.34,1.18415
0.3425,1.18415
0.345,1.18415
0.3475,1.18415
0.35,1.18415
0.3525,1.18415
0.355,1.18415
0.3575,1.18415
0.36,1.18415
0.3625,1.18415
0.365,1.18415
0.3675,1.18415
0.37,1.18415
0.3725,1.18415
0.375,1.18415
0.3775,1.18415
0.38,1.18415
0.3825,1.18415
0.385,1.18415
0.3875,1.18415
0.39,1.18415
0.3925,1.18415
0.395,1.18415
0.3975,1.18415
0.4,1.18415
0.4025,1.18415
0.405,1.18415
0.4075,1.18415
0.41,1.18415
0.4125,1.18415
0.415,1.18415
0.4175,1.18415
0.42,1.18415
0.4225,1.18415
0.425,1.18415
0.4275,1.18415
0.43,1.18415
0.4325,1.18415
0.435,1.18415
0.4375,1.18415
0.44,1.18415
0.4425,1.18415
0.445,1.18415
0.4475,1.18415
0.45,1.18415
0.4525,1.18415
0.455,1.18415
0.4575,1.18415
0.46,1.18415
0.4625,1.18415
0.465,1.18415
0.4675,1.18415
0.47,1.18415
0.4725,1.18415
0.475,1.18415
0.4775,1.18415
0.48,1.18415
0.4825,1.18415
0.485,1.18415
0.4875,1.18415
0.49,1.18415
0.4925,1.18415
0.495,1.18415
0.4975,1.18415
0.5,1.18415
0.5025,1.18415
0.505,1.18415
0.5075,1.18415
0.51,1.18415
0.5125,1.18415
0.515,1.18415
0.5175,1.18415
0.52,1.18415
0.5225,1.18415
0.525,1.18415
0.5275,1.18415
0.53,1.18415
0.5325,1.18415
0.535,1.18415
0.5375,1.18415
0.54,1.18415
0.5425,1.18415
0.545,1.18415
0.5475,1.18415
0.55,1.18415
0.5525,1.18415
0.555,1.18415
0.5575,1.18415
0.56,1.18415
0.5625,1.18415
0.565,1.18415
0.5675,1.18415
0.57,1.18415
0.5725,1.18415
0.575,1.18415
0.5775,1.18415
0.58,1.18415
0.5825,1.18415
0.585,1.18415
0.5875,1.18415
0.59,1.18415
0.5925,1.18415
0.595,1.18415
0.5975,1.18415
0.6,1.18415
0.6025,1.18415
0.605,1.18415
0.6075,1.18415
0.61,1.18415
0.6125,1.18415
0.615,1.18415
0.6175,1.18415
0.62,1.18415
0.6225,1.18415
0.625,1.18415
0.6275,1.18415
0.63,1.18415
0.6325,1.18415
0.635,1.18415
0.6375,1.18415
0.64,1.18415
0.6425,1.18415
0.645,1.18415
0.6475,1.18415
0.65,1.18415
0.6525,1.18415
0.655,1.18415
0.6575,1.18415
0.66,1.18415
0.6625,1.18415
0.665,1.18415
0.6675,1.18415
0.67,1.18415
0.6725,1.18415
0.675,1.18415
0.6775,1.18415
0.68,1.18415
0.6825,1.18415
0.685,1.18415
0.6875,1.18415
0.69,1.18415
0.6925,1.18415
0.695,1.18415
0.6975,1.18415
0.7,1.18415
0.7025,1.18415
0.705,1.18415
0.7075,1.18415
0.71,1.18415
0.7125,1.18415
0.715,1.18415
0.7175,1.18415
0.72,1.18415
0.7225,1.18415
0.725,1.18415
0.7275,1.18415
0.73,1.18415
0.7325,1.18415
0.735,1.18415
0.7375,1.18415
0.74,1.18415
0.7425,1.18415
0.745,1.18415
0.7475,1.18415
0.75,1.18415
0.7525,1.18415
0.755,1.18415
0.7575,1.18415
0.76,1.18415
0.7625,1.18415
0.765,1.18415
0.7675,1.18415
0.77,1.18415
0.7725,1.18415
0.775,1.18415
0.7775,1.18415
0.78,1.18415
0.7825,1.18415
0.785,1.18415
0.7875,1.18415
0.79,1.18415
0.7925,1.18415
0.795,1.18415
0.7975,1.18415
0.8,1.18415
0.8025,1.18415
0.805,1.18415
0.8075,1.18415
0.81,1.18415
0.8125,1.18415
0.815,1.18415
0.8175,1.18415
0.82,1.18415
0.8225,1.18415
0.825,1.18415
0.8275,1.18415
0.83,1.18415
0.8325,1.18415
0.835,1.18415
0.8375,1.18415
0.84,1.18415
0.8425,1.18415
0.845,1.18415
0.8475,1.18415
0.85,1.18415
0.8525,1.18415
0.855,1.18415
0.8575,1.18415
0.86,1.18415
0.8625,1.18415
0.865,1.18415
0.8675,1.18415
0.87,1.18415
0.8725,1.18415
0.875,1.18415
0.8775,1.18415
0.88,1.18415
0.8825,1.18415
0.885,1.18415
0.8875,1.18415
0.89,1.18415
