Physical Time (s),FreestreamDynamicViscosity Monitor (Pa-s)
0.0025,1.8459666102609689e-05
0.005,1.8459666102609709e-05
0.0075,1.845966610260974e-05
0.01,1.8459666102609804e-05
0.0125,1.8459666102609936e-05
0.015,1.8459666102610129e-05
0.0175,1.8459666102610387e-05
0.02,1.8459666102610539e-05
0.0225,1.8459666102610736e-05
0.025,1.845966610261102e-05
0.0275,1.845966610261141e-05
0.03,1.8459666102611861e-05
0.0325,1.8459666102612257e-05
0.035,1.8459666102612379e-05
0.0375,1.8459666102611945e-05
0.04,1.8459666102610926e-05
0.0425,1.8459666102609252e-05
0.045,1.8459666102608113e-05
0.0475,1.8459666102608832e-05
0.05,1.8459666102609059e-05
0.0525,1.8459666102614568e-05
0.055,1.8459666102621222e-05
0.0575,1.8459666102626118e-05
0.06,1.8459666102627253e-05
0.0625,1.8459666102625366e-05
0.065,1.8459666102627426e-05
0.0675,1.8459666102630143e-05
0.07,1.8459666102630817e-05
0.0725,1.8459666102630451e-05
0.075,1.8459666102628009e-05
0.0775,1.845966610262418e-05
0.08,1.8459666102622479e-05
0.0825,1.8459666102624227e-05
0.085,1.8459666102627182e-05
0.0875,1.8459666102634795e-05
0.09,1.8459666102642781e-05
0.0925,1.8459666102650973e-05
0.095,1.8459666102669805e-05
0.0975,1.8459666102681209e-05
0.1,1.8459666102685654e-05
0.1025,1.845966610268621e-05
0.105,1.8459666102683045e-05
0.1075,1.8459666102679854e-05
0.11,1.8459666102677157e-05
0.1125,1.8459666102674755e-05
0.115,1.8459666102673023e-05
0.1175,1.8459666102672075e-05
0.12,1.8459666102671519e-05
0.1225,1.8459666102671119e-05
0.125,1.8459666102670492e-05
0.1275,1.8459666102671177e-05
0.13,1.8459666102670563e-05
0.1325,1.8459666102669188e-05
0.135,1.8459666102667307e-05
0.1375,1.8459666102665132e-05
0.14,1.8459666102662815e-05
0.1425,1.8459666102660528e-05
0.145,1.8459666102658542e-05
0.1475,1.8459666102656964e-05
0.15,1.8459666102655784e-05
0.1525,1.8459666102654924e-05
0.155,1.8459666102654206e-05
0.1575,1.8459666102653396e-05
0.16,1.8459666102652701e-05
0.1625,1.8459666102651997e-05
0.165,1.8459666102651251e-05
0.1675,1.8459666102650465e-05
0.17,1.8459666102649645e-05
0.1725,1.8459666102648839e-05
0.175,1.8459666102648056e-05
0.1775,1.8459666102647334e-05
0.18,1.8459666102646667e-05
0.1825,1.8459666102645996e-05
0.185,1.845966610264521e-05
0.1875,1.8459666102644302e-05
0.19,1.8459666102643292e-05
0.1925,1.8459666102642337e-05
0.195,1.845966610264126e-05
0.1975,1.8459666102640233e-05
0.2,1.8459666102639338e-05
