Physical Time (s),FreestreamTemperature Monitor (K)
0.0025,300.00000000000011
0.005,300.0000000000004
0.0075,300.00000000000114
0.01,300.00000000000261
0.0125,300.00000000000517
0.015,300.00000000000938
0.0175,300.00000000001484
0.02,300.00000000001808
0.0225,300.00000000002211
0.025,300.00000000002814
0.0275,300.00000000003638
0.03,300.00000000004593
0.0325,300.00000000005429
0.035,300.00000000005696
0.0375,300.00000000004775
0.04,300.00000000002626
0.0425,299.99999999999091
0.045,299.99999999996669
0.0475,299.99999999998192
0.05,299.99999999998676
0.0525,300.000000000103
0.055,300.00000000024369
0.0575,300.00000000034709
0.06,300.00000000037113
0.0625,300.00000000033117
0.065,300.00000000037488
0.0675,300.00000000043218
0.07,300.00000000044645
0.0725,300.00000000043866
0.075,300.00000000038705
0.0775,300.00000000030622
0.08,300.00000000027023
0.0825,300.00000000030718
0.085,300.00000000036965
0.0875,300.00000000053041
0.09,300.00000000069906
0.0925,300.00000000087215
0.095,300.00000000127005
0.0975,300.0000000015109
0.1,300.0000000016048
0.1025,300.00000000161651
0.105,300.00000000154984
0.1075,300.00000000148236
0.11,300.00000000142541
0.1125,300.00000000137464
0.115,300.00000000133804
0.1175,300.00000000131809
0.12,300.0000000013062
0.1225,300.00000000129779
0.125,300.00000000128449
0.1275,300.00000000129893
0.13,300.00000000128608
0.1325,300.00000000125704
0.135,300.00000000121724
0.1375,300.00000000117137
0.14,300.00000000112226
0.1425,300.00000000107406
0.145,300.00000000103216
0.1475,300.0000000009988
0.15,300.00000000097384
0.1525,300.00000000095559
0.155,300.00000000094059
0.1575,300.00000000092348
0.16,300.0000000009087
0.1625,300.00000000089381
0.165,300.000000000878
0.1675,300.00000000086141
0.17,300.00000000084418
0.1725,300.00000000082707
0.175,300.00000000081059
0.1775,300.0000000007953
0.18,300.00000000078114
0.1825,300.00000000076699
0.185,300.0000000007505
0.1875,300.00000000073123
0.19,300.00000000070997
0.1925,300.00000000068968
0.195,300.00000000066711
0.1975,300.0000000006454
0.2,300.00000000062641
0.2025,300.00000000061129
0.205,300.00000000059788
0.2075,300.00000000059487
0.21,300.00000000058827
0.2125,300.00000000058441
0.215,300.00000000057975
0.2175,300.00000000057622
0.22,300.00000000056912
0.2225,300.00000000055803
0.225,300.00000000054428
0.2275,300.00000000052876
0.23,300.00000000051239
0.2325,300.00000000049596
0.235,300.00000000048004
0.2375,300.00000000046549
0.24,300.00000000045247
0.2425,300.0000000004411
0.245,300.00000000043116
0.2475,300.00000000042235
0.25,300.00000000041416
0.2525,300.00000000040535
0.255,300.00000000039734
0.2575,300.00000000038926
0.26,300.00000000038096
0.2625,300.00000000037232
0.265,300.00000000036351
0.2675,300.0000000003547
0.27,300.00000000034623
0.2725,300.00000000033822
0.275,300.00000000033094
0.2775,300.00000000032435
0.28,300.00000000031832
0.2825,300.00000000031275
0.285,300.00000000030747
0.2875,300.00000000030235
0.29,300.00000000029729
0.2925,300.00000000029212
0.295,300.00000000028672
0.2975,300.00000000028149
0.3,300.00000000027626
0.3025,300.0000000002716
0.305,300.00000000026756
0.3075,300.00000000026398
0.31,300.00000000026102
0.3125,300.00000000025847
0.315,300.00000000025625
0.3175,300.00000000025415
0.32,300.00000000025204
0.3225,300.00000000024977
0.325,300.00000000024721
0.3275,300.00000000024426
0.33,300.00000000024119
0.3325,300.00000000023783
0.335,300.00000000023448
0.3375,300.00000000023124
0.34,300.00000000022823
0.3425,300.00000000022561
0.345,300.00000000022334
0.3475,300.00000000022118
0.35,300.0000000002193
0.3525,300.00000000021754
0.355,300.00000000021595
0.3575,300.00000000021441
0.36,300.00000000021288
0.3625,300.00000000021123
0.365,300.00000000020952
0.3675,300.00000000020776
0.37,300.00000000020583
0.3725,300.00000000020378
0.375,300.00000000020179
0.3775,300.00000000019969
0.38,300.00000000019759
0.3825,300.0000000001956
0.385,300.00000000019372
0.3875,300.00000000019179
0.39,300.00000000018997
0.3925,300.00000000018838
0.395,300.0000000001869
0.3975,300.00000000018565
0.4,300.00000000018446
0.4025,300.00000000018338
0.405,300.00000000018252
0.4075,300.00000000018184
0.41,300.00000000018133
0.4125,300.00000000018127
0.415,300.00000000018156
0.4175,300.0000000001819
0.42,300.00000000018207
0.4225,300.00000000018179
0.425,300.00000000018122
0.4275,300.00000000018053
0.43,300.00000000017991
0.4325,300.00000000017928
0.435,300.0000000001786
0.4375,300.00000000017792
0.44,300.00000000017729
0.4425,300.00000000017639
0.445,300.00000000017525
0.4475,300.00000000017428
0.45,300.00000000017349
0.4525,300.00000000017286
0.455,300.00000000017269
0.4575,300.00000000017297
0.46,300.00000000017343
0.4625,300.00000000017411
0.465,300.00000000017513
0.4675,300.00000000017616
0.47,300.00000000017735
0.4725,300.00000000017866
0.475,300.00000000018002
0.4775,300.00000000018144
0.48,300.00000000018287
0.4825,300.00000000018417
0.485,300.00000000018542
0.4875,300.0000000001894
0.49,300.0000000001894
0.4925,300.0000000001898
0.495,300.00000000019014
0.4975,300.00000000019077
0.5,300.00000000019145
0.5025,300.00000000019213
0.505,300.0000000001931
0.5075,300.00000000019378
0.51,300.00000000019475
0.5125,300.000000000196
0.515,300.00000000019736
0.5175,300.00000000019844
0.52,300.00000000019986
0.5225,300.00000000020162
0.525,300.00000000020202
0.5275,300.00000000020447
0.53,300.00000000020788
0.5325,300.00000000021146
0.535,300.00000000021504
0.5375,300.00000000021862
0.54,300.00000000022192
0.5425,300.00000000022499
0.545,300.00000000022794
0.5475,300.0000000002309
0.55,300.0000000002338
0.5525,300.00000000023698
0.555,300.00000000024022
0.5575,300.00000000024346
0.56,300.00000000024647
0.5625,300.00000000024943
0.565,300.00000000025227
0.5675,300.000000000255
0.57,300.00000000025778
0.5725,300.00000000026051
0.575,300.00000000026336
0.5775,300.00000000026631
0.58,300.00000000026944
0.5825,300.00000000027268
0.585,300.00000000027609
0.5875,300.00000000027956
0.59,300.00000000028314
0.5925,300.00000000028683
0.595,300.00000000029058
0.5975,300.00000000029416
0.6,300.00000000029792
0.6025,300.00000000030172
0.605,300.00000000030542
0.6075,300.00000000030906
0.61,300.00000000031264
0.6125,300.00000000031616
0.615,300.00000000031952
0.6175,300.0000000003227
0.62,300.00000000032577
0.6225,300.00000000032861
0.625,300.00000000033123
0.6275,300.00000000033373
0.63,300.00000000033623
0.6325,300.00000000033873
0.635,300.00000000034112
0.6375,300.00000000034368
0.64,300.00000000034623
0.6425,300.00000000034902
0.645,300.00000000035192
0.6475,300.00000000035499
0.65,300.00000000035828
0.6525,300.00000000036175
0.655,300.00000000036533
0.6575,300.00000000036897
0.66,300.00000000037272
