Physical Time (s),anabla_vol Monitor (kg-m/s^3): cv1,anabla_vol Monitor (kg-m/s^3): cv2,anabla_vol Monitor (kg-m/s^3): cv3,anabla_vol Monitor (kg-m/s^3): cv4,anabla_vol Monitor (kg-m/s^3): cv5,anabla_vol Monitor (kg-m/s^3): cv6,anabla_vol Monitor (kg-m/s^3): cv7
0.0025,1.4861780815960987e-07,1.4861824927468542e-07,1.4861824928689296e-07,1.4861824928689439e-07,1.4861824928689439e-07,1.4861824928689439e-07,1.4861824928689439e-07
0.005,2.3308437330947078e-08,2.3308831998682844e-08,2.3308832153523613e-08,2.3308832153704345e-08,2.3308832153704736e-08,2.3308832153704743e-08,2.3308832153704743e-08
0.0075,2.1078741097186681e-08,2.1084017152916679e-08,2.1084017711966461e-08,2.1084017717046432e-08,2.1084017717064835e-08,2.1084017717065109e-08,2.1084017717065109e-08
0.01,2.1535893799578936e-08,2.1542856509831656e-08,2.1542858038626169e-08,2.1542858063875592e-08,2.1542858064248485e-08,2.1542858064255153e-08,2.1542858064255156e-08
0.0125,2.1851377186064541e-08,2.1859729985769203e-08,2.1859733510997765e-08,2.1859733575441907e-08,2.185973357806318e-08,2.1859733578148541e-08,2.1859733578148581e-08
0.015,2.2264701164014651e-08,2.2275678076599734e-08,2.2275686068108671e-08,2.2275686215555349e-08,2.2275686224609275e-08,2.2275686225151488e-08,2.2275686225151902e-08
0.0175,2.2824156533684067e-08,2.2837910399443215e-08,2.2837920239422948e-08,2.2837920640071981e-08,2.2837920665177935e-08,2.2837920667099816e-08,2.2837920667103108e-08
0.02,2.3483082990513472e-08,2.3500301737228842e-08,2.3500311126312417e-08,2.3500311472152393e-08,2.3500311505180513e-08,2.3500311507772299e-08,2.3500311507776593e-08
0.0225,2.4184396416530815e-08,2.4206084785784136e-08,2.4206095626754981e-08,2.420609593565356e-08,2.4206096001945677e-08,2.4206096009623706e-08,2.4206096009633871e-08
0.025,2.4896220201759354e-08,2.4923599742305655e-08,2.4923610371470845e-08,2.4923610814397003e-08,2.4923610878697269e-08,2.4923610898985942e-08,2.492361089902642e-08
0.0275,2.5597906963848305e-08,2.5632452090661205e-08,2.5632462196172542e-08,2.5632462737842915e-08,2.5632462799488388e-08,2.5632462830586779e-08,2.5632462830830222e-08
0.03,2.6281111550233213e-08,2.6324622648482526e-08,2.6324632686488418e-08,2.6324633194994695e-08,2.6324633273842613e-08,2.6324633306455946e-08,2.6324633307645987e-08
0.0325,2.694592247607914e-08,2.7000638485334154e-08,2.7000648973935832e-08,2.7000649356972962e-08,2.700064948990356e-08,2.7000649523880381e-08,2.7000649527493323e-08
0.035,2.7596697347397486e-08,2.7665387158897251e-08,2.766539845966478e-08,2.7665398722374312e-08,2.7665398875705301e-08,2.7665398921145396e-08,2.7665398928045869e-08
0.0375,2.8237562314216501e-08,2.8323543905791146e-08,2.8323556283504032e-08,2.8323556515545581e-08,2.8323556606207991e-08,2.8323556689676761e-08,2.8323556698223645e-08
0.04,2.8868590529765607e-08,2.8975658756482079e-08,2.8975672433092719e-08,2.8975672635730158e-08,2.8975672695216055e-08,2.8975672811136745e-08,2.8975672819625465e-08
0.0425,2.9484990811970368e-08,2.9617261820718354e-08,2.9617277005615847e-08,2.9617277182826333e-08,2.9617277246475118e-08,2.9617277341477877e-08,2.9617277353732439e-08
