Physical Time (s),aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv1,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv2,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv3,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv4,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv5,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv6,aphi_alt_flux_bot Monitor (kg-m/s^3): bot_cv7
0.0025,3.7415401617280756e-14,4.0567747578188355e-14,4.2790230767789834e-14,4.2854768603090992e-14,4.2856167352062622e-14,4.2856217619099275e-14,4.2856218072478009e-14
0.005,1.532180378081782e-12,1.564940487826608e-12,1.762540770736165e-12,1.772650714602396e-12,1.7728131245895051e-12,1.7728161654628173e-12,1.7728161691891084e-12
0.0075,1.7145299646306276e-11,1.0116076624350396e-11,1.0268384647599856e-11,1.0664490837337207e-11,1.0675845277372629e-11,1.0676028502421753e-11,1.0676028503313633e-11
0.01,1.0726284388046373e-10,4.4844665354690854e-11,5.9952868744973765e-12,8.2967801518380622e-12,8.5526254030446861e-12,8.5588317010283422e-12,8.5588312495757481e-12
0.0125,3.9609090302431816e-10,2.2197563105810632e-10,-4.8543867236437594e-12,-1.6401771512770436e-11,-1.4498155380049518e-11,-1.4392470302971604e-11,-1.4392474683629732e-11
0.015,7.7168596364404177e-10,5.3809737483376578e-10,9.5355948676797143e-12,-9.4229817555427468e-11,-9.1022630291260471e-11,-9.0108757405836922e-11,-9.0108710182383507e-11
0.0175,7.9165320178035256e-10,6.6386618699147503e-10,-2.7624472745594859e-11,-3.3093593336633885e-10,-3.5209955770186391e-10,-3.482013383881458e-10,-3.4819955193932128e-10
0.02,9.3582502007272511e-10,8.0723236402153323e-10,-2.0421895580772175e-11,-4.4939625769876297e-10,-5.0675108511292216e-10,-4.9722567758426104e-10,-4.9721211986182952e-10
0.0225,1.5689826730728736e-09,1.4909692001291041e-09,6.4059436541109859e-10,9.9393430921427899e-11,2.3883589086409403e-11,4.1559966490692951e-11,4.1625683338755081e-11
0.025,5.6402808944891784e-10,5.529001571642919e-10,1.2870509321596811e-10,-5.1083916803948681e-10,-6.0464162494678922e-10,-5.7155259670418307e-10,-5.7129313262134755e-10
0.0275,-1.3713331708024811e-09,-1.3583793808739117e-09,-1.2809865484210246e-09,-1.6895222776692768e-09,-1.8752985175860057e-09,-1.8180538450521804e-09,-1.8172736897888323e-09
0.03,-1.9270893630958015e-09,-1.9098085145547255e-09,-1.5684566902099741e-09,-1.5049692154092165e-09,-1.7455765774127403e-09,-1.6897874447497945e-09,-1.6880704229567628e-09
0.0325,-1.557744256093478e-09,-1.5427390466017823e-09,-1.1461364547558076e-09,-7.3991907724359463e-10,-8.294289730338019e-10,-8.3169558375914844e-10,-8.2858396129564702e-10
0.035,-9.0015751527324073e-10,-8.8997969340557416e-10,-5.6636836857837716e-10,-4.3614410090242424e-11,1.1316106697753825e-10,5.5101281186801686e-11,5.9421230820404852e-11
0.0375,-3.1527073942751505e-10,-3.1246433867289347e-10,-1.2512996105481277e-10,3.4531028144939489e-10,6.5930206825110641e-10,6.1834073636826894e-10,6.1899452070303416e-10
0.04,4.9093058518216675e-11,4.179113140944319e-11,7.3855942067197517e-11,3.8479329532715517e-10,7.2875484579062188e-10,7.6825381820978012e-10,7.5270427365121006e-10
0.0425,2.8893769364107507e-10,2.7168017510482161e-10,1.6224704661974573e-10,2.8036913395182558e-10,5.5802285398341809e-10,6.9828683799488986e-10,6.58459262216294e-10
0.045,4.8652010688622723e-10,4.6249192591401805e-10,2.5080223813811622e-10,2.0335204269541713e-10,3.6294080384076899e-10,5.7558238964073932e-10,5.2719264610023377e-10
0.0475,6.3581739636420597e-10,6.0978333397010596e-10,3.4758829001858904e-10,1.8805958740534111e-10,2.3201470320373856e-10,4.5314094679382147e-10,4.2421950548970207e-10
0.05,7.028162797846814e-10,6.7813234248356584e-10,4.1168718987929206e-10,1.9383351170389592e-10,1.5539978476807156e-10,3.3393926767809605e-10,3.352834117607992e-10
0.0525,6.6473253463082873e-10,6.4584949647407072e-10,4.1404709367529126e-10,1.8730150190081817e-10,1.0238948019995898e-10,2.0739182720340614e-10,2.394524423655769e-10
0.055,5.4980029661171125e-10,5.3694461082519907e-10,3.569468970153622e-10,1.5603353408312556e-10,5.304371193933729e-11,8.6892473443019088e-11,1.3790454272579314e-10
0.0575,4.0781664641999897e-10,3.9906464411401272e-10,2.6976219550247987e-10,1.1333749266267871e-10,1.1777340292764163e-11,-5.0568589723498427e-12,5.0663179665482638e-11
0.06,2.8784399861900568e-10,2.8093048165694942e-10,1.8990490399655513e-10,8.2211848344442867e-11,-4.8215025941830049e-12,-4.9875924764985819e-11,1.7323575337882704e-12
0.0625,2.2232795104565353e-10,2.156032364888078e-10,1.4622858876241248e-10,8.0743722370277669e-11,1.6676307048029578e-11,-3.9988452046956323e-11,3.8314674290962995e-12
