Physical Time (s),aphi_alt_flux_left Monitor (kg-m/s^3)
0.0025,-6.602396142009948e-09
0.005,-4.1566885266956168e-08
0.0075,-8.7971847912842367e-08
0.01,-1.2834038704284184e-07
0.0125,-1.5317086184273954e-07
0.015,-5.7493802933131777e-08
0.0175,-3.9251881206869267e-08
0.02,-4.4055986655823649e-07
0.0225,-9.2811427954783399e-07
0.025,-1.1021792169466671e-06
0.0275,-1.0322263989805269e-06
0.03,-9.4938337949717353e-07
0.0325,-9.1428713516484648e-07
0.035,-8.9982618499266836e-07
0.0375,-8.8163641631413638e-07
0.04,-8.6500996468907222e-07
0.0425,-8.532037217570899e-07
0.045,-8.4358500135140906e-07
0.0475,-8.3269547585349261e-07
0.05,-8.2782387074720135e-07
0.0525,-8.1927476893663939e-07
0.055,-8.0870443270376428e-07
0.0575,-7.97521558115097e-07
0.06,-7.872592603691181e-07
0.0625,-7.7845392692966534e-07
0.065,-7.6346092629713768e-07
0.0675,-7.4773259682373809e-07
0.07,-7.3563503530433166e-07
0.0725,-7.2601987048470072e-07
0.075,-7.2069660618363263e-07
0.0775,-7.1847254853577209e-07
0.08,-7.1458274687696285e-07
0.0825,-7.0648650497020646e-07
0.085,-6.961102573484552e-07
0.0875,-6.7970432136594103e-07
0.09,-6.6215529610481549e-07
0.0925,-6.4422602151128366e-07
0.095,-6.1507412664692162e-07
0.0975,-5.9468964822358963e-07
0.1,-5.8267344350474509e-07
0.1025,-5.7564669253467876e-07
0.105,-5.7318885692508268e-07
0.1075,-5.7081866006637332e-07
0.11,-5.6785863196863582e-07
0.1125,-5.6442837109696764e-07
0.115,-5.6019089300012742e-07
0.1175,-5.5458540744229271e-07
0.12,-5.474771612385644e-07
0.1225,-5.3968253684160501e-07
0.125,-5.3201437373071456e-07
0.1275,-5.2315760002788756e-07
0.13,-5.1615819808150025e-07
0.1325,-5.1061444881964809e-07
0.135,-5.0634135956522966e-07
0.1375,-5.0306704991292523e-07
0.14,-5.0049058696504429e-07
0.1425,-4.9814543263192395e-07
0.145,-4.9555731061014314e-07
0.1475,-4.9241258663288e-07
0.15,-4.8853689503863769e-07
0.1525,-4.8409973465726352e-07
0.155,-4.7909487973846233e-07
0.1575,-4.735985104800122e-07
0.16,-4.6763403305080914e-07
0.1625,-4.6157576554200931e-07
0.165,-4.5564370546780059e-07
0.1675,-4.4994993109261373e-07
0.17,-4.4457781292032536e-07
0.1725,-4.3954029091070497e-07
0.175,-4.3481573243233668e-07
0.1775,-4.3033891090138265e-07
0.18,-4.2604561911585152e-07
0.1825,-4.2191376442004458e-07
0.185,-4.1797732272906938e-07
0.1875,-4.1418620852526661e-07
0.19,-4.1044469475437934e-07
0.1925,-4.0656957112179201e-07
0.195,-4.0275764615150325e-07
0.1975,-3.9885362457312369e-07
0.2,-3.9480908684475606e-07
0.2025,-3.9061906036783948e-07
0.205,-3.8643237621755273e-07
0.2075,-3.8182783686464362e-07
0.21,-3.7753579250364824e-07
0.2125,-3.7324116482874758e-07
0.215,-3.6911875449138922e-07
0.2175,-3.6505645125287793e-07
0.22,-3.6126947313194571e-07
0.2225,-3.5776623329043775e-07
0.225,-3.544622553205749e-07
0.2275,-3.5131170429429803e-07
0.23,-3.4827101786753407e-07
0.2325,-3.4529520292011777e-07
0.235,-3.4235675874875912e-07
0.2375,-3.394085201730578e-07
0.24,-3.3640448815967645e-07
0.2425,-3.333513459505542e-07
0.245,-3.3025803441361356e-07
0.2475,-3.2713579172131286e-07
0.25,-3.2402648657937205e-07
0.2525,-3.2098878109845714e-07
0.255,-3.1792904493157135e-07
0.2575,-3.1489536906936054e-07
0.26,-3.1190336634714953e-07
0.2625,-3.0897278300619009e-07
0.265,-3.0609966311956893e-07
0.2675,-3.032633679142707e-07
0.27,-3.0046314734001248e-07
0.2725,-2.9773211374213464e-07
0.275,-2.9502546234378989e-07
0.2775,-2.9236304857500636e-07
0.28,-2.8972843588655913e-07
