Physical Time (s),aphi_alt_flux_right Monitor (kg-m/s^3): right_cv1,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv2,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv3,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv4,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv5,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv6,aphi_alt_flux_right Monitor (kg-m/s^3): right_cv7
0.0025,9.5025988349943702e-06,-4.4709963158094722e-08,-1.9315775241485517e-09,-1.6207688488478925e-10,-3.2529115723318331e-11,-7.6532216752278222e-12,-5.8581723305449968e-12
0.005,1.2943960488928773e-05,1.9595234304292576e-07,-1.4186126307622492e-08,-1.2255681939758698e-09,-1.8447049435693828e-10,-2.5473119122851696e-11,-2.1171038155834877e-11
0.0075,4.649340143062201e-05,8.3863533474818914e-07,-2.4418532687781513e-08,-6.8960341828791037e-09,-1.0533346496533356e-09,-8.1697139366906878e-11,-5.8347803589382177e-11
0.01,8.7334596795068416e-05,1.391551932993809e-06,6.8470543492868687e-08,-1.9755005752658338e-08,-4.5232876631034691e-09,-2.3492277604922133e-10,-1.3526402812358542e-10
0.0125,9.9876064372958695e-05,1.8786951820871963e-06,2.5821731294199342e-07,-1.8866484560882222e-08,-1.2979589597188991e-08,-6.506257556138537e-10,-2.6930920668517846e-10
0.015,0.00010407043537335632,3.7800554865629717e-06,3.9667726400573807e-07,2.9920092409135491e-08,-2.2080370728804789e-08,-1.7499819164138466e-09,-4.9214078068866372e-10
0.0175,0.00010762993357590051,5.7656612998271235e-06,4.5624633820242926e-07,1.1748581408041549e-07,-1.1391972948038537e-08,-4.2416627623198445e-09,-7.8908553216636674e-10
0.02,0.00011340014713491747,6.1298214396517712e-06,7.081218241820454e-07,1.4041198641216398e-07,7.709148975941744e-09,-5.9253999013087869e-09,-9.4626905908612014e-10
0.0225,0.00012096931251804825,6.5115720863975382e-06,1.1869523291895833e-06,1.593454270302897e-07,2.3484344979073933e-08,-7.8679935194671309e-09,-1.1218497182157778e-09
0.025,0.00012921548070420581,6.7212779388309509e-06,1.4839471993372192e-06,3.148426001198326e-07,2.1599437271961524e-08,-8.7334480728451015e-09,-1.3717009846819661e-09
0.0275,0.00013789699964398942,6.8168393942505431e-06,1.4500690178842698e-06,5.6784439119801944e-07,4.2646849682194459e-08,-5.6259589103503914e-09,-1.7161077692439135e-09
0.03,0.00014759782872555204,6.9515932954656932e-06,1.5092507501791974e-06,6.8002486597956929e-07,1.497463954201158e-07,1.1879226396191292e-09,-2.1506088868845567e-09
0.0325,0.00015899228173185887,7.1401102338538886e-06,1.5820751367022889e-06,6.4727246672768664e-07,2.9380503587614377e-07,6.1008397558552655e-09,-2.6778940200901977e-09
0.035,0.0001722632782952134,7.3662629836667439e-06,1.5972195917542665e-06,6.7425439683030903e-07,3.5143752815507925e-07,1.3422124091147365e-08,-3.2615493069912879e-09
