Physical Time (s),aphi_alt_vol Monitor (kg-m/s^3): cv1,aphi_alt_vol Monitor (kg-m/s^3): cv2,aphi_alt_vol Monitor (kg-m/s^3): cv3,aphi_alt_vol Monitor (kg-m/s^3): cv4,aphi_alt_vol Monitor (kg-m/s^3): cv5,aphi_alt_vol Monitor (kg-m/s^3): cv6,aphi_alt_vol Monitor (kg-m/s^3): cv7
0.0025,4.0326276658474971e-05,4.0477185428414165e-05,4.0474100280540212e-05,4.0473937815880377e-05,4.0473919330023007e-05,4.0473913098039647e-05,4.0473907408881037e-05
0.005,6.6404248173483903e-05,6.6999886975017359e-05,6.6999262696001847e-05,6.6997976515385761e-05,6.6997848135380865e-05,6.6997819658406993e-05,6.6997800111605289e-05
0.0075,8.0651377942296461e-05,8.1811449378603197e-05,8.1850893795640782e-05,8.1846529308742482e-05,8.1845776808581273e-05,8.1845641665197674e-05,8.1845584897470043e-05
0.01,8.5481243678184337e-05,8.7736521922609476e-05,8.7844789246159375e-05,8.7842572312798529e-05,8.7839936068233692e-05,8.7839383270948843e-05,8.7839246733705241e-05
0.0125,8.7469826783160177e-05,9.061869233609162e-05,9.0782081179360623e-05,9.079841935217181e-05,9.0793587334406055e-05,9.0791835602867666e-05,9.0791541523232064e-05
0.015,8.823858558657045e-05,9.1957005506121994e-05,9.2202920699469311e-05,9.2246105795796898e-05,9.2243440791454394e-05,9.2239470783177954e-05,9.223886110251459e-05
0.0175,8.8421336104355108e-05,9.2517881247839589e-05,9.2904523988075589e-05,9.2968834688972245e-05,9.2977526527016744e-05,9.2971834613025421e-05,9.2970649084967292e-05
0.02,8.8373482533720516e-05,9.2777288326385021e-05,9.3312912764801625e-05,9.3393154307035769e-05,9.3408673558896549e-05,9.3403639986673967e-05,9.3402109022489873e-05
0.0225,8.8178030855310476e-05,9.2877288617220847e-05,9.3503393423020916e-05,9.3632453273672733e-05,9.3649670454486888e-05,9.3647329815844943e-05,9.3645303683981596e-05
0.025,8.7882374095928534e-05,9.2874663822776728e-05,9.3537787084034581e-05,9.373496752885324e-05,9.3761380468242522e-05,9.3761810996671307e-05,9.3759045056890695e-05
0.0275,8.7564170382172242e-05,9.2867442677303536e-05,9.3552275862781581e-05,9.3781424422725442e-05,9.3838316796765583e-05,9.3841627330449196e-05,9.3838178181581772e-05
0.03,8.7255281718817657e-05,9.2897872950244997e-05,9.3603108376826493e-05,9.3834522470381557e-05,9.3927625625622228e-05,9.3940366076039177e-05,9.3936863345350617e-05
0.0325,8.6946762655283128e-05,9.2960417284638136e-05,9.367913273168626e-05,9.3918607529007222e-05,9.4026703209384546e-05,9.4061082979840467e-05,9.4058371539869332e-05
0.035,8.6629730801799e-05,9.3047516915804803e-05,9.3777013854518004e-05,9.4030258866690215e-05,9.4137970892127149e-05,9.4199208124457268e-05,9.419824592703718e-05
0.0375,8.6302832078060385e-05,9.3158683475196312e-05,9.3900164205822624e-05,9.4160710849035633e-05,9.4273336902515932e-05,9.4353954476254648e-05,9.4356897421007111e-05
0.04,8.5964996438562147e-05,9.3294740310686294e-05,9.4049884852497054e-05,9.4311430358495624e-05,9.4434302348035779e-05,9.4524392369468803e-05,9.4535406711555902e-05
0.0425,8.5613792662730357e-05,9.3455498676889203e-05,9.4225764543704875e-05,9.4487209235908105e-05,9.4616106961628306e-05,9.4711781840145991e-05,9.4735160448693753e-05
