Physical Time (s),aphi_vol Monitor (kg-m/s^3): cv1,aphi_vol Monitor (kg-m/s^3): cv2,aphi_vol Monitor (kg-m/s^3): cv3,aphi_vol Monitor (kg-m/s^3): cv4,aphi_vol Monitor (kg-m/s^3): cv5,aphi_vol Monitor (kg-m/s^3): cv6,aphi_vol Monitor (kg-m/s^3): cv7
0.0025,0.00054917905191773271,0.00054938454290556521,0.00054938466240668602,0.00054938466241051401,0.00054938466241052236,0.00054938466241052247,0.00054938466241052247
0.005,0.00031284685875823204,0.00031424091781924826,0.00031426226130401753,0.00031426226820829861,0.00031426226821487175,0.00031426226821490243,0.00031426226821490248
0.0075,0.00012161328886978554,0.0001228036392888707,0.00012290047273715777,0.00012290118204619517,0.0001229011834573371,0.00012290118346213158,0.0001229011834621328
0.01,7.1366163559623128e-05,7.2592297594646163e-05,7.2795863753833063e-05,7.2804656339080784e-05,7.2804730217115781e-05,7.2804730600322241e-05,7.2804730600368239e-05
0.0125,5.8955130340561776e-05,5.9859974427490591e-05,6.0111061406003947e-05,6.0143173958395896e-05,6.0144274714784706e-05,6.0144287733420307e-05,6.0144287734974301e-05
0.015,5.6245894484897055e-05,5.6907998051634511e-05,5.716714554686379e-05,5.722633360678383e-05,5.7232449034797677e-05,5.7232642637582014e-05,5.7232642678619792e-05
0.0175,5.2910357270985433e-05,5.3353662255881714e-05,5.3631136007277762e-05,5.3693890003338452e-05,5.3709835498201253e-05,5.3711200488171381e-05,5.3711201262529078e-05
0.02,4.8057080389658469e-05,4.8356488359395027e-05,4.8599720624301171e-05,4.8647187051049255e-05,4.866949742157602e-05,4.8674466066402541e-05,4.867447504802658e-05
0.0225,4.3673545410891113e-05,4.3922152045267683e-05,4.4066217888978413e-05,4.4124837310608645e-05,4.4142449735995696e-05,4.4152942145141376e-05,4.4153011607617227e-05
0.025,4.0563032406424791e-05,4.0796244014216643e-05,4.0877983900758821e-05,4.0959746834332616e-05,4.0975525543923558e-05,4.0988977123623599e-05,4.098933616689085e-05
0.0275,3.8575976955072832e-05,3.8809838571839586e-05,3.8891505631326818e-05,3.8954553278907844e-05,3.8988344181591614e-05,3.9000210957943665e-05,3.9001439401622843e-05
0.03,3.7396495099189903e-05,3.7638955222417056e-05,3.770847316840316e-05,3.774557484336964e-05,3.7794430294064178e-05,3.780812484796858e-05,3.7810918586863488e-05
0.0325,3.6874296632344819e-05,3.712799012824003e-05,3.7178628980521423e-05,3.7209770987375738e-05,3.7246081994146121e-05,3.7271053528697713e-05,3.7275282195015827e-05
0.035,3.6944603206406276e-05,3.7212219649539539e-05,3.7254145146680224e-05,3.7280181328114073e-05,3.7298988474261001e-05,3.7334951390528064e-05,3.7339371747779671e-05
0.0375,3.7492066418802695e-05,3.7778857974059748e-05,3.7819193120200053e-05,3.7834765955220776e-05,3.7850792323198274e-05,3.7886899891444723e-05,3.7891279084647109e-05
0.04,3.8257009243523491e-05,3.8567113953160769e-05,3.8607826186195187e-05,3.8615249131202744e-05,3.8631883506953737e-05,3.8661020840087388e-05,3.8668109763793286e-05
0.0425,3.8923384561505903e-05,3.9257411735087384e-05,3.9297712125723055e-05,3.9301366771344858e-05,3.9313500366578942e-05,3.9335230970850419e-05,3.9347914929880442e-05
0.045,3.9282382596620734e-05,3.9638402271439279e-05,3.9676843243540895e-05,3.9679086074631435e-05,3.9685184698082543e-05,3.9701900592202936e-05,3.9718671448161287e-05
0.0475,3.9312584781616955e-05,3.9688204764099363e-05,3.9723647228689445e-05,3.9725294762124976e-05,3.9727710740989582e-05,3.9741995920677136e-05,3.9758520718857655e-05
0.05,3.9129909756273005e-05,3.9524121488854563e-05,3.9556020065065276e-05,3.9557372150673031e-05,3.9558326076531936e-05,3.9570739511211859e-05,3.958522194599312e-05
0.0525,3.8889813241163477e-05,3.9303843452487208e-05,3.9332420222873394e-05,3.9333617126147687e-05,3.9334144854144928e-05,3.9343267014100134e-05,3.9357137807005386e-05
