Physical Time (s),ea_bot Monitor (kg-m/s^3): bot_cv1,ea_bot Monitor (kg-m/s^3): bot_cv2,ea_bot Monitor (kg-m/s^3): bot_cv3,ea_bot Monitor (kg-m/s^3): bot_cv4,ea_bot Monitor (kg-m/s^3): bot_cv5,ea_bot Monitor (kg-m/s^3): bot_cv6,ea_bot Monitor (kg-m/s^3): bot_cv7
0.0025,1.5246214140887367e-18,1.5105069509200291e-18,1.4861717125908411e-18,1.485810395769388e-18,1.4858097718553695e-18,1.4858097691744107e-18,1.4858097691741738e-18
0.005,3.2339609870906167e-15,2.949550115653178e-15,2.6011170671803718e-15,2.5964455706978443e-15,2.5964417795541111e-15,2.5964417748267363e-15,2.5964417748266771e-15
0.0075,5.2220197998174004e-13,3.9741286416327377e-13,2.5601420739408266e-13,2.5055249634010601e-13,2.5054453968777034e-13,2.5054453310245049e-13,2.5054453310244003e-13
0.01,1.4119487197419103e-11,8.8178677619544079e-12,4.2479036536259363e-12,3.6692444613764011e-12,3.6666530387356342e-12,3.6666498851351632e-12,3.6666498851340638e-12
0.0125,1.3157186970817259e-10,7.1183528884345799e-11,3.7441270318598208e-11,2.5135053211039317e-11,2.4954387808174375e-11,2.4953899261240954e-11,2.4953899261068881e-11
0.015,5.8483538442550966e-10,2.9438164508960026e-10,1.9696391448750187e-10,1.0854336309940985e-10,1.04642277423387e-10,1.0461501886062412e-10,1.046150188231335e-10
0.0175,1.4127966991655941e-09,7.3669827330874643e-10,5.7628062764178843e-10,3.0060931359008606e-10,2.6644952270716561e-10,2.6581590056164334e-10,2.6581589614204731e-10
0.02,1.827861473563495e-09,1.1024577660074748e-09,8.2519100038255638e-10,4.3250467390417346e-10,2.9019666829412253e-10,2.8339597240713189e-10,2.8339576070116865e-10
0.0225,1.1147877956888558e-09,8.0557350691545855e-10,3.9795655961001641e-10,1.7628790790029788e-10,-1.2219421581149657e-10,-1.6058647265155067e-10,-1.6059210156446635e-10
0.025,3.2991437465655655e-11,5.9566602653119766e-12,-2.367607416923343e-10,-3.0540492146626955e-10,-6.0360833187133024e-10,-7.236736062336163e-10,-7.237657821668024e-10
0.0275,-6.6826482490409649e-10,-6.5533654342172786e-10,-6.1127288823779019e-10,-6.9312074582562188e-10,-8.0945795171008133e-10,-1.0222861793212612e-09,-1.0231972652127143e-09
0.03,-6.6356132948135916e-10,-6.6040913544835358e-10,-5.5311199899298637e-10,-5.1715073384476554e-10,-5.4487648186138811e-10,-7.6304908792661725e-10,-7.6851925120936465e-10
0.0325,-2.5737801860792334e-10,-2.5729812705608092e-10,-2.1631010832177761e-10,-3.3749833860569926e-11,-4.8970669530311389e-11,-1.9433399943185764e-10,-2.1460990575366797e-10
