Physical Time (s),ek_vol Monitor (N): cv1,ek_vol Monitor (N): cv2,ek_vol Monitor (N): cv3,ek_vol Monitor (N): cv4,ek_vol Monitor (N): cv5,ek_vol Monitor (N): cv6,ek_vol Monitor (N): cv7
0.0025,2.4940011608903321e-05,2.5068890300204186e-05,2.5068951156527937e-05,2.5068951162977812e-05,2.5068951162997392e-05,2.5068951162997697e-05,2.50689511629977e-05
0.005,1.8408160081295815e-05,1.9425434567014211e-05,1.9432969397846314e-05,1.9432973438015168e-05,1.9432973444118644e-05,1.9432973444159423e-05,1.9432973444159478e-05
0.0075,9.954176328552545e-06,1.12645825469266e-05,1.1335007108890288e-05,1.1335390529113685e-05,1.1335391568845074e-05,1.1335391573892671e-05,1.1335391573894975e-05
0.01,7.1940739285866556e-06,8.1831609795379014e-06,8.4410776482360306e-06,8.4474751158315624e-06,8.4475290212598876e-06,8.4475293665213352e-06,8.4475293666012071e-06
0.0125,6.1983719049700378e-06,6.9757175194457745e-06,7.4520870034620655e-06,7.4889426320069313e-06,7.4899108018979563e-06,7.4899224444381902e-06,7.4899224467667194e-06
0.015,5.5633781030500434e-06,6.2183383829523521e-06,6.704865176802539e-06,6.8137263805011361e-06,6.821214929951868e-06,6.8214108528720776e-06,6.8214109080048626e-06
0.0175,4.8890026556094894e-06,5.4032941043127985e-06,5.7273327316260476e-06,5.9126139971252988e-06,5.9427371993473147e-06,5.9444878529698366e-06,5.9444888561492225e-06
0.02,4.1752823880419024e-06,4.4877277909308533e-06,4.6989251207581221e-06,4.8763213890239081e-06,4.9467685418032811e-06,4.9554722360502899e-06,4.9554833664347221e-06
0.0225,3.662673880169317e-06,3.8208486349383761e-06,3.98112105675081e-06,4.0705987181330463e-06,4.1700379130250481e-06,4.1972287387134161e-06,4.1973223830003219e-06
0.025,3.4140827626088227e-06,3.5039470770051745e-06,3.6273822016212537e-06,3.6695996217024277e-06,3.749109786684442e-06,3.8053672901439704e-06,3.8059433375640759e-06
0.0275,3.3202426520994393e-06,3.3941077228854053e-06,3.4662508299253488e-06,3.5463165299798485e-06,3.5779704510287144e-06,3.656238657737826e-06,3.658773200124492e-06
0.03,3.298967228322248e-06,3.3799463649110259e-06,3.409736518536873e-06,3.5165824021006172e-06,3.539347803298594e-06,3.6126023287256437e-06,3.6206047030578091e-06
0.0325,3.3315382467153916e-06,3.4240503970379546e-06,3.4364172970349814e-06,3.5130089623390078e-06,3.5736126990922012e-06,3.6228889130752894e-06,3.6411989868918062e-06
0.035,3.4193578121360315e-06,3.5223250239027177e-06,3.5326836724678812e-06,3.5649144170066764e-06,3.6480757971379283e-06,3.6858319548967322e-06,3.716409380206595e-06
0.0375,3.5581579438575752e-06,3.6722207055158255e-06,3.6862650224769462e-06,3.6952475453731618e-06,3.7570549403231732e-06,3.8090870357203449e-06,3.8466483964123275e-06
0.04,3.7237938695649743e-06,3.8494417298150414e-06,3.8679687320392334e-06,3.8726884406533663e-06,3.8993667287626311e-06,3.9731453558942826e-06,4.0084642691080997e-06
0.0425,3.8753164087020592e-06,4.0106030080549751e-06,4.0314268637548552e-06,4.0386888964909745e-06,4.0454473176503721e-06,4.1261232239542074e-06,4.1564329139126915e-06
0.045,3.9785417003567137e-06,4.1199722627955798e-06,4.1396435890707524e-06,4.1492522275022396e-06,4.1523652747107363e-06,4.2192292168130215e-06,4.2520949874412254e-06
0.0475,4.0266144900136385e-06,4.1710613832344536e-06,4.1869377781641839e-06,4.1965157334274803e-06,4.2020587873184976e-06,4.2438256468680394e-06,4.2874876244586379e-06
0.05,4.0384003246476516e-06,4.1842977629525174e-06,4.1956693425792904e-06,4.2030807392349722e-06,4.2104600279769175e-06,4.2302775577792353e-06,4.2833545406189145e-06
0.0525,4.041525917311327e-06,4.1892258128718473e-06,4.1969829589651288e-06,4.2014147916705063e-06,4.2083652856206587e-06,4.2173692878814518e-06,4.2710017137767479e-06
0.055,4.0571260429355681e-06,4.2087036189337397e-06,4.2142710608660718e-06,4.2162505086328016e-06,4.2212005475771216e-06,4.2284652181435823e-06,4.2756519490348542e-06
0.0575,4.0948210730971435e-06,4.2534557389395096e-06,4.258021142342272e-06,4.2586651623946733e-06,4.2613088990837499e-06,4.2696168366099402e-06,4.3096814307112436e-06
0.06,4.1551985753995082e-06,4.3243448921655823e-06,4.3287560161426756e-06,4.328955212522201e-06,4.3299391344512667e-06,4.3379946965405468e-06,4.3736307997844723e-06
0.0625,4.2335716071991464e-06,4.4162278509031186e-06,4.4211902772173879e-06,4.4213102947256266e-06,4.4215441016444673e-06,4.4275752538340815e-06,4.4601259903657839e-06
0.065,4.3223839640109091e-06,4.5206092547658807e-06,4.5267273316561968e-06,4.526830337157022e-06,4.5269153945944981e-06,4.530400519908407e-06,4.5583560022152486e-06
0.0675,4.4131001697973301e-06,4.6278303042141111e-06,4.635434251069884e-06,4.6355959172409009e-06,4.635695354837726e-06,4.6372336385194172e-06,4.6582464304837844e-06
0.07,4.4983706719557547e-06,4.7295793562936482e-06,4.7385764069473327e-06,4.7389613274145242e-06,4.7390331539858118e-06,4.7395542954006079e-06,4.7530512974087816e-06
0.0725,4.5740474252692228e-06,4.8212047099661729e-06,4.8311420575519214e-06,4.8318670955369672e-06,4.8319201590564999e-06,4.8320985322063542e-06,4.8398771008310981e-06
0.075,4.6399497488270852e-06,4.902571265735442e-06,4.9128784939188374e-06,4.9138935733938982e-06,4.9140329900294483e-06,4.9141546720063885e-06,4.9189393015456398e-06
0.0775,4.6990116676594968e-06,4.9770620233966208e-06,4.9873034333407535e-06,4.9884224733021841e-06,4.9887343934494051e-06,4.9888563867421963e-06,4.9926082536367456e-06
0.08,4.7555399733777882e-06,5.049577270638279e-06,5.0595781719176979e-06,5.0606065646206583e-06,5.0610654057106703e-06,5.0612014894712211e-06,5.0645558483224634e-06
0.0825,4.8135211950744674e-06,5.1246130263001026e-06,5.1344439744735439e-06,5.135280755914519e-06,5.1357727172129594e-06,5.1359595340272351e-06,5.1387282052124352e-06
0.085,4.8756158920473043e-06,5.2051263448717225e-06,5.2150105446077836e-06,5.215663836529479e-06,5.2160787256737136e-06,5.2163422969656324e-06,5.2182516984366696e-06
0.0875,4.9428240943110727e-06,5.2921594220420292e-06,5.3023699647259548e-06,5.3029101567904118e-06,5.3032082978055464e-06,5.3035255455901524e-06,5.304590721301025e-06
0.09,5.0146171566175296e-06,5.3849825270159131e-06,5.3957573226713448e-06,5.3962635876999182e-06,5.3964761096957448e-06,5.3967888864273106e-06,5.3972731590268235e-06
0.0925,5.0893296250675025e-06,5.4815297061707914e-06,5.4930060725015178e-06,5.4935372324787155e-06,5.4937238730314115e-06,5.4939888004765046e-06,5.4941975582473443e-06
0.095,5.1648052093438698e-06,5.5791304049267593e-06,5.5913028004094203e-06,5.5918893067082192e-06,5.5920980987147246e-06,5.5923215401709308e-06,5.592455710033954e-06
