Physical Time (s),enth_flux_enthalpy_left Monitor (kg-m/s^3)
0.0025,-4.6525323972288628e-06
0.005,-9.5325045412659161e-05
0.0075,-0.00054018215855770727
0.01,-0.0014075606220602141
0.0125,-0.0023672908682853167
0.015,-0.002934003665919763
0.0175,-0.0022657201032545123
0.02,-0.00041826967910557969
0.0225,0.0015965519216557447
0.025,0.0027413722349175149
0.0275,0.0028033106246315282
0.03,0.0022459415243048812
0.0325,0.00152113419723173
0.035,0.00088365244958164282
0.0375,0.00041711793458053346
0.04,0.00011473066475176853
0.0425,-5.6631440365389343e-05
0.045,-0.00013225648661082263
0.0475,-0.00014689158107859899
0.05,-0.00013532632406920069
0.0525,-0.00012667285795693893
0.055,-0.00014088511082303146
0.0575,-0.00018272214391100341
0.06,-0.00023859608211116421
0.0625,-0.00028209327789423814
0.065,-0.00028655648327185259
0.0675,-0.00023994244607064336
0.07,-0.00014992944493002878
0.0725,-4.1960509532760695e-05
0.075,4.7144157659283789e-05
0.0775,8.2469767040191535e-05
0.08,4.4055834306173908e-05
0.0825,-6.5979278702979979e-05
0.085,-0.0002249509252343425
0.0875,-0.00039560377972366835
0.09,-0.00053748167898782042
0.0925,-0.00061595727334932634
0.095,-0.00061120151714297993
0.0975,-0.00052490694035943388
0.1,-0.00037292232963009224
0.1025,-0.00018170552964438507
0.105,1.6800911389039421e-05
0.1075,0.00019262435633948176
0.11,0.00032358286142123761
0.1125,0.00039846377198102852
0.115,0.00041741651480415334
0.1175,0.0003890276403118719
0.12,0.00032747116748046068
0.1225,0.00024858260223577114
0.125,0.00016669375386657587
0.1275,9.2994732380047935e-05
0.13,3.4369983422998257e-05
0.1325,-6.7163268605947018e-06
0.135,-3.1137750482721571e-05
0.1375,-4.1832962213836795e-05
0.14,-4.2672180794316381e-05
0.1425,-3.7730659935827535e-05
0.145,-3.0672475405243323e-05
0.1475,-2.4238836332135423e-05
0.15,-2.010756694861788e-05
0.1525,-1.9017619235411653e-05
0.155,-2.1014503904374894e-05
0.1575,-2.5736294095575521e-05
