Physical Time (s),enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv1,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv2,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv3,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv4,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv5,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv6,enth_flux_enthalpy_right Monitor (kg-m/s^3): right_cv7
0.0025,-0.0021283158623879002,-9.9566223831006737e-05,-1.1521440036251163e-06,-8.8295332254789334e-08,-3.608964207706088e-08,-2.8482822442878072e-08,-2.7886403921226454e-08
0.005,-0.0034802888603447557,-0.0010914281501131838,-3.4411736369213604e-05,-1.5158936014577219e-06,-3.1134161017098641e-07,-2.0377275526169728e-07,-1.9892413168865763e-07
0.0075,-0.0024535334694298677,-0.0025005612947708719,-0.00031323191941224401,-1.7706250210205937e-05,-1.9023821113113661e-06,-7.3565994796371796e-07,-7.0592660836306633e-07
0.01,0.00049912730270656558,-0.0035491245203230306,-0.0011048362199587748,-0.00011929440557746011,-1.1439529442295113e-05,-2.0119412647653717e-06,-1.8487912038204932e-06
0.0125,0.0014944048199816342,-0.0033525873827389141,-0.0021536591470202949,-0.0004599792645819346,-5.776390756901029e-05,-4.8624681178311637e-06,-4.0249479921608471e-06
0.015,0.0014945262568500147,-0.0012255166334845958,-0.0029035374676332215,-0.0011174349445944886,-0.00021476730838977334,-1.1927027147995385e-05,-7.9927190438653571e-06
0.0175,0.0013818095948298058,0.0018427980644718234,-0.0026465823339023135,-0.0018846015050273928,-0.0005743130046760521,-3.0610158382101766e-05,-1.4407457581869117e-05
0.02,0.0012358744684917188,0.0038422465421836492,-0.00096451249794745752,-0.0022713740743729753,-0.00108344506279509,-6.7184626762946528e-05,-1.9529668766665834e-05
0.0225,0.00097418739496396209,0.0033256672986879238,0.0014661514998414362,-0.0018565319149331475,-0.0015930573307444745,-0.00016002570617842224,-2.9575741382595351e-05
0.025,0.00063246787180315316,0.0021122439643883619,0.0034782998364374451,-0.00049642529404828723,-0.0017788427460857618,-0.00034853756564847316,-4.749971776134381e-05
0.0275,0.0003148450741084568,0.0011538819432845007,0.0036594318136410403,0.0013207087051461518,-0.0013417680278094771,-0.00064759927421033532,-7.6771518096520628e-05
0.03,9.1883623657154729e-05,0.00041804743391747352,0.0023363219883279092,0.0026750186195499074,-0.00026448502546507304,-0.001004374919255626,-0.00012112720259515
0.0325,-9.3698720816732918e-05,-0.00016977063943158201,0.00090784145635021494,0.002827092501114333,0.001060759316191349,-0.0012816566740978478,-0.00018364960684065889
0.035,-0.00029840493761148509,-0.00060879998406385106,-6.7446382943106158e-05,0.0019060286158562837,0.0020008234863910183,-0.0013020128362833346,-0.00026618860213837908
0.0375,-0.00047331534657560337,-0.00088707928338190543,-0.00063895532137134736,0.00067773146261127936,0.002102715930010381,-0.0009485149224035096,-0.00036866853060748753
0.04,-0.00053740774249933887,-0.0009926020536919183,-0.00095232257785541632,-0.00027066781686663416,0.0014391837828012571,-0.00026514703597818904,-0.00048779237402268795
0.0425,-0.00046057438114152692,-0.00092958575936676567,-0.0010742358015940635,-0.00080148738003865249,0.00049447916576685741,0.00052318902303207654,-0.00061398200519559179
0.045,-0.00027303322038057707,-0.00072511069099772535,-0.0010203762671468172,-0.0010007462048600233,-0.00027655709271584724,0.0011137195585756098,-0.00072691176876529882
0.0475,-3.3312695458202327e-05,-0.0004295607342155022,-0.00081020230101858353,-0.00097109868673590468,-0.00068942926376910473,0.0013038862667988269,-0.00079302511189292759
0.05,0.00020526825959169519,-0.00010611990145840286,-0.00048648883114007959,-0.0007761659945517117,-0.00077472116333169346,0.0011075162676145206,-0.00076804948359497334
0.0525,0.00040863843815936308,0.00018209802110778214,-0.00011470832884083291,-0.00046781314613474924,-0.00063934383904895586,0.00070972020595638113,-0.00061276410782048563
