Physical Time (s),enth_flux_pressure_left Monitor (kg-m/s^3)
0.0025,4.646141187150189e-06
0.005,9.536967923174595e-05
0.0075,0.00054288849545468124
0.01,0.0014261984987629225
0.0125,0.0024209204981111114
0.015,0.0030191069365979538
0.0175,0.0023210768080930535
0.02,0.00042404804806221079
0.0225,-0.0015914534566119271
0.025,-0.0027122987015039393
0.0275,-0.0027648663456032187
0.03,-0.0022166569891902011
0.0325,-0.0015068510327394303
0.035,-0.00087966222991770469
0.0375,-0.00041731038903521079
0.04,-0.00011568640332561193
0.0425,5.6050382456290251e-05
0.045,0.00013204360373802733
0.0475,0.00014672584842056845
0.05,0.00013500405546454695
0.0525,0.00012619308147444926
0.055,0.00014031979147491417
0.0575,0.00018210942737588226
0.06,0.00023795429263702466
0.0625,0.00028147948221057904
0.065,0.00028604089030257601
0.0675,0.00023950329624624567
0.07,0.00014944531216278263
0.0725,4.1323704863513365e-05
0.075,-4.7925105484567085e-05
0.0775,-8.3287322563901795e-05
0.08,-4.4822398074228046e-05
0.0825,6.5242999410784297e-05
0.085,0.00022415632408762584
0.0875,0.00039472812398502202
0.09,0.00053663845229721062
0.0925,0.0006153467111601694
0.095,0.00061097304169901393
0.0975,0.00052500539340507007
0.1,0.00037309965188924999
0.1025,0.00018162698854744087
0.105,-1.7409380849130582e-05
0.1075,-0.00019386217903712621
0.11,-0.00032535820313107141
0.1125,-0.00040055551108623586
0.115,-0.00041956958263830176
0.1175,-0.00039103064483845282
0.12,-0.00032919648041495025
0.1225,-0.00024998801278728689
0.125,-0.00016779913281271782
0.1275,-9.3852431907954126e-05
0.13,-3.5045904828732475e-05
0.1325,6.161140541881374e-06
0.135,3.0653548747902633e-05
0.1375,4.1383328414481082e-05
0.14,4.223372956616177e-05
0.1425,3.7291788032606664e-05
0.145,3.0230642061108755e-05
0.1475,2.3796578980464538e-05
0.15,1.9668871816934998e-05
0.1525,1.8585501935453259e-05
0.155,2.0590824668651463e-05
0.1575,2.5322559911060952e-05
0.16,3.2126652997624733e-05
0.1625,4.0260396717009061e-05
0.165,4.9002761669687963e-05
0.1675,5.7694130274258788e-05
0.17,6.5513561992424583e-05
0.1725,7.1643952081505382e-05
0.175,7.5273091748666616e-05
0.1775,7.5860486175311132e-05
0.18,7.3295286792684472e-05
0.1825,6.7923734934478136e-05
0.185,6.0547977229573848e-05
0.1875,5.2262510812301998e-05
0.19,4.4240507712226783e-05
0.1925,3.7501331137011555e-05
0.195,3.276480595600058e-05
0.1975,3.0294317851610973e-05
0.2,2.9841620242880867e-05
0.2025,3.0704331579330713e-05
0.205,3.1873492247082184e-05
0.2075,3.2259258822849394e-05
0.21,3.0969084198050402e-05
0.2125,2.7438271714358977e-05
0.215,2.1517323136555143e-05
0.2175,1.3535399891296803e-05
0.22,4.1739394601421571e-06
0.2225,-5.5905242317733059e-06
0.225,-1.4739426547363517e-05
0.2275,-2.2369673420164093e-05
0.23,-2.7773767617227594e-05
0.2325,-3.0530501011629855e-05
0.235,-3.0539686561854e-05
0.2375,-2.7996954185990286e-05
0.24,-2.3008244693050304e-05
0.2425,-1.6701379353450272e-05
0.245,-9.6633751372914636e-06
0.2475,-2.5143721585832165e-06
0.25,4.4401293781992947e-06
0.2525,1.1054721637606062e-05
0.255,1.712048293315256e-05
0.2575,2.2768524582325556e-05
0.26,2.8078832358618185e-05
0.2625,3.3260111552780946e-05
0.265,3.8406778794748408e-05
