Physical Time (s),enth_flux_viscous_right Monitor (kg-m/s^3): right_cv1,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv2,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv3,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv4,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv5,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv6,enth_flux_viscous_right Monitor (kg-m/s^3): right_cv7
0.0025,4.0212937285799314e-07,-4.3840579422584233e-09,-5.7809662945860633e-11,-2.6121500285019284e-12,-2.6132946809943396e-13,-1.1662693188409692e-14,-4.6181371137975857e-16
0.005,7.6847429667442973e-07,-1.2360570674819938e-08,-1.4752247966319196e-09,-5.2664835767469968e-11,-3.587050404863509e-12,-9.5264684176825436e-14,-2.4774852364841164e-15
0.0075,-1.2292456093900774e-07,-2.148072629808641e-08,-1.1343487781684738e-08,-7.0391847855388308e-10,-4.419002822972665e-11,-6.9906314812962655e-13,-1.1045702740251034e-14
0.01,4.6656670150399532e-07,-3.1730149708222801e-08,-2.9733115051948801e-08,-4.6756625708775878e-09,-3.7874376661686564e-10,-4.5711655607753741e-12,-4.3032512914497603e-14
0.0125,4.3663654039726784e-07,-1.0912988627166849e-07,-4.6555709498226394e-08,-1.6466297859842503e-08,-2.1356321557973382e-09,-2.6814719270231533e-11,-1.5228649201228561e-13
0.015,3.6386346432484264e-07,-4.3005007924681913e-08,-6.7572647775062817e-08,-3.5506382378991191e-08,-7.9515111910631112e-09,-1.3748283459119254e-10,-5.0320751983323917e-13
0.0175,3.4741409295000296e-07,1.9175463288134776e-07,-1.005682403562679e-07,-5.7126702454319393e-08,-2.0246301320891889e-08,-5.9454623706738683e-10,-1.5849976692528954e-12
0.02,2.8720216611288763e-07,2.3495128881951707e-07,-9.2860038777872143e-08,-8.0488366721324632e-08,-3.7454253215974069e-08,-1.9613163344798253e-09,-3.1843939593086227e-12
0.0225,2.1881171166419379e-07,1.0934538612999203e-07,1.2187266760351843e-08,-9.5514180210234327e-08,-5.6439847216315137e-08,-5.3715078718925851e-09,-5.9399679080668562e-12
0.025,1.5458742052782524e-07,5.7148826027068839e-08,1.2189882884218732e-07,-6.3377476501356557e-08,-7.3157460128591049e-08,-1.2100391049722344e-08,-1.2928407637070111e-11
0.0275,1.0732931729021233e-07,1.9486012263136318e-08,1.0719748781725725e-07,2.5899268164362844e-08,-7.413606004703553e-08,-2.2430692435572358e-08,-3.5519878099742011e-11
0.03,8.3581474330674408e-08,-6.1626428700958829e-09,5.599331893414288e-08,1.0178401388539896e-07,-3.7508497499641022e-08,-3.4863665093373633e-08,-1.0912492277293821e-10
0.0325,8.3152785437120462e-08,-2.0617150309620006e-08,2.5228587967129829e-08,1.0314724553185176e-07,3.1226693255306428e-08,-4.6267610252256453e-08,-3.2577399882712658e-10
0.035,1.0051028191328902e-07,-2.7974766628344852e-08,1.8157673421159904e-09,6.5054106478755723e-08,8.4770179012500669e-08,-5.1203117316931922e-08,-8.8117145100298505e-10
0.0375,1.2754678966109129e-07,-3.0306377331366837e-08,-1.5147487541853967e-08,3.183610444394061e-08,8.9293586606394129e-08,-4.1290062173292308e-08,-2.1073578332442294e-09
0.04,1.5841881489161224e-07,-2.848952574992686e-08,-2.5187300692361047e-08,6.7525376911747977e-09,6.2672448435121014e-08,-1.1367317713289655e-08,-4.4267422935965412e-09
0.0425,1.892846423855777e-07,-2.3211315002503065e-08,-2.9787072311639499e-08,-1.1820100924246242e-08,3.3421162932161814e-08,2.9146403345267485e-08,-8.1669816381848577e-09
0.045,2.1668015062218709e-07,-1.5599112909900886e-08,-2.9978036051986333e-08,-2.2840822122068216e-08,9.4286850772041349e-09,5.8889637925655293e-08,-1.3267319911729997e-08
0.0475,2.3803410028816404e-07,-7.3188348545953766e-09,-2.6317530652160749e-08,-2.7226854716526263e-08,-8.8333219316752458e-09,6.4595353517411347e-08,-1.9028070693295193e-08
0.05,2.5289287796600576e-07,-3.4212481193730888e-10,-1.9780869615789506e-08,-2.6696913129246123e-08,-2.0134432362496186e-08,5.1433675149699886e-08,-2.4036260913712606e-08
0.0525,2.6305695480991479e-07,3.8474663777525376e-09,-1.2050136495983036e-08,-2.258509634225171e-08,-2.4590517076388389e-08,3.1583356608141208e-08,-2.6268306552121799e-08
0.055,2.715904219082422e-07,4.8800142507609616e-09,-5.0840027274159289e-09,-1.6161320089924222e-08,-2.3807109943346305e-08,1.2380133765359365e-08,-2.34669298775662e-08
0.0575,2.8153792393351237e-07,3.469610098399171e-09,-4.2885090605060005e-10,-8.9991468003211435e-09,-1.956656185790144e-08,-3.3925341576273155e-09,-1.4164690451409519e-08
0.06,2.9501019915000363e-07,8.2623258702945743e-10,1.2890212730486575e-09,-2.7604474052507079e-09,-1.3437221227878706e-08,-1.4117036639357828e-08,7.5813367901199728e-10
0.0625,3.127592092173379e-07,-1.8898040429507733e-09,4.1200332808171374e-10,1.3105433327658565e-09,-6.9262407418701117e-09,-1.9100874031476349e-08,1.7345763715805881e-08
0.065,3.3425519086149926e-07,-3.8300599697597007e-09,-2.1034307763847246e-09,2.7532998256015584e-09,-1.4277595188957978e-09,-1.9073848658745835e-08,3.0171364972120202e-08
0.0675,3.581008096147298e-07,-4.5596559865237789e-09,-5.1445433809471593e-09,1.9004740821489802e-09,2.0763769707294858e-09,-1.5654373443843311e-08,3.545141344279002e-08
0.07,3.8259159043212644e-07,-4.0621136715626308e-09,-7.7685135022666936e-09,-4.0351901213329239e-10,3.2629007457088114e-09,-1.0577539248789338e-08,3.2903888556339841e-08
0.0725,4.0621799761388229e-07,-2.6471278387898245e-09,-9.37171145029052e-09,-3.16625152938856e-09,2.4611422981124793e-09,-5.3171966657472685e-09,2.4918409894417797e-08
0.075,4.2802679606258951e-07,-7.8755146397839529e-10,-9.7444953867597238e-09,-5.5309414587070259e-09,4.2096252494280324e-10,-9.7187051551389153e-10,1.4561431107157161e-08
0.0775,4.4765346114336591e-07,1.0559074256712804e-09,-9.0338080863386656e-09,-6.9391048966995697e-09,-1.9867770500170047e-09,1.8057801222486107e-09,4.2986473821804462e-09
0.08,4.6529674913003584e-07,2.5806557365249035e-09,-7.6271337929364292e-09,-7.1901789324438874e-09,-4.0082403405561277e-09,2.8478199683946098e-09,-4.1543947079958756e-09
0.0825,4.8132124658353311e-07,3.6920064176546106e-09,-5.9915218793189567e-09,-6.4137991831648902e-09,-5.1491712280663841e-09,2.4166199884604904e-09,-9.7276446507000226e-09
0.085,4.9608652222507542e-07,4.4790466898712213e-09,-4.5167301689491461e-09,-4.966224551731371e-09,-5.233485663018643e-09,1.0552640301101739e-09,-1.2066107786903453e-08
0.0875,5.0976736241051066e-07,5.1202119790648994e-09,-3.4164034079430285e-09,-3.281587930523854e-09,-4.3828410362262956e-09,-5.9679017945266259e-10,-1.157681591328658e-08
0.09,5.2224656122001975e-07,5.7890703153066073e-09,-2.7130901300031046e-09,-1.727482719810177e-09,-2.9243319054956765e-09,-1.9680550119769387e-09,-9.1970003358297117e-09
0.0925,5.3264126634090363e-07,6.5885324690615825e-09,-2.294092837193031e-09,-5.1400916873003559e-10,-1.2549554328527295e-09,-2.6718696587085456e-09,-6.0275490475732792e-09
0.095,5.4059143281133348e-07,7.5099013353780126e-09,-1.9983411010182567e-09,3.2027686719103006e-10,2.8970600099606214e-10,-2.562977539451494e-09,-2.9910474008688121e-09
0.0975,5.4585216188466137e-07,8.4424562492876199e-09,-1.6936986987979747e-09,8.5903931848561772e-10,1.5139743302762663e-09,-1.7259738623134288e-09,-6.5958414940633784e-10
0.1,5.4838102952991294e-07,9.2091407453527613e-09,-1.3223861118140309e-09,1.2334958587553356e-09,2.3722158845317025e-09,-4.0605087909877318e-10,7.5779715335597693e-10
0.1025,5.4842637535524104e-07,9.6174530830718744e-09,-9.1279925051360591e-10,1.5556262910659452e-09,2.9275943934809494e-09,1.0912375390041997e-09,1.3372742030477296e-09
0.105,5.4643423145378715e-07,9.5107153813041037e-09,-5.6523685099648766e-10,1.8759085875516584e-09,3.2892251382197333e-09,2.4947443738253367e-09,1.3304124150781635e-09
0.1075,5.4303381221918542e-07,8.8088527174499283e-09,-4.2121665314304012e-10,2.168936211885198e-09,3.5534686281265935e-09,3.6286074695642864e-09,1.0572291183304764e-09
0.11,5.3901833786073156e-07,7.5328590212043201e-09,-6.2190161563026908e-10,2.3447639171570615e-09,3.764665991606822e-09,4.4293407248895922e-09,8.1631553028575603e-10
0.1125,5.3522891471801388e-07,5.7942662204273618e-09,-1.2672297102511675e-09,2.2804342251174649e-09,3.9021441464839849e-09,4.9246819230132174e-09,8.1863627092517598e-10
0.115,5.324659885932522e-07,3.7622213908330855e-09,-2.3926520588939897e-09,1.857558349319256e-09,3.8908060689381356e-09,5.188447763906459e-09,1.1550310059090253e-09
0.1175,5.3142330363394915e-07,1.6287963782319403e-09,-3.9630885505871441e-09,9.9625571513436936e-10,3.6276402535275892e-09,5.2947515411313051e-09,1.7983540953030507e-09
0.12,5.3264355439207875e-07,-4.1712509968287661e-10,-5.8812971368527767e-09,-3.2213201721877766e-10,3.0153580641924473e-09,5.2857202507662814e-09,2.6340864300030485e-09
0.1225,5.3650111867474316e-07,-2.2069773800125596e-09,-8.0054307371141808e-09,-2.0480663930685557e-09,1.9933685617607299e-09,5.1576867208715957e-09,3.5094052311301796e-09
0.125,5.4318309908910717e-07,-3.605692676263392e-09,-1.0170281491169427e-08,-4.07078923569514e-09,5.5916507189093985e-10,4.865996771071805e-09,4.2838204807152059e-09
0.1275,5.5270431017054573e-07,-4.5282570721183026e-09,-1.2209241542150859e-08,-6.2347322862362142e-09,-1.2224896504657462e-09,4.3458355646420226e-09,4.8663573997507772e-09
0.13,5.6493186779191277e-07,-4.944347258261158e-09,-1.3980056767356047e-08,-8.3678728406092196e-09,-3.2316689294090926e-09,3.538830289342406e-09,5.2293458010116943e-09
0.1325,5.7965276277016216e-07,-4.8749310084971766e-09,-1.5381627856626726e-08,-1.0309353470287684e-08,-5.3179635719957259e-09,2.4143699398783366e-09,5.3974380293663702e-09
0.135,5.9665344508001808e-07,-4.3762767969432826e-09,-1.6357559820239133e-08,-1.1926627025546118e-08,-7.3219341992706491e-09,9.8349303897460559e-10,5.421726896848539e-09
0.1375,6.1566585451629824e-07,-3.5264829503393071e-09,-1.68914647323641e-08,-1.3125699552703971e-08,-9.0939357020310655e-09,-6.9692442302059844e-10,5.3512663164099547e-09
0.14,6.3642975419877195e-07,-2.4188152942214667e-09,-1.6999943879903839e-08,-1.3855233997311338e-08,-1.0509399150911986e-08,-2.528616786757286e-09,5.2110104296540224e-09
0.1425,6.5868652304182095e-07,-1.1517899539957611e-09,-1.6727101401569099e-08,-1.4107212272740895e-08,-1.1481786508774751e-08,-4.3831459990142436e-09,4.9914708391409592e-09
0.145,6.8221260352187382e-07,1.8317740851264305e-10,-1.6140414594620762e-08,-1.391374943092924e-08,-1.1971658065123969e-08,-6.1206060148910849e-09,4.6519630221041237e-09
0.1475,7.0684273899145003e-07,1.5185768223189428e-09,-1.5322441353764966e-08,-1.333869425912057e-08,-1.1986351430840991e-08,-7.6103974807249407e-09,4.1346243584652329e-09
0.15,7.3248254842416719e-07,2.8197120136639432e-09,-1.4360409148360486e-08,-1.2467398748878266e-08,-1.1572135721474335e-08,-8.7473620101035117e-09,3.3840442333362877e-09
0.1525,7.5910292958347526e-07,4.0832993414866931e-09,-1.3336216204918658e-08,-1.1396675415830189e-08,-1.0804055664701153e-08,-9.461912786710954e-09,2.3665327306843059e-09
0.155,7.8670564877662161e-07,5.3267050364997521e-09,-1.2319447971531901e-08,-1.022485164211394e-08,-9.7758771578584382e-09,-9.7247594616711674e-09,1.084190121997689e-09
0.1575,8.1533331812727708e-07,6.5798762179839068e-09,-1.1364346904951412e-08,-9.0424395145572558e-09,-8.590384787062847e-09,-9.5473175033777156e-09,-4.1872793675154571e-10
0.16,8.4502157182673397e-07,7.8763459720098459e-09,-1.0509349235839526e-08,-7.9242498174980519e-09,-7.3490249145823966e-09,-8.9778958969436943e-09,-2.0582315968225978e-09
0.1625,8.7581014830157826e-07,9.2396658014382732e-09,-9.7778489189279336e-09,-6.9243406379764814e-09,-6.1411774750777733e-09,-8.0940630751398707e-09,-3.7210303112975298e-09
0.165,9.0769622908591613e-07,1.0682309383383485e-08,-9.1799756444470106e-09,-6.0746714590330192e-09,-5.0354438757906711e-09,-6.9909255325781881e-09,-5.2805065450308061e-09
0.1675,9.4066597937877565e-07,1.2201100587556097e-08,-8.7160105462375269e-09,-5.3876083666669747e-09,-4.0759079099411062e-09,-5.7683739007740748e-09,-6.6135894968369626e-09
0.17,9.7465051240933101e-07,1.3776197888135089e-08,-8.3803914278196857e-09,-4.8606367859195477e-09,-3.2834134884757799e-09,-4.5201700221103886e-09,-7.6157329839569522e-09
0.1725,1.0095575800353125e-06,1.5376187576366092e-08,-8.1650707171382807e-09,-4.481669890508013e-09,-2.6598230562966363e-09,-3.3253201064746374e-09,-8.212897858125885e-09
0.175,1.0453092030939023e-06,1.6962844032966338e-08,-8.0620843060445e-09,-4.2341614072281079e-09,-2.1939330915971075e-09,-2.2426207266362006e-09,-8.3694537119456571e-09
