Physical Time (s),ep_left Monitor (kg-m/s^3)
0.0025,2.1492100715868528e-10
0.005,8.7195906993430838e-08
0.0075,2.8255020888709263e-06
0.01,1.8994667054052011e-05
0.0125,5.4542637001900386e-05
0.015,8.6654705882213738e-05
0.0175,5.6989739809069243e-05
0.02,7.0530259666324562e-06
0.0225,6.1615474120104497e-06
0.025,2.9875539100490568e-05
0.0275,3.8705347317053769e-05
0.03,2.8946201548881521e-05
0.0325,1.3666558282855227e-05
0.035,3.6576406554150962e-06
0.0375,2.5858036538646617e-07
0.04,5.0844713658092131e-07
0.0425,1.7589755886150594e-06
0.045,2.522075694825914e-06
0.0475,2.3339630247173202e-06
0.05,1.4809609773605761e-06
0.0525,5.5591891938139052e-07
0.055,-7.2362190401621364e-09
0.0575,-1.6098098063459821e-07
0.06,-1.1320875144005629e-07
0.0625,-3.9988195879519407e-08
0.065,3.790656074612379e-08
0.0675,1.614302405994389e-07
0.07,3.141605707283629e-07
0.0725,4.1785592494689384e-07
0.075,4.0824546789910058e-07
0.0775,2.8994539227304624e-07
0.08,1.2528789957778635e-07
0.0825,-1.5196410760990339e-08
0.085,-9.1479521712993218e-08
0.0875,-9.9520152869628321e-08
0.09,-5.6598958459817569e-08
0.0925,1.0961987247583232e-08
0.095,7.0987430644814469e-08
0.0975,8.8315474441421141e-08
0.1,3.5078813748830087e-08
0.1025,-9.4983098928746595e-08
0.105,-2.7872393065498767e-07
0.1075,-4.6914763747519442e-07
0.11,-6.1328494464703358e-07
0.1125,-6.751253501022418e-07
0.115,-6.4594829544335843e-07
0.1175,-5.4177470826192143e-07
0.12,-3.9333820373870357e-07
0.1225,-2.3436358882102581e-07
0.125,-9.2399586102309047e-08
0.1275,1.4655012143787787e-08
0.13,8.0426960039990672e-08
0.1325,1.0732752182942449e-07
0.135,1.0235953610279929e-07
0.1375,7.5493279216307921e-08
0.14,3.859835948766906e-08
0.1425,3.8251333833406311e-09
0.145,-1.9406686220215158e-08
0.1475,-2.7085789562526178e-08
0.15,-2.0639782319657166e-08
0.1525,-4.6257288835748962e-09
0.155,1.6420456042809195e-08
0.1575,4.0334345870359325e-08
0.16,6.7607712109072942e-08
0.1625,9.9947812814194111e-08
0.165,1.3799928908837175e-07
0.1675,1.7967464420986152e-07
0.17,2.1996179299089594e-07
0.1725,2.5246646275676842e-07
0.175,2.7179306687618574e-07
0.1775,2.7557033483033631e-07
0.18,2.6516751155019608e-07
0.1825,2.4490837445872527e-07
0.185,2.2037212718853169e-07
0.1875,1.9661161860025538e-07
0.19,1.7698259224649063e-07
0.1925,1.6275450120139063e-07
0.195,1.5339736365447441e-07
0.1975,1.4714231939237433e-07
0.2,1.4159770016366727e-07
0.2025,1.3426016879685256e-07
0.205,1.2293306802256479e-07
0.2075,1.0613677301304173e-07
0.21,8.3481694773814342e-08
0.2125,5.5890407099866832e-08
0.215,2.5566326492414342e-08
0.2175,-4.278483438167277e-09
0.22,-2.9963749254746203e-08
0.2225,-4.799065061704988e-08
0.225,-5.5688188611515558e-08
0.2275,-5.1744026575469544e-08
0.23,-3.6483820168563169e-08
0.2325,-1.181358401986219e-08
0.235,1.9111534218381227e-08
0.2375,5.2440713637775328e-08
0.24,8.5423004230472237e-08
0.2425,1.1326325397252627e-07
0.245,1.3442059727586582e-07
0.2475,1.4785705781100897e-07
0.25,1.5405156783920162e-07
0.2525,1.5466181998478546e-07
0.255,1.5179233801060379e-07
0.2575,1.4750576529302426e-07
0.26,1.4390903621140364e-07
0.2625,1.4300759509583465e-07
0.265,1.4628920833643104e-07
0.2675,1.5438600747987356e-07
0.27,1.6706010000823894e-07
0.2725,1.8266972710007233e-07
0.275,1.9964717351810282e-07
0.2775,2.1609866780873021e-07
0.28,2.3090439318132237e-07
0.2825,2.4198348497770852e-07
0.285,2.4813763595470851e-07
0.2875,2.481163391292408e-07
0.29,2.4188227190882514e-07
0.2925,2.304431284028858e-07
0.295,2.1463951369895629e-07
0.2975,1.9521243584089771e-07
0.3,1.7258670067906502e-07
0.3025,1.4885832526959564e-07
0.305,1.2595318302665323e-07
0.3075,1.0493911243539556e-07
0.31,8.7412287194504319e-08
0.3125,7.4297647679069343e-08
0.315,6.5611724192288043e-08
0.3175,6.1539313119820702e-08
0.32,6.1897360564059354e-08
0.3225,6.6434587986224743e-08
0.325,7.4936333194171841e-08
0.3275,8.6954649329631101e-08
0.33,1.0188966445778154e-07
0.3325,1.1916521379179577e-07
0.335,1.3924064344533977e-07
0.3375,1.6160501100841152e-07
0.34,1.8491950558851719e-07
0.3425,2.0897131054035764e-07
0.345,2.3318747665655778e-07
0.3475,2.5633680021705491e-07
0.35,2.7993743527224191e-07
0.3525,3.0371832112936334e-07
0.355,3.2732946024021124e-07
0.3575,3.5040583815672075e-07
0.36,3.7258752076261371e-07
0.3625,3.9347030764115703e-07
0.365,4.1251620914894281e-07
0.3675,4.2903884573283663e-07
0.37,4.4229902103441874e-07
0.3725,4.5196335745431441e-07
0.375,4.5694621189882397e-07
0.3775,4.5701430243008815e-07
0.38,4.5190207760473905e-07
0.3825,4.4141353642451936e-07
0.385,4.2533627850009447e-07
0.3875,4.0351883547684081e-07
0.39,3.7598961011736381e-07
0.3925,3.4304508956977722e-07
0.395,3.0524288996078428e-07
0.3975,2.6339714739131722e-07
0.4,2.1858398785921233e-07
0.4025,1.721415399272813e-07
0.405,1.2465151340902361e-07
0.4075,7.7969566652516374e-08
0.41,3.4112449395417706e-08
0.4125,-5.6069296975540452e-09
0.415,-3.8425905473475617e-08
0.4175,-6.3901704364375677e-08
0.42,-8.1660625099015249e-08
0.4225,-9.0927543584834933e-08
0.425,-9.2375815779950767e-08
0.4275,-8.6690308878202922e-08
0.43,-7.4852642403288361e-08
0.4325,-5.7586920218178216e-08
0.435,-3.5238470395149974e-08
0.4375,-9.6671876174596851e-09
0.44,1.8239636591819498e-08
0.4425,4.703624093990728e-08
0.445,7.5100995194038837e-08
0.4475,1.0059470497701991e-07
0.45,1.2232603641265063e-07
0.4525,1.3932234608932409e-07
0.455,1.5071289224093605e-07
0.4575,1.5578650781296777e-07
