Physical Time (s),ep_top Monitor (kg-m/s^3): top_cv1,ep_top Monitor (kg-m/s^3): top_cv2,ep_top Monitor (kg-m/s^3): top_cv3,ep_top Monitor (kg-m/s^3): top_cv4,ep_top Monitor (kg-m/s^3): top_cv5,ep_top Monitor (kg-m/s^3): top_cv6,ep_top Monitor (kg-m/s^3): top_cv7
0.0025,4.923461420292457e-11,5.1771399890203302e-11,5.3267612972544395e-11,5.3306531424457303e-11,5.3307095237649854e-11,5.3307110128794232e-11,5.3307110214549067e-11
0.005,9.4140812630482673e-09,1.1199755419130758e-08,1.2208813877407435e-08,1.2228609849732743e-08,1.2228762622618037e-08,1.2228764343730715e-08,1.2228764346939903e-08
0.0075,2.3299126086245058e-07,3.0933622177410605e-07,3.7010959134463168e-07,3.7226861804085626e-07,3.7228835929399586e-07,3.7228850936199917e-07,3.722885094355922e-07
0.01,1.6579773322850105e-06,2.2196628825494427e-06,2.8943287522727443e-06,2.9465010710762235e-06,2.9473969456372743e-06,2.9474049827483528e-06,2.9474049841532226e-06
0.0125,5.6500371092870111e-06,7.1914862054686908e-06,9.9410650038928106e-06,1.037675629706913e-05,1.0392552597025089e-05,1.0392782186711992e-05,1.0392782213217701e-05
0.015,1.161058457445239e-05,1.3801752473332862e-05,1.9658844558411711e-05,2.1409213351901631e-05,2.1540201918190529e-05,2.1543712438799152e-05,2.1543712945833074e-05
0.0175,1.4713829920755421e-05,1.5979698047137865e-05,2.2828991411667601e-05,2.6851009879857834e-05,2.7449612462640622e-05,2.7480387745132285e-05,2.7480396563531455e-05
0.02,9.5462865154022863e-06,9.1222596975375107e-06,1.2309195483048362e-05,1.7712730732257323e-05,1.9332417363107786e-05,1.9488668440156088e-05,1.948874592364959e-05
0.0225,-2.6800447874108798e-07,-9.21757091192637e-07,-2.293362270535986e-06,1.346722658608824e-06,4.1384963658975827e-06,4.674762953097443e-06,4.675495518103795e-06
0.025,-1.0255897455816424e-06,-1.1125978453933628e-06,-2.802198544414946e-06,-2.7873132155047196e-06,6.9236148038280337e-08,1.3278904270091799e-06,1.3333421812234609e-06
0.0275,5.904786051616436e-06,6.0026858665099591e-06,6.3584667897000015e-06,4.9943455964560514e-06,6.2399038029631775e-06,8.2613277559539581e-06,8.2900616690295702e-06
0.03,7.5940384598452723e-06,7.6702326445249496e-06,9.0755850240012196e-06,9.3509026214901379e-06,8.8654673181576179e-06,1.102717350017998e-05,1.1134508376219103e-05
0.0325,3.8871675334649911e-06,3.9291510995153028e-06,5.0459392133605032e-06,7.0889695142773393e-06,6.6365192484712199e-06,8.03361869313342e-06,8.3230700878815567e-06
0.035,9.19239207552672e-07,9.3794813552896272e-07,1.4070721290627476e-06,3.5112402588306442e-06,4.4764528961076872e-06,4.8562718548042054e-06,5.4256988270822008e-06
0.0375,3.4691784027017983e-08,3.4326213383976457e-08,9.6934411779379918e-08,1.1994855856853731e-06,3.1195218761044376e-06,3.1747883394523112e-06,3.9898808642784627e-06
0.04,3.1960218821366863e-08,5.0467275465041817e-08,4.2500520710764891e-08,2.8963185399646669e-07,1.8896676745156403e-06,2.5009482501148369e-06,3.3366586047953622e-06
0.0425,1.9528779139804252e-07,2.6640722821994684e-07,3.9323839203363624e-07,3.6113983404177286e-07,1.0642877734635652e-06,2.4720510784891668e-06,3.0818266086879913e-06
0.045,3.4102902279954662e-07,4.3972653471502509e-07,7.0936489373117997e-07,7.660582278500731e-07,8.6255473114999917e-07,2.6119643204410427e-06,2.9967385861263981e-06
0.0475,4.002133456176485e-07,4.7608495734761602e-07,7.6725633092920534e-07,9.7205238457704611e-07,9.401082383884521e-07,2.3959970651278116e-06,2.8200147142307071e-06
0.05,3.3823652199023988e-07,3.6896776042410323e-07,5.6655886335611728e-07,8.2170165976893533e-07,8.9052872582549862e-07,1.7249478820899867e-06,2.4202181543896463e-06
0.0525,1.9241789169837639e-07,1.8925616376335662e-07,2.6285749061396454e-07,4.6194741633398491e-07,6.2513727751384626e-07,9.3613500725920909e-07,1.8688128189271141e-06
0.055,4.9386589850716318e-08,3.3038134466087229e-08,2.189586873060012e-08,1.2079675366298838e-07,2.9261451350960677e-07,3.8121364009354143e-07,1.3418548872035807e-06
0.0575,-2.9440807640573299e-08,-4.583819753278916e-08,-8.7562834814158204e-08,-7.0217910085152465e-08,4.7067436268309479e-08,1.388117000242156e-07,9.7668220024709743e-07
0.06,-4.5350926332262653e-08,-5.7567604275046331e-08,-9.6668364809646395e-08,-1.1647656600662744e-07,-6.6671841893139037e-08,8.1385486890515198e-08,7.9494142758104929e-07
0.0625,-3.240043582509968e-08,-4.0338216311828148e-08,-6.7285587121273871e-08,-8.9836233529366961e-08,-8.4973339919299537e-08,7.1073895122438528e-08,7.2037405613719544e-07
0.065,-1.054228463067201e-08,-1.4772102589723442e-08,-3.0468521053506611e-08,-4.3783028792457038e-08,-5.363205061023806e-08,5.8655183190867341e-08,6.5503297888298331e-07
0.0675,2.4426915839096318e-08,2.3664824972383815e-08,1.8764405502862211e-08,1.2591896091636383e-08,6.0574508628324961e-09,6.1921023421496306e-08,5.5243868256078316e-07
0.07,7.7510797778323967e-08,7.9812063013279839e-08,8.7444207421460654e-08,8.5419931373761792e-08,8.4844275619002857e-08,1.0231949447210227e-07,4.3424534626804068e-07
0.0725,1.3695331225201288e-07,1.4084928017346788e-07,1.6067363304564451e-07,1.6428333444173068e-07,1.6546261924093058e-07,1.6870067798061517e-07,3.4570050057179255e-07
0.075,1.8146789076859816e-07,1.8406829804183779e-07,2.1014119300724151e-07,2.2198470079671211e-07,2.2278342600332588e-07,2.2577793717021424e-07,3.0244634752298402e-07
0.0775,1.973301526397097e-07,1.948841534681363e-07,2.1680977979615818e-07,2.3550003971830672e-07,2.3792107789023212e-07,2.4283175068514399e-07,2.795752645651597e-07
0.08,1.8560801687275499e-07,1.7450718271526576e-07,1.8179539299440407e-07,2.0100796237200172e-07,2.0765043850012058e-07,2.1180423913684731e-07,2.4138670990358684e-07
0.0825,1.5688842717880588e-07,1.3440264852592287e-07,1.2012115839420994e-07,1.3174799860693094e-07,1.4209362735280452e-07,1.4471551007020387e-07,1.7200387400358626e-07
0.085,1.2273625505903287e-07,8.7220323909626157e-08,4.8771352554197008e-08,4.6576068091066055e-08,5.6512656845323152e-08,6.0094896276858942e-08,7.9561897125906979e-08
0.0875,9.1231699139751304e-08,4.2122813787278117e-08,-2.0038080667010583e-08,-3.8904723451356433e-08,-3.4889565871754187e-08,-2.7849428475617329e-08,-1.8486374036606915e-08
0.09,6.6722414448875872e-08,4.7196409685396081e-09,-7.9053189181057366e-08,-1.1458287126373816e-07,-1.2088382906147127e-07,-1.1168591715419082e-07,-1.0885052321188627e-07
0.0925,5.046631286805744e-08,-2.2051846896983038e-08,-1.2414728652248191e-07,-1.7455430841150133e-07,-1.9311837571203165e-07,-1.8768806762789984e-07,-1.8587424989460813e-07
0.095,4.0225492081043175e-08,-3.8480314601112057e-08,-1.5421460798244073e-07,-2.1664794449093826e-07,-2.4693979150954738e-07,-2.5316608177143939e-07,-2.4930523241351462e-07
0.0975,2.989291225215656e-08,-4.8945863222017711e-08,-1.7198587489319302e-07,-2.4279710312907925e-07,-2.8241379837224188e-07,-3.0610163418751723e-07,-3.0135575568222315e-07
0.1,1.0670617638303115e-08,-6.1404735756311011e-08,-1.839477391231532e-07,-2.5884929156776411e-07,-3.0428539691083179e-07,-3.4631511960454671e-07,-3.4519751550973488e-07
0.1025,-2.5886028787026834e-08,-8.4881859601244219e-08,-1.9843744455423368e-07,-2.7273485444731049e-07,-3.2010073956867558e-07,-3.7613781032337381e-07,-3.8422041872173704e-07
0.105,-8.396190690381352e-08,-1.2568785026488212e-07,-2.2238329338695479e-07,-2.91292316542866e-07,-3.3685577645711318e-07,-3.9923974623324693e-07,-4.2077486161983767e-07
0.1075,-1.6013967312151509e-07,-1.8363650386036619e-07,-2.5780936730787693e-07,-3.1693980337870912e-07,-3.5743427172962367e-07,-4.1783342668589755e-07,-4.540206310011886e-07
0.11,-2.4220037452247472e-07,-2.4989597199800749e-07,-2.9949509175469575e-07,-3.4561858180654454e-07,-3.7844799587435345e-07,-4.2997271516291846e-07,-4.7810212676449076e-07
0.1125,-3.1192519292986487e-07,-3.0835867989696508e-07,-3.3512915676088109e-07,-3.6698400526255225e-07,-3.9050832889401738e-07,-4.2875753134715198e-07,-4.8258537051435983e-07
0.115,-3.5035694847969277e-07,-3.4023918173961903e-07,-3.4848904351592416e-07,-3.6715790060595617e-07,-3.8108824653288756e-07,-4.0423264289797469e-07,-4.5534381257464029e-07
0.1175,-3.4421334121627047e-07,-3.3083578335470883e-07,-3.2543071549449907e-07,-3.3393513475867927e-07,-3.3963334085780495e-07,-3.4816578815297901e-07,-3.8791365667698824e-07
0.12,-2.917095532052061e-07,-2.7611660525916612e-07,-2.6036828069657512e-07,-2.6236819972509595e-07,-2.6265376935180238e-07,-2.5916497649770454e-07,-2.808748668592744e-07
0.1225,-2.0447389944342457e-07,-1.8556898670564537e-07,-1.5984683273367499e-07,-1.5788706269623885e-07,-1.5614255723240028e-07,-1.4495171656052163e-07,-1.4570672932808073e-07
0.125,-1.0429252550492319e-07,-7.9681056207205543e-08,-4.1300350455774603e-08,-3.539759894413938e-08,-3.4198337333172943e-08,-2.0497447623140906e-08,-1.8381971736703875e-09
0.1275,-1.553230369140821e-08,1.7353787390847124e-08,7.2875167647890849e-08,8.554476465849598e-08,8.5668364181407756e-08,9.7244686926543924e-08,1.2998114282464678e-07
0.13,4.4811203140643592e-08,8.7864130501498661e-08,1.6489882313130029e-07,1.8900520204406245e-07,1.8995577702485559e-07,1.9681114286387346e-07,2.3623863070820214e-07
0.1325,7.2016390767744125e-08,1.260737199324747e-07,2.2712754960986494e-07,2.6739490944212635e-07,2.7284165505117431e-07,2.7520041701960723e-07,3.140074299324687e-07
0.135,7.187206810223581e-08,1.3662962639279585e-07,2.6112796738883513e-07,3.2048879318122741e-07,3.345222850398145e-07,3.3521428844399555e-07,3.6790976496788497e-07
0.1375,5.5669960918637548e-08,1.2971375038885656e-07,2.7358149245369669e-07,3.5192635942281378e-07,3.7759925412542148e-07,3.809586383893383e-07,4.0477879051592513e-07
0.14,3.4289098103273918e-08,1.1514997193429208e-07,2.7118755159388994e-07,3.6501443487630953e-07,4.0328454971589095e-07,4.1366319101698253e-07,4.2854335470617575e-07
0.1425,1.4192711047496381e-08,9.8424273320997316e-08,2.5743559974002789e-07,3.6044220511528957e-07,4.0980624831130767e-07,4.3025354656050042e-07,4.3807755498917327e-07
