Physical Time (s),etp_bot Monitor (kg-m/s^3): bot_cv1,etp_bot Monitor (kg-m/s^3): bot_cv2,etp_bot Monitor (kg-m/s^3): bot_cv3,etp_bot Monitor (kg-m/s^3): bot_cv4,etp_bot Monitor (kg-m/s^3): bot_cv5,etp_bot Monitor (kg-m/s^3): bot_cv6,etp_bot Monitor (kg-m/s^3): bot_cv7
0.0025,1.131159920756792e-10,1.0567411151969912e-10,9.8436910307499247e-11,9.7536414399856631e-11,9.7457243866698297e-11,9.7446815343749005e-11,9.7446499713551844e-11
0.005,9.6130294732941307e-09,1.1149249846271055e-08,1.193655004042025e-08,1.1934087726183027e-08,1.1932931007167817e-08,1.1932825909387942e-08,1.1932825242312493e-08
0.0075,2.3098907414686975e-07,3.0568875850097539e-07,3.643208279738214e-07,3.6618024029076596e-07,3.6618263326219395e-07,3.6618171355140901e-07,3.6618171457283905e-07
0.01,1.6508763190549948e-06,2.2081715114261342e-06,2.8760724113205413e-06,2.9266114053215251e-06,2.9273728256906394e-06,2.9273726188634769e-06,2.9273726395104518e-06
0.0125,5.6371030496972955e-06,7.1678324072460857e-06,9.9081462239799194e-06,1.0340567396181564e-05,1.0355803365062974e-05,1.035598540225279e-05,1.0355985514213019e-05
0.015,1.1651360801237781e-05,1.3818676499121907e-05,1.9661280412462195e-05,2.1410594304211705e-05,2.1540397384655652e-05,2.154369726904935e-05,2.1543697650569269e-05
0.0175,1.4787906395215188e-05,1.6023395996858252e-05,2.2845393584786733e-05,2.687133905240965e-05,2.7468792785503195e-05,2.7498861301860738e-05,2.7498865402520932e-05
0.02,9.6607890039977285e-06,9.221333777068581e-06,1.2373030037222501e-05,1.7774433380271939e-05,1.9396929667410114e-05,1.9551625105199743e-05,1.9551686988840414e-05
0.0225,-2.4744645945905906e-07,-9.0376077655269508e-07,-2.3054008097711971e-06,1.3137955929900207e-06,4.1054009850981755e-06,4.6401162315217282e-06,4.640804288595515e-06
0.025,-9.07247464517499e-07,-1.0048351924018276e-06,-2.7102029005345344e-06,-2.72184595565797e-06,1.2420791985110489e-07,1.3801649882571702e-06,1.3854844571319901e-06
0.0275,5.9374156563290852e-06,6.0298175949406465e-06,6.3788733369521394e-06,5.0010206332271622e-06,6.2268762766852831e-06,8.2399439997165769e-06,8.2683033645159159e-06
0.03,7.4948484739694239e-06,7.5736224668033605e-06,8.9829977440213305e-06,9.2597572911434603e-06,8.7576801167255103e-06,1.0903783333502989e-05,1.1010170818592796e-05
0.0325,3.8175355510459958e-06,3.8660362730121427e-06,4.9973805236477231e-06,7.0489145942921169e-06,6.5912418979110207e-06,7.9709729516335428e-06,8.2582252112897633e-06
0.035,8.9967277904297282e-07,9.2278522055735429e-07,1.4065057126280351e-06,3.52068080583677e-06,4.486984196393115e-06,4.8529027197486678e-06,5.4176461721571888e-06
0.0375,3.0935463992884832e-08,3.1049382081026819e-08,1.0094594981181505e-07,1.2136238858581285e-06,3.1339094508478799e-06,3.178550485058213e-06,3.9851659362839895e-06
0.04,3.1558277700328372e-08,4.9363093286249084e-08,4.1439955057102132e-08,2.9587473044906618e-07,1.8962412279234541e-06,2.4990563385576536e-06,3.3222502538940952e-06
0.0425,1.9660232452678264e-07,2.6693779049805623e-07,3.905571065693421e-07,3.6058880360073956e-07,1.0670302779413799e-06,2.4725042930170358e-06,3.0674939507270509e-06
0.045,3.4368391076807308e-07,4.4210093591043683e-07,7.1015725408085548e-07,7.6564392896299274e-07,8.6625865436006801e-07,2.6225570772255311e-06,2.9935298424186467e-06
0.0475,4.0334872678715275e-07,4.7973915777143461e-07,7.7269476579236332e-07,9.7657991434559525e-07,9.4640507332950983e-07,2.4142907078264036e-06,2.8276258348411128e-06
0.05,3.4148689967007956e-07,3.7260115546612164e-07,5.7264578625434059e-07,8.2835697058824983e-07,8.9666959407554184e-07,1.741624325821301e-06,2.428172381738838e-06
0.0525,1.9658501527608021e-07,1.9285114396701667e-07,2.6649646358524364e-07,4.6603628242744202e-07,6.2824745610695756e-07,9.4528642829148529e-07,1.8686645236258635e-06
0.055,5.479696290355163e-08,3.7157819202000496e-08,2.3618773087397354e-08,1.2136835486669067e-07,2.925427164922162e-07,3.837787719344963e-07,1.3342231334535097e-06
0.0575,-2.4040492844321357e-08,-4.1896236398046394e-08,-8.6577992372588849e-08,-7.1564958320547429e-08,4.4981129184954715e-08,1.3814543357233281e-07,9.6780566874526818e-07
0.06,-4.1243329926519204e-08,-5.4895223178791587e-08,-9.6313914011458573e-08,-1.1825135493870962e-07,-6.9639776861276006e-08,7.9604393996542838e-08,7.9005359335494129e-07
0.0625,-2.922515480780684e-08,-3.8632577193362594e-08,-6.7402949384279166e-08,-9.11313446878733e-08,-8.7601087949792883e-08,6.9185753178256892e-08,7.2025487036736072e-07
0.065,-6.9892020769171673e-09,-1.2746110818921556e-08,-3.0350679766497205e-08,-4.4139655936013271e-08,-5.4946339499545496e-08,5.725967532145714e-08,6.5723537581547253e-07
0.0675,2.8824692040411756e-08,2.6569318009971871e-08,1.9459164008291673e-08,1.2922485364988066e-08,5.9582499618008917e-09,6.103680031203604e-08,5.5420135880333396e-07
0.07,8.1982836165415424e-08,8.2955667838497702e-08,8.8284441273276383e-08,8.5683382833050309e-08,8.5003666761776729e-08,1.0151924230985004e-07,4.3432840458425964e-07
0.0725,1.4065458800388544e-07,1.434495340710364e-07,1.6117097789495553e-07,1.6402812835160402e-07,1.6519107819784054e-07,1.6783443656428031e-07,3.4460834175434264e-07
0.075,1.8445628766164613e-07,1.8612830168838743e-07,2.1040240821477519e-07,2.2146595068162352e-07,2.2222580105312285e-07,2.2523705339031607e-07,3.015093818941485e-07
0.0775,2.0035872565902947e-07,1.9702535599974512e-07,2.1733099310698143e-07,2.3524913933587479e-07,2.3756397266204601e-07,2.4300668990014213e-07,2.7961413713764971e-07
0.08,1.8932887247280675e-07,1.772601351435706e-07,1.8288815107088812e-07,2.0123309534432722e-07,2.0763370037728352e-07,2.1251282482955322e-07,2.4220353579180989e-07
0.0825,1.6141458716071791e-07,1.3782893583574757e-07,1.2168437133120454e-07,1.3221992086972398e-07,1.4210071564833605e-07,1.4527345072504525e-07,1.7286470298492243e-07
0.085,1.2774986191876604e-07,9.1018381908090292e-08,5.0446775442829546e-08,4.6887689843177372e-08,5.6089761241764446e-08,5.9784351000548392e-08,7.97863304581257e-08
0.0875,9.6337983622119326e-08,4.5940888203362345e-08,-1.8602166905037317e-08,-3.9071886448149513e-08,-3.6039720681342947e-08,-2.9423132462791751e-08,-1.9318384177376168e-08
0.09,7.1639473634592735e-08,8.3087883186517801e-09,-7.8106010830061697e-08,-1.1543108331842068e-07,-1.2290605931256956e-07,-1.1463366062725814e-07,-1.1102661202501143e-07
0.0925,5.5022857117765604e-08,-1.8853534048950863e-08,-1.2386364411488015e-07,-1.7625162776868942e-07,-1.9614010397708457e-07,-1.9205836124357443e-07,-1.8972991435175558e-07
0.095,4.4346352609626584e-08,-3.5754830461998891e-08,-1.5467334292412903e-07,-2.1930114794682004e-07,-2.5106746301563426e-07,-2.5900943943125827e-07,-2.5519345537532176e-07
0.0975,3.3628479568161086e-08,-4.6650479292955538e-08,-1.7309872323979763e-07,-2.4633698703975258e-07,-2.876044482018984e-07,-3.1336326423644578e-07,-3.0944444063977156e-07
0.1,1.4245882581686376e-08,-5.9310640190326422e-08,-1.8539332733624814e-07,-2.6292851365965051e-07,-3.1020768813683606e-07,-3.5467356278760182e-07,-3.5524238404476073e-07
0.1025,-2.2101812531597144e-08,-8.2600450973027606e-08,-1.9970002656175451e-07,-2.7675326868568951e-07,-3.2612714260579858e-07,-3.8494393988616216e-07,-3.9550397892882398e-07
0.105,-7.9578512453153102e-08,-1.227991088918937e-07,-2.2290291244408796e-07,-2.9455794761711123e-07,-3.4221066675276318e-07,-4.0761170465022042e-07,-4.322565311979778e-07
0.1075,-1.5484877550014444e-07,-1.7980055987162792e-07,-2.5711772534079573e-07,-3.1882612207407559e-07,-3.6136249551734708e-07,-4.2481555977966201e-07,-4.6454776217643696e-07
0.11,-2.3578647289111229e-07,-2.4487280871024122e-07,-2.9725691447667539e-07,-3.4563731314643766e-07,-3.8031899853129948e-07,-4.3468629076467119e-07,-4.8656651792646549e-07
0.1125,-3.0426616682632799e-07,-3.0202382403609816e-07,-3.3118653010656691e-07,-3.6486667664134071e-07,-3.8993378878388513e-07,-4.3059901378739439e-07,-4.881002335047691e-07
0.115,-3.4144116042428425e-07,-3.3261040724611644e-07,-3.429053623459786e-07,-3.6292570737570287e-07,-3.7801885126673486e-07,-4.030281259739367e-07,-4.5740778047909127e-07
0.1175,-3.3415376226917537e-07,-3.2208602560741122e-07,-3.1849976110427079e-07,-3.279182859024628e-07,-3.3438994191090851e-07,-3.44221784733899e-07,-3.8651175090158788e-07
0.12,-2.8077441703622604e-07,-2.6659463150506068e-07,-2.5261619506670523e-07,-2.5519924639508494e-07,-2.559127826447519e-07,-2.5323377747756563e-07,-2.7653511900175192e-07
0.1225,-1.9314821123946974e-07,-1.7584331057892871e-07,-1.5204194151237854e-07,-1.5048549566091885e-07,-1.4890033103927382e-07,-1.3814834929460817e-07,-1.3949997845703034e-07
0.125,-9.3262991486989377e-08,-7.0507889191221413e-08,-3.4379267092149061e-08,-2.8862913759170766e-08,-2.7644041282775341e-08,-1.412276389863886e-08,4.7754239040635174e-09
0.1275,-5.5534513274532503e-09,2.5175895968596273e-08,7.798442318550108e-08,9.0137859949141473e-08,9.0369696940768039e-08,1.0195134371584406e-07,1.3545083743973824e-07
0.13,5.3107248451370305e-08,9.3687920546221623e-08,1.6747763193899653e-07,1.908222637915423e-07,1.9188384401405862e-07,1.9889003541984088e-07,2.3924843514083735e-07
0.1325,7.8316419694132895e-08,1.2959519035394928e-07,2.2684595738239103e-07,2.6602324448190368e-07,2.7150332337621408e-07,2.741334183751628e-07,3.1374532061355782e-07
