Physical Time (s),etp_left Monitor (kg-m/s^3)
0.0025,4.1891051873033664e-10
0.005,8.9953109028050631e-08
0.0075,2.8202825355454149e-06
0.01,1.8859816433492413e-05
0.0125,5.4006315467487546e-05
0.015,8.5564799941718412e-05
0.0175,5.5897218182410734e-05
0.02,6.5578512057509932e-06
0.0225,6.0453067140813016e-06
0.025,2.966581694891242e-05
0.0275,3.833014365334224e-05
0.03,2.8589304238308314e-05
0.0325,1.3458436595037006e-05
0.035,3.5819338687485256e-06
0.0375,2.4635395107312141e-07
0.04,5.1175489397471594e-07
0.0425,1.7570852914450682e-06
0.045,2.5112288664319793e-06
0.0475,2.3192862214891e-06
0.05,1.4693072631504706e-06
0.0525,5.5059885160475361e-07
0.055,-7.5966393369320337e-09
0.0575,-1.597229934142384e-07
0.06,-1.1242514875968521e-07
0.0625,-3.9752561949233522e-08
0.065,3.8174327838950218e-08
0.0675,1.6173360759855548e-07
0.07,3.1398359326100322e-07
0.0725,4.1682428281859039e-07
0.075,4.0635153797856546e-07
0.0775,2.8721422908725851e-07
0.08,1.2148808529944367e-07
0.0825,-2.0350373626914452e-08
0.085,-9.7817467803169526e-08
0.0875,-1.0614841963162163e-07
0.09,-6.2205684303874142e-08
0.0925,7.4250530986065554e-09
0.095,6.9737409247420401e-08
0.0975,8.8641186751837263e-08
0.1,3.5703223213318379e-08
0.1025,-9.5357643988218438e-08
0.105,-2.8098813020409854e-07
0.1075,-4.736277401175642e-07
0.11,-6.1983470299210224e-07
0.1125,-6.833324100833036e-07
0.115,-6.5530855454278105e-07
0.1175,-5.5177896241331214e-07
0.12,-4.0347454766609694e-07
0.1225,-2.441202113673473e-07
0.125,-1.0128272064569692e-07
0.1275,7.0594502907668183e-09
0.13,7.4379934235794445e-08
0.1325,1.0289116457534541e-07
0.135,9.9403611619669399e-08
0.1375,7.3745237152046321e-08
0.14,3.7704911528570986e-08
0.1425,3.3983076333504256e-09
0.145,-1.9762330112249314e-08
0.1475,-2.7750013540137023e-08
0.15,-2.1943697099244257e-08
0.1525,-6.8089810527101379e-09
0.155,1.3247694033888864e-08
0.1575,3.6201362363082636e-08
0.16,6.2654702750990084e-08
0.1625,9.4365587769426912e-08
0.165,1.3196166836978961e-07
0.1675,1.7329159176044123e-07
0.17,2.132706035331611e-07
0.1725,2.4545759977903246e-07
0.175,2.6445091104336977e-07
0.1775,2.6790515684183166e-07
0.18,2.572244316103883e-07
0.1825,2.367539338136036e-07
0.185,2.1207005160795598e-07
0.1875,1.8820114059576032e-07
0.19,1.6846811951431913e-07
0.1925,1.5410756298697422e-07
0.195,1.4456653185049426e-07
0.1975,1.3806553235597021e-07
0.2,1.3221344847824312e-07
0.2025,1.2451626232402705e-07
0.205,1.1279360525469433e-07
0.2075,9.5588088043574006e-08
0.21,7.2536768944446701e-08
0.2125,4.4590204734406235e-08
0.215,1.3976938141272384e-08
0.2175,-1.6072981464869937e-08
0.22,-4.187137296357869e-08
0.2225,-5.9923009111144718e-08
0.225,-6.7571028312108439e-08
0.2275,-6.3525066118411192e-08
0.23,-4.8137463739924025e-08
0.2325,-2.3342565739325035e-08
0.235,7.6770161216900141e-09
0.2375,4.1046102082201247e-08
0.24,7.3990666767575483e-08
0.2425,1.0170312332488032e-07
0.245,1.2263892779259085e-07
0.2475,1.3576614720955982e-07
0.25,1.4157837932968415e-07
0.2525,1.4175326840985564e-07
0.255,1.3841576970141993e-07
0.2575,1.3364845344348965e-07
0.26,1.2957393316036151e-07
0.2625,1.2820905513057955e-07
0.265,1.3104683073144216e-07
0.2675,1.3872322249679068e-07
0.27,1.5100424474696723e-07
0.2725,1.6625606077066666e-07
0.275,1.8291529820640011e-07
0.2775,1.9908722980227115e-07
0.28,2.1364170901888037e-07
0.2825,2.2448546453180485e-07
0.285,2.3040591959323438e-07
0.2875,2.3014128542403658e-07
0.29,2.236460615812483e-07
0.2925,2.1192339116391906e-07
0.295,1.9581425203809962e-07
0.2975,1.760649360535172e-07
0.3,1.5310931050560909e-07
0.3025,1.2905196217132999e-07
0.305,1.05824007783408e-07
0.3075,8.4495265595729837e-08
0.31,6.6661653722292473e-08
0.3125,5.324875243035194e-08
0.315,4.4276901125885353e-08
0.3175,3.9937318220129984e-08
0.32,4.0053232816099843e-08
0.3225,4.4374413540877772e-08
0.325,5.2684464824648354e-08
0.3275,6.4532274740378701e-08
0.33,7.9314707773442607e-08
0.3325,9.6452246797857379e-08
0.335,1.1639818680040047e-07
0.3375,1.386343837355504e-07
0.34,1.6181620409433834e-07
0.3425,1.857243082552351e-07
0.345,2.0977835169593208e-07
0.3475,2.3274214921550315e-07
0.35,2.5612333606672822e-07
0.3525,2.7963971620484095e-07
0.355,3.0293145359122964e-07
0.3575,3.2562571258497736e-07
0.36,3.4735721532545755e-07
0.3625,3.677199046784469e-07
0.365,3.8617912749630539e-07
0.3675,4.0205831137784118e-07
0.37,4.1463415354239207e-07
0.3725,4.2359010565442867e-07
0.375,4.2786709676457295e-07
0.3775,4.2725290305170333e-07
0.38,4.2150227574092863e-07
0.3825,4.1043791021607753e-07
0.385,3.9386449696152481e-07
0.3875,3.7164531160558611e-07
0.39,3.4381963470294498e-07
0.3925,3.1068981959677501e-07
0.395,2.7281434975945124e-07
0.3975,2.3100389795507721e-07
0.4,1.8632717464442277e-07
0.4025,1.4011106903298753e-07
0.405,9.2926501640324468e-08
0.4075,4.6613595067689966e-08
0.41,3.1700041433038754e-09
0.4125,-3.6111853874543183e-08
0.415,-6.8495032064048836e-08
0.4175,-9.3558981875875208e-08
0.42,-1.1094979435643042e-07
0.4225,-1.199082302160176e-07
0.425,-1.2111706960304238e-07
0.4275,-1.1526897855160068e-07
0.43,-1.0334842636527575e-07
0.4325,-8.6083490803937494e-08
0.435,-6.3830976747937745e-08
0.4375,-3.8454573711262733e-08
0.44,-1.0844127442613518e-08
0.4425,1.7555029420647494e-08
0.445,4.5126107901401273e-08
0.4475,7.0040742752916419e-08
0.45,9.112059076003109e-08
0.4525,1.074055818299436e-07
0.455,1.1803600468854824e-07
0.4575,1.2230995083295104e-07
0.46,1.2021599355801641e-07
0.4625,1.1243364463461996e-07
0.465,9.9258736816849137e-08
0.4675,8.1418762619805222e-08
0.47,5.9719045862698317e-08
0.4725,3.5131319810462887e-08
0.475,8.8833477432759862e-09
0.4775,-1.8020006934604276e-08
0.48,-4.4093382246895035e-08
0.4825,-6.6712270026034533e-08
0.485,-8.4204644752184194e-08
0.4875,-9.5447838586942498e-08
0.49,-9.9878381101217534e-08
0.4925,-9.715130251862274e-08
0.495,-8.7304290650491093e-08
0.4975,-7.1194809252202279e-08
0.5,-4.9512386626167277e-08
0.5025,-2.4004070030485629e-08
0.505,4.2240343580627483e-09
0.5075,3.3381173156329107e-08
0.51,6.1536608660994798e-08
0.5125,8.6839692847251293e-08
0.515,1.0810173317058015e-07
0.5175,1.2397085678949688e-07
0.52,1.3343095330317044e-07
0.5225,1.3636643544336495e-07
0.525,1.3316774693055566e-07
0.5275,1.2471117776907936e-07
0.53,1.1228229613293911e-07
0.5325,9.7651232325366928e-08
0.535,8.2637165461662209e-08
0.5375,6.9347328559086377e-08
0.54,5.8600320780991368e-08
0.5425,5.1740678473338763e-08
0.545,4.9775606459415327e-08
0.5475,5.3486191578121054e-08
0.55,6.3456273965231042e-08
0.5525,7.9443039862318465e-08
0.555,1.0070355841492273e-07
0.5575,1.2642406730698748e-07
0.56,1.5552495819810374e-07
0.5625,1.8667158215179289e-07
0.565,2.184088149258114e-07
0.5675,2.4933343236694752e-07
0.57,2.7817450342190148e-07
0.5725,3.0381837624657745e-07
0.575,3.253015935332814e-07
0.5775,3.4182079651501287e-07
0.58,3.5278157929740081e-07
0.5825,3.5785682925233047e-07
0.585,3.570250684560685e-07
0.5875,3.5057206317067916e-07
0.59,3.3905545113254534e-07
0.5925,3.2323034746845009e-07
0.595,3.0397579103990312e-07
0.5975,2.8225142658613961e-07
0.6,2.5908609141737912e-07
0.6025,2.3555481719325381e-07
0.605,2.1269979409346875e-07
0.6075,1.9148478580786324e-07
0.61,1.7270637688060258e-07
0.6125,1.5694575195729412e-07
0.615,1.445444582531626e-07
0.6175,1.3560211098275685e-07
0.62,1.2999819622655367e-07
0.6225,1.2742741924016288e-07
0.625,1.2744506615271198e-07
0.6275,1.2951443512378909e-07
0.63,1.330548559942302e-07
0.6325,1.3749065585808338e-07
0.635,1.42288248742724e-07
0.6375,1.4699398821651497e-07
0.64,1.5125025909659089e-07
0.6425,1.5480903995389547e-07
0.645,1.575308290022183e-07
0.6475,1.5937676647842365e-07
0.65,1.6039849247582774e-07
0.6525,1.6072784064915756e-07
0.655,1.6056018447749098e-07
0.6575,1.6013160881084503e-07
0.66,1.596937192164011e-07
0.6625,1.5949196324795045e-07
0.665,1.5974986128906218e-07
0.6675,1.6065617820609367e-07
0.67,1.6235247522253737e-07
0.6725,1.649226137139655e-07
0.675,1.6838318339532069e-07
0.6775,1.7267722698638639e-07
0.68,1.7767395561751439e-07
0.6825,1.8317793247284552e-07
0.685,1.8894593341742519e-07
0.6875,1.9471040890232379e-07
0.69,2.0020704095722704e-07
0.6925,2.0519282295135114e-07
0.695,2.0946063890524747e-07
0.6975,2.1284778392803702e-07
0.7,2.1524003473491636e-07
0.7025,2.1657216708481617e-07
0.705,2.1682735409458454e-07
0.7075,2.1603510168707674e-07
0.71,2.1426687839795506e-07
0.7125,2.1162949792934689e-07
0.715,2.0825442424149617e-07
0.7175,2.0428723969082782e-07
0.72,1.9987315182749099e-07
0.7225,1.9514292256827959e-07
0.725,1.9020011835797709e-07
0.7275,1.8511830273993292e-07
0.73,1.7994038919907547e-07
0.7325,1.7468499709709591e-07
0.735,1.6930322477479719e-07
0.7375,1.6364304496778314e-07
0.74,1.575380321814627e-07
0.7425,1.5084339798996328e-07
0.745,1.434325920525642e-07
0.7475,1.3520908190199589e-07
0.75,1.2612389886451912e-07
0.7525,1.1617757580090998e-07
0.755,1.0541340202184349e-07
0.7575,9.3916247289021923e-08
0.76,8.1824259946726229e-08
0.7625,6.9343021873049628e-08
0.765,5.6753277811459407e-08
0.7675,4.4389263953787748e-08
0.77,3.2607582477855863e-08
0.7725,2.1754883975699695e-08
0.775,1.2144203455615283e-08
0.7775,4.0423266497247629e-09
0.78,-2.337436288698332e-09
0.7825,-6.8389563592418683e-09
0.785,-9.3655427999955257e-09
0.7875,-9.8806781120110637e-09
0.79,-8.4077809025842375e-09
0.7925,-5.0306393012039147e-09
0.795,1.0255704540859463e-10
0.7975,6.7810194284582863e-09
0.8,1.4728744415964537e-08
0.8025,2.3610494024555481e-08
0.805,3.3049484168903752e-08
0.8075,4.2649893443511047e-08
0.81,5.2021676775088249e-08
