Physical Time (s),etp_top Monitor (kg-m/s^3): top_cv1,etp_top Monitor (kg-m/s^3): top_cv2,etp_top Monitor (kg-m/s^3): top_cv3,etp_top Monitor (kg-m/s^3): top_cv4,etp_top Monitor (kg-m/s^3): top_cv5,etp_top Monitor (kg-m/s^3): top_cv6,etp_top Monitor (kg-m/s^3): top_cv7
0.0025,1.1850800960559017e-10,1.1105479795978956e-10,1.0362948033427717e-10,1.0253017254300486e-10,1.0242302882551539e-10,1.0240671912349376e-10,1.0240574631445326e-10
0.005,1.0266786416218284e-08,1.1810839634364442e-08,1.2616351451299738e-08,1.2614209229517727e-08,1.261285910701217e-08,1.2612720709253809e-08,1.2612716049418867e-08
0.0075,2.3769340207487508e-07,3.1257186003074875e-07,3.7181760367919802e-07,3.7374878798228152e-07,3.7375167956702156e-07,3.7375062246280234e-07,3.7375060458516825e-07
0.01,1.6736117177005197e-06,2.231691435477401e-06,2.9015146989043663e-06,2.9525686068784826e-06,2.9533491077405174e-06,2.953348469191989e-06,2.9533484100817724e-06
0.0125,5.6870104280344946e-06,7.2229227104187624e-06,9.9628875990733526e-06,1.0395382305902675e-05,1.0410682774701351e-05,1.0410864565247178e-05,1.0410864384463884e-05
0.015,1.1676245046439981e-05,1.3860902677075665e-05,1.970292714854981e-05,2.1446811146168697e-05,2.1576347632180618e-05,2.1579660109405577e-05,2.1579659776550825e-05
0.0175,1.4800103429075011e-05,1.6059849297380809e-05,2.2889210585088813e-05,2.690049204849476e-05,2.7495919656700725e-05,2.7526067411587197e-05,2.7526072293822815e-05
0.02,9.6224318804871075e-06,9.1945673803617456e-06,1.2360680206030865e-05,1.7748981331499799e-05,1.9363036868109535e-05,1.951774866869761e-05,1.9517813066182777e-05
0.0225,-2.2932838180845351e-07,-8.8402583289169417e-07,-2.2699952504764232e-06,1.352631224035631e-06,4.1358142706040054e-06,4.668955040045246e-06,4.6696371451632458e-06
0.025,-1.0194674770408628e-06,-1.1064707944862355e-06,-2.8006702899133499e-06,-2.8000720099405501e-06,4.5377124247360352e-08,1.2985587346805975e-06,1.3038404056616086e-06
0.0275,5.891475911045311e-06,5.9895209218491818e-06,6.347633702222987e-06,4.9773141009018229e-06,6.2116262988796796e-06,8.2246723066248625e-06,8.2529426432008739e-06
