Physical Time (s),ev_left Monitor (kg-m/s^3)
0.0025,-1.934475402101106e-13
0.005,-7.528055179356297e-11
0.0075,-3.7920307493511769e-09
0.01,-3.780652400259242e-08
0.0125,-1.5512427538960749e-07
0.015,-3.564678586903395e-07
0.0175,-4.5087069759410796e-07
0.02,-2.9492016062734547e-07
0.0225,-9.2136148581967995e-08
0.025,-3.0452504662770951e-08
0.0275,-5.1929370459973665e-08
0.03,-5.4423987987390956e-08
0.0325,-2.8059562078408682e-08
0.035,-7.0373337507131431e-09
0.0375,-7.4878573904949565e-10
0.04,-1.6501662639403234e-09
0.0425,-4.9151926219680293e-09
0.045,-8.5095873513114566e-09
0.0475,-1.0632675387752146e-08
0.05,-1.0241247025631493e-08
0.0525,-7.8162132909010567e-09
0.055,-4.8310476121120118e-09
0.0575,-2.5466749602548304e-09
0.06,-1.356693925401615e-09
0.0625,-1.0419666935569207e-09
0.065,-1.3367394418641347e-09
0.0675,-2.1274707188657639e-09
0.07,-3.2594352986363541e-09
0.0725,-4.3898685729964459e-09
0.075,-5.1171380360253698e-09
0.0775,-5.2185003668204421e-09
0.08,-4.7537693834054897e-09
0.0825,-3.9793670966058496e-09
0.085,-3.1814420994683958e-09
0.0875,-2.5544700866912146e-09
0.09,-2.1747672683795316e-09
0.0925,-2.0410928833349681e-09
0.095,-2.1283618624341935e-09
0.0975,-2.4203516805160708e-09
0.1,-2.9167598896589773e-09
0.1025,-3.6258023092032677e-09
0.105,-4.5521253428496972e-09
0.1075,-5.6836254761712803e-09
0.11,-6.9783111671764588e-09
0.1125,-8.3501464235237782e-09
0.115,-9.6611831566452192e-09
0.1175,-1.0734419267727745e-08
0.12,-1.1390126078770852e-08
0.1225,-1.149468502174588e-08
0.125,-1.1007983158016223e-08
0.1275,-1.0005712209293647e-08
0.13,-8.6659725658408661e-09
0.1325,-7.2186192566300944e-09
0.135,-5.8781068084715064e-09
0.1375,-4.7930746768926402e-09
0.14,-4.0326880817379038e-09
0.1425,-3.6055745260162069e-09
0.145,-3.4908474635444177e-09
0.1475,-3.6606122389688647e-09
0.15,-4.0853432673423603e-09
0.1525,-4.7257093846818563e-09
0.155,-5.5228993098607161e-09
0.1575,-6.3975358000157592e-09
0.16,-7.260355296366936e-09
0.1625,-8.0304532932872444e-09
0.165,-8.6524331303455321e-09
0.1675,-9.1051383214936767e-09
0.17,-9.3992936582946583e-09
0.1725,-9.5674466688318534e-09
0.175,-9.6515890513435976e-09
0.1775,-9.6928874050932885e-09
0.18,-9.7253723894216692e-09
0.1825,-9.7733711298863433e-09
0.185,-9.8516388483257924e-09
0.1875,-9.9673810846657406e-09
0.19,-1.0122618130983854e-08
0.1925,-1.0316300289004855e-08
0.195,-1.0545724724802143e-08
0.1975,-1.0806688517960485e-08
0.2,-1.1092972419343797e-08
0.2025,-1.1395324935863173e-08
0.205,-1.170062591509255e-08
0.2075,-1.1991724643825674e-08
0.21,-1.2248666731156172e-08
0.2125,-1.2451412699983054e-08
0.215,-1.2583362007716965e-08
0.2175,-1.2634849961053508e-08
0.22,-1.2605688407696688e-08
0.2225,-1.2506051423565292e-08
0.225,-1.2355552513093728e-08
0.2275,-1.2180356200880353e-08
0.23,-1.2009732513942432e-08
0.2325,-1.1872420367347906e-08
0.235,-1.1793385678384696e-08
0.2375,-1.1791170276016561e-08
0.24,-1.1880951589616491e-08
0.2425,-1.2061893167875802e-08
0.245,-1.2324288546343481e-08
0.2475,-1.265009448084269e-08
0.25,-1.301704866118596e-08
0.2525,-1.3402191712969973e-08
0.255,-1.3782327430855932e-08
0.2575,-1.4136951291488138e-08
0.26,-1.4450132116247479e-08
0.2625,-1.4714558189785957e-08
0.265,-1.4931251417985978e-08
0.2675,-1.510830947279613e-08
0.27,-1.5257464226518502e-08
0.2725,-1.5389619979671665e-08
0.275,-1.5515896538758378e-08
0.2775,-1.5647714849697836e-08
0.28,-1.5798691985261788e-08
0.2825,-1.5978137728940097e-08
0.285,-1.6190953251100876e-08
0.2875,-1.6433853489888628e-08
0.29,-1.6698738182788653e-08
0.2925,-1.6976031394890362e-08
0.295,-1.7255090424047583e-08
0.2975,-1.7523316463471116e-08
0.3,-1.7765680616580117e-08
0.3025,-1.7972346416052881e-08
0.305,-1.8141292407553056e-08
0.3075,-1.8274689993106952e-08
0.31,-1.8379507272178376e-08
0.3125,-1.8464381396312176e-08
0.315,-1.853516265588808e-08
0.3175,-1.8595876099568508e-08
0.32,-1.8649532893253498e-08
0.3225,-1.8699760225287648e-08
0.325,-1.8751181462687177e-08
0.3275,-1.8808105355186001e-08
0.33,-1.8873072630904344e-08
0.3325,-1.8946547186119491e-08
0.335,-1.9029324905185857e-08
0.3375,-1.9121642045760087e-08
0.34,-1.9221400478725849e-08
0.3425,-1.9326660793458308e-08
0.345,-1.9436461613803316e-08
0.3475,-1.9550073698197823e-08
0.35,-1.9672291449065796e-08
0.3525,-1.9809820047386046e-08
0.355,-1.9969160347925003e-08
0.3575,-2.015559427887921e-08
0.36,-2.0372940479982837e-08
0.3625,-2.0623400507838267e-08
0.365,-2.0907076977416022e-08
0.3675,-2.1221430972226558e-08
0.37,-2.1561297119392324e-08
0.3725,-2.1920093732646429e-08
0.375,-2.2289977352308977e-08
0.3775,-2.2663376332729878e-08
0.38,-2.3033037721456882e-08
0.3825,-2.3392286836860926e-08
0.385,-2.3734657256250965e-08
0.3875,-2.4053811632108611e-08
0.39,-2.4343907004572379e-08
0.3925,-2.4600092121641539e-08
0.395,-2.4818685991020258e-08
0.3975,-2.4997050935582425e-08
0.4,-2.5133558156748347e-08
0.4025,-2.5227789392761136e-08
0.405,-2.5279048447762679e-08
0.4075,-2.528890148910831e-08
0.41,-2.526202042765209e-08
0.4125,-2.5204721404503396e-08
0.415,-2.5127343859190991e-08
0.4175,-2.5040875822265878e-08
0.42,-2.4954931796442967e-08
0.4225,-2.487733536252757e-08
0.425,-2.481340673186499e-08
0.4275,-2.4768407732086905e-08
0.43,-2.474478965041459e-08
0.4325,-2.4748058393231991e-08
0.435,-2.4789111152790728e-08
0.4375,-2.4872430727324366e-08
0.44,-2.5000954677327116e-08
0.4425,-2.5174900626563754e-08
0.445,-2.5390978322123478e-08
0.4475,-2.5642572666424803e-08
0.45,-2.5921501443625643e-08
