Physical Time (s),ev_top Monitor (kg-m/s^3): top_cv1,ev_top Monitor (kg-m/s^3): top_cv2,ev_top Monitor (kg-m/s^3): top_cv3,ev_top Monitor (kg-m/s^3): top_cv4,ev_top Monitor (kg-m/s^3): top_cv5,ev_top Monitor (kg-m/s^3): top_cv6,ev_top Monitor (kg-m/s^3): top_cv7
0.0025,2.4395139846101375e-17,2.3989994397465132e-17,2.3817690331782831e-17,2.3817162982467903e-17,2.3817162549087271e-17,2.3817162548406536e-17,2.3817162548406475e-17
0.005,4.3242237082831602e-14,3.7364111110138124e-14,3.5181848118178788e-14,3.5177449766746748e-14,3.5177448324335649e-14,3.5177448323680699e-14,3.5177448323680692e-14
0.0075,5.3738928083184568e-12,3.7292807705721059e-12,2.8277887322771114e-12,2.8231981496499145e-12,2.8231960152975972e-12,2.8231960147226493e-12,2.8231960147226489e-12
0.01,1.1266484449114925e-10,7.4762312697966159e-11,4.2205909279954082e-11,4.1702840813752247e-11,4.1702204910558701e-11,4.1702204673323721e-11,4.1702204673323676e-11
0.0125,8.2451531683543352e-10,5.9755764114664075e-10,3.0213155757656914e-10,2.9021997642055542e-10,2.9017364053194385e-10,2.9017360264234627e-10,2.9017360264234229e-10
0.015,2.9593503817529572e-09,2.380653599832263e-09,1.2528158961741846e-09,1.1514104944738293e-09,1.1502836999727378e-09,1.150281307626466e-09,1.1502813076260507e-09
0.0175,5.7073688894413931e-09,5.0691856905132362e-09,2.9869216143483973e-09,2.581766131216447e-09,2.57005671722642e-09,2.5699902077365675e-09,2.5699902076956903e-09
0.02,5.3606509505806357e-09,5.1174955964647678e-09,3.3234393884955837e-09,2.4851254867921088e-09,2.4244829744591426e-09,2.4236101229249824e-09,2.4236101213824233e-09
0.0225,1.7610640266902137e-09,1.7391713674509553e-09,1.1175441482053187e-09,2.3964688176753815e-10,6.9997002990746717e-11,6.3798815235521452e-11,6.3798752925283799e-11
0.025,7.4310893902934412e-11,7.4248469421679193e-11,1.6403177571059046e-11,-4.0593852041960977e-10,-6.6464245133966269e-10,-6.8976618637381853e-10,-6.8976785235343609e-10
0.0275,-1.5911324846059735e-10,-1.5886511698460013e-10,-1.579406621349569e-10,-2.292076634913815e-10,-4.3499647683850162e-10,-4.949571100477015e-10,-4.9498254393882731e-10
0.03,-4.500851841531511e-10,-4.4933660390850038e-10,-4.2886201983771281e-10,-4.2763566612029455e-10,-5.0230860808005456e-10,-5.8801099612038482e-10,-5.8823714568886891e-10
0.0325,-2.6916365943017725e-10,-2.6840854686555355e-10,-2.3149749338634592e-10,-1.9708510986144468e-10,-2.0591679192217772e-10,-2.8083711367388555e-10,-2.8205910888453864e-10
0.035,-5.2474250809770036e-11,-5.2146601983306428e-11,-2.9012055905765736e-11,3.9158258644266913e-11,4.8089802909323358e-11,4.2962241028484017e-12,1.6423855269108842e-13
0.0375,-2.574829584330477e-12,-2.5671792863190114e-12,3.0570736817071053e-12,5.4407780908023307e-11,8.9814949101721972e-11,7.0292155010745652e-11,6.143189185572248e-11
0.04,-9.9293178737589144e-14,-3.169676847480847e-13,-1.0122135338381851e-13,1.7228910024058657e-11,6.3009870097772826e-11,6.3964899326177344e-11,5.1852306138513947e-11
0.0425,1.4754400124225237e-12,-5.028012419414798e-13,-2.1777642050635633e-12,-1.2814134954349028e-14,2.7060166058106272e-11,4.6521938528875844e-11,3.5648281151756246e-11
0.045,7.0868776943817445e-12,2.5385128145238273e-12,-5.0312690637580364e-12,-5.3695562453911878e-12,2.1904633865632445e-12,2.8727395409349157e-11,2.1265219563064316e-11
0.0475,1.5147360090522764e-11,9.819356581351961e-12,-3.2512688060185733e-12,-5.6922941153732887e-12,-4.9077854004297052e-12,1.816526646631395e-11,1.3366741904524178e-11
0.05,1.9517213191408509e-11,1.5461869093705431e-11,2.4071230406840331e-12,-2.6419356945834972e-12,-2.9180909435203355e-12,1.2458044229455637e-11,1.109681113716445e-11
0.0525,1.6467091580350622e-11,1.4152500961555986e-11,5.2593820316449205e-12,-2.99491106608697e-13,-1.4584360701775582e-12,5.9074803165049657e-12,9.1487329155529544e-12
0.055,9.5241815071073636e-12,8.3899885805889446e-12,3.8746420080974218e-12,-6.6931763891621931e-14,-1.946432837929662e-12,4.0430873558191639e-14,6.1811891620328426e-12
0.0575,3.9862922884214837e-12,3.422907363539672e-12,1.5578252289109137e-12,-3.5690634723041428e-13,-2.0813558706405618e-12,-2.2965345203660897e-12,3.9885057343171975e-12
0.06,1.3971804946327394e-12,1.0562973911369635e-12,3.1666740070362921e-13,-3.2191911873662259e-13,-1.3376705144791895e-12,-2.1152059988257484e-12,3.0234263027488691e-12
0.0625,6.3232314357096959e-13,3.4846853431979245e-13,-3.838108497130443e-14,-1.8361542283564084e-13,-5.6876283297815671e-13,-1.3876034127301257e-12,2.5524526250436725e-12
0.065,6.5662269372609085e-13,3.3266711915380701e-13,-2.2684272003822882e-14,-5.0968269186105893e-14,-1.3480537663497636e-13,-7.5855161356362689e-13,2.2333439795098244e-12
0.0675,1.2404646792069184e-12,7.8310687521656147e-13,2.573898903312578e-13,2.4165708272851313e-13,2.3449809496957903e-13,-1.03042561937115e-13,2.0645628722002003e-12
0.07,2.4823624271430785e-12,1.7824787245543843e-12,8.4640989677150192e-13,8.1275998448818354e-13,8.1272847685075335e-13,6.9217724834355832e-13,2.024611804430148e-12
0.0725,4.1747128628066858e-12,3.1277862783920704e-12,1.5078841746959483e-12,1.4118586752648467e-12,1.4120478837819766e-12,1.3883476552540999e-12,1.9864959492188193e-12
0.075,5.5730127973694654e-12,4.1196240233270786e-12,1.637312592899677e-12,1.4010949998004315e-12,1.400556677484153e-12,1.4008037849295151e-12,1.5604509168989566e-12
