Physical Time (s),lift Monitor (N)
0.0025,-5.4562770920958225e-05
0.005,-2.7890228732275815e-05
0.0075,-2.6510031745623303e-06
0.01,-1.4246279060214568e-05
0.0125,-1.7970792453753309e-05
0.015,-2.5701448405115166e-06
0.0175,-2.2111578452615904e-07
0.02,-3.9804150896179885e-06
0.0225,-3.2495856666333982e-06
0.025,5.7938168598913063e-07
0.0275,2.099769441163553e-06
0.03,2.5234699315549518e-06
0.0325,2.5872841694814517e-06
0.035,1.695962669681108e-06
0.0375,3.463204494193346e-07
0.04,-3.7960005919356782e-07
0.0425,-1.4213622147504729e-08
0.045,1.1330409614500877e-06
0.0475,2.4628152490991788e-06
0.05,3.5150041314128681e-06
0.0525,4.1289388921230667e-06
0.055,4.3254427860488798e-06
0.0575,4.1977649208423502e-06
0.06,3.8731075048485825e-06
0.0625,3.5236800235285904e-06
0.065,3.3105367594217393e-06
0.0675,3.3242942747373899e-06
0.07,3.5236501782848569e-06
0.0725,3.7946412676015975e-06
0.075,4.022249927068141e-06
0.0775,4.1490597657268808e-06
0.08,4.1719530749504318e-06
0.0825,4.127735335980014e-06
0.085,4.05102881536748e-06
0.0875,3.9698513752768792e-06
0.09,3.8976012856522773e-06
0.0925,3.8329566951211796e-06
0.095,3.7738318894082328e-06
0.0975,3.7053812523201237e-06
0.1,3.6244173883888961e-06
0.1025,3.528136035792025e-06
0.105,3.4221149372740568e-06
0.1075,3.3096580251149504e-06
0.11,3.203468386875654e-06
0.1125,3.1051317249161233e-06
0.115,3.0101295886748226e-06
0.1175,2.9133863911138643e-06
0.12,2.8067563338446594e-06
0.1225,2.6894842616640626e-06
0.125,2.5616925816007107e-06
0.1275,2.4222320720913065e-06
0.13,2.2819135622733888e-06
0.1325,2.1360857614786118e-06
0.135,1.9853138901773035e-06
0.1375,1.8265327072833443e-06
0.14,1.6649445012904272e-06
0.1425,1.5038316988733502e-06
0.145,1.3513409367785354e-06
0.1475,1.2104071262469797e-06
0.15,1.0817549175969852e-06
0.1525,9.7039217241489372e-07
0.155,8.7558856377920408e-07
0.1575,7.9157812014402483e-07
0.16,7.0773028449076853e-07
0.1625,6.1274271269677058e-07
0.165,4.9614074643443007e-07
0.1675,3.5333982818292791e-07
0.17,1.8678080614514724e-07
0.1725,4.4300049876547187e-09
0.175,-1.8072349116818898e-07
0.1775,-3.5226459457471704e-07
0.18,-4.9604322793737599e-07
0.1825,-6.0234959668778023e-07
0.185,-6.6935944629811744e-07
0.1875,-7.0446457466676847e-07
0.19,-7.2085475937740194e-07
0.1925,-7.3579760543302347e-07
0.195,-7.6650669715508563e-07
0.1975,-8.2520882830414158e-07
0.2,-9.1697441507850927e-07
0.2025,-1.0377960389750165e-06
0.205,-1.1771922744677943e-06
0.2075,-1.3187498237658975e-06
0.21,-1.4448203491743991e-06
0.2125,-1.5422761358281496e-06
0.215,-1.6027855141675392e-06
0.2175,-1.6258846548612334e-06
0.22,-1.6188090275652868e-06
0.2225,-1.5939817467123403e-06
0.225,-1.566365137435906e-06
0.2275,-1.5496359048503438e-06
0.23,-1.5533538744686349e-06
0.2325,-1.5808897035924682e-06
0.235,-1.6285057682803606e-06
0.2375,-1.6876049431239027e-06
0.24,-1.7523339717294201e-06
0.2425,-1.7874168680994643e-06
0.245,-1.8053642766373509e-06
0.2475,-1.7932776603901757e-06
0.25,-1.7592066830338968e-06
0.2525,-1.7078028668513397e-06
0.255,-1.6426436947560346e-06
0.2575,-1.5619241297855193e-06
0.26,-1.4904120520031546e-06
0.2625,-1.430214384195637e-06
0.265,-1.3935429907463315e-06
0.2675,-1.3565968565927993e-06
0.27,-1.3230125591692069e-06
0.2725,-1.282801642457627e-06
0.275,-1.2445680509119092e-06
0.2775,-1.1968785739527008e-06
0.28,-1.132744212516669e-06
0.2825,-1.0508766868095129e-06
0.285,-9.5329396067275671e-07
0.2875,-8.4690446935879437e-07
0.29,-7.4285759285111863e-07
0.2925,-6.4385047706656633e-07
0.295,-5.4885685067670766e-07
0.2975,-4.5062547033662851e-07
0.3,-3.4674857773018552e-07
0.3025,-2.4124077181911273e-07
0.305,-1.4229147413780854e-07
0.3075,-4.6612779131942098e-08
0.31,5.9484235753332161e-08
0.3125,1.7589740586473688e-07
0.315,2.9433433286958341e-07
0.3175,4.1270884402321102e-07
0.32,5.2362833551874662e-07
0.3225,6.3861996690386517e-07
0.325,7.5272688311234051e-07
0.3275,8.634924747161493e-07
0.33,9.7010211256489228e-07
0.3325,1.0740391354952398e-06
0.335,1.180971077008709e-06
0.3375,1.2772935175571462e-06
0.34,1.3716112613949247e-06
0.3425,1.471972857486736e-06
0.345,1.5817220886355222e-06
0.3475,1.6863260105731734e-06
0.35,1.8054310015609258e-06
0.3525,1.9200667685503323e-06
0.355,2.0246602585743624e-06
0.3575,2.1188815342545532e-06
0.36,2.2052434828508654e-06
0.3625,2.2855331695196436e-06
0.365,2.3603358722541418e-06
0.3675,2.4301373739928715e-06
0.37,2.4956802980627808e-06
0.3725,2.5604618791062745e-06
