Physical Time (s),phi_alt_flux_top Monitor (kg-m/s^3): top_cv1,phi_alt_flux_top Monitor (kg-m/s^3): top_cv2,phi_alt_flux_top Monitor (kg-m/s^3): top_cv3,phi_alt_flux_top Monitor (kg-m/s^3): top_cv4,phi_alt_flux_top Monitor (kg-m/s^3): top_cv5,phi_alt_flux_top Monitor (kg-m/s^3): top_cv6,phi_alt_flux_top Monitor (kg-m/s^3): top_cv7
0.0025,3.9155295292887301e-14,4.190198769762252e-14,4.4777543670754683e-14,4.4898163046551843e-14,4.4900253263299324e-14,4.4900319248831679e-14,4.4900320609280812e-14
0.005,1.8291765647582674e-12,1.8972002975054585e-12,2.1531715875781616e-12,2.1693686917735771e-12,2.1695722884321491e-12,2.1695753555155029e-12,2.1695753775757947e-12
0.0075,1.7725881584110543e-11,1.3045565062937664e-11,1.3791105712567814e-11,1.4355051806137681e-11,1.4367685233907774e-11,1.4367834674294744e-11,1.4367834926678178e-11
0.01,9.9169572048786392e-11,5.5289527294501044e-11,1.6185336392162548e-11,1.945096068283397e-11,1.9726461489573739e-11,1.9731105509828441e-11,1.9731107808663084e-11
0.0125,3.5892635150310985e-10,2.3563807671764605e-10,-4.3582996240249042e-12,-1.6530886401064463e-11,-1.4409556409901959e-11,-1.4333835985666816e-11,-1.4333814642413265e-11
0.015,6.7072687579970142e-10,5.0467073887906177e-10,-6.6100419244337856e-11,-1.8710603798090682e-10,-1.8208343610872891e-10,-1.8145507267554609e-10,-1.8145484344875793e-10
0.0175,7.0551177807534494e-10,6.0343428405018305e-10,-1.414093630246046e-10,-5.0861252169747524e-10,-5.2088884801141572e-10,-5.184478740883492e-10,-5.1844547101489073e-10
0.02,8.8415018692136519e-10,7.7353369212011252e-10,-1.4186807298533178e-10,-6.7370169619340373e-10,-7.1361282042269253e-10,-7.0816520642238709e-10,-7.0815387980946939e-10
0.0225,1.5543362084314256e-09,1.4863122589705528e-09,5.2237137336253285e-10,-1.4895443632908578e-10,-2.0025588547037151e-10,-1.9192611706006658e-10,-1.9186939748016466e-10
0.025,5.8573335036910798e-10,5.7685413586969267e-10,6.976152164264496e-11,-7.0642984807464682e-10,-7.7348515681509794e-10,-7.6057029148358156e-10,-7.6033372812900697e-10
0.0275,-1.344563468940827e-09,-1.3298064713178879e-09,-1.2698788761262536e-09,-1.7659164882393609e-09,-1.9255130740007303e-09,-1.9070149776952811e-09,-1.9063480780178042e-09
0.03,-1.9010841371340637e-09,-1.8815818827644241e-09,-1.517532894645433e-09,-1.4450319644212026e-09,-1.6643911817370046e-09,-1.668011482955766e-09,-1.6669208025289055e-09
0.0325,-1.5384660100952225e-09,-1.5222870638226899e-09,-1.0992677352827773e-09,-6.0382690489929773e-10,-6.8687757153606658e-10,-7.5642558729374632e-10,-7.5564864639394443e-10
0.035,-8.9222712161240882e-10,-8.8175023172984287e-10,-5.4108820343865462e-10,9.3551467560597468e-11,2.3566410955435458e-10,1.2553391334384793e-10,1.2422025822135006e-10
0.0375,-3.160761857558679e-10,-3.1332671182728847e-10,-1.1569761683111527e-10,4.4392496031397814e-10,7.3058255661611475e-10,6.6531738167969616e-10,6.569971188895975e-10
0.04,4.3103614387106003e-11,3.4969492535700686e-11,7.4994581248671216e-11,4.3751977907091633e-10,7.5774877810724443e-10,7.9187554734744952e-10,7.6713562369140012e-10
