Physical Time (s),phi_alt_vol Monitor (N): cv1,phi_alt_vol Monitor (N): cv2,phi_alt_vol Monitor (N): cv3,phi_alt_vol Monitor (N): cv4,phi_alt_vol Monitor (N): cv5,phi_alt_vol Monitor (N): cv6,phi_alt_vol Monitor (N): cv7
0.0025,4.0326288938852506e-05,4.0477197709292777e-05,4.0474112561418844e-05,4.0473950096759002e-05,4.0473931610901632e-05,4.0473925378918272e-05,4.0473919689759662e-05
0.005,6.6404284730050081e-05,6.6999923533613326e-05,6.6999299254597949e-05,6.699801307398185e-05,6.6997884693976954e-05,6.6997856217003082e-05,6.6997836670201378e-05
0.0075,8.0651424115697217e-05,8.1811495563275603e-05,8.1850939980315587e-05,8.1846575493417314e-05,8.1845822993256091e-05,8.1845687849872506e-05,8.1845631082144862e-05
0.01,8.5481292325380635e-05,8.7736570602504362e-05,8.7844837926063639e-05,8.7842620992702793e-05,8.783998474813797e-05,8.7839431950853121e-05,8.7839295413609519e-05
0.0125,8.7469875986529325e-05,9.0618741584527204e-05,9.0782130427812538e-05,9.0798468600623982e-05,9.0793636582858241e-05,9.0791884851319852e-05,9.0791590771684263e-05
0.015,8.8238634703770693e-05,9.1957054680280364e-05,9.2202969873681295e-05,9.2246154970009777e-05,9.2243489965667273e-05,9.2239519957390832e-05,9.2238910276727469e-05
0.0175,8.8421384929424286e-05,9.251793014211823e-05,9.2904572882496192e-05,9.2968883583394407e-05,9.2977575421438973e-05,9.2971883507447664e-05,9.2970697979389536e-05
0.02,8.8373531019312021e-05,9.2777336893822866e-05,9.3312961332444602e-05,9.3393202874681428e-05,9.340872212654233e-05,9.3403688554319762e-05,9.3402157590135655e-05
0.0225,8.8178078986044059e-05,9.287733684432183e-05,9.3503441650365099e-05,9.3632501501024357e-05,9.3649718681838661e-05,9.3647378043196729e-05,9.3645351911333382e-05
0.025,8.788242187262689e-05,9.2874711713263958e-05,9.3537834974796616e-05,9.3735015419630656e-05,9.3761428359020332e-05,9.3761858887449144e-05,9.3759092947668532e-05
0.0275,8.7564217810238857e-05,9.2867490240216346e-05,9.3552323425992058e-05,9.3781471985954378e-05,9.3838364359996064e-05,9.3841674893679704e-05,9.383822574481228e-05
