Physical Time (s),xth_left Monitor (kg-m/s^3)
0.0025,1.3295850134366881e-13
0.005,-1.2543851372698218e-13
0.0075,-3.4456237859155178e-14
0.01,-3.7707348497190751e-14
0.0125,4.1285123856512412e-14
0.015,-3.5142579824786059e-14
0.0175,4.9968645532729544e-14
0.02,-3.9973292741887633e-14
0.0225,7.3915055803384468e-14
0.025,3.9478168456891987e-14
0.0275,-1.1694357074109025e-13
0.03,-5.4870432775268449e-14
0.0325,-5.8250066138959052e-14
0.035,8.5283376497344339e-14
0.0375,-7.6284724064913003e-14
0.04,8.5164732819312748e-14
0.0425,4.225836724293039e-14
0.045,-5.3121784245111427e-16
0.0475,2.9167363815705228e-14
0.05,4.8606489640852501e-14
0.0525,4.8828570869395075e-14
0.055,-1.6303885425496374e-14
0.0575,8.9362577623268141e-16
0.06,-8.9179426024645852e-14
0.0625,-3.2122547680750246e-14
0.065,-2.2089982621185725e-14
0.0675,1.5199283001085786e-14
0.07,-7.8497933448696781e-14
0.0725,-3.6649533659646817e-14
0.075,-7.6145756570111294e-14
0.0775,8.623215349718269e-14
0.08,-5.5003687138433683e-14
0.0825,-2.8521675460464399e-14
0.085,-2.3856990627960744e-15
0.0875,3.0260381853707218e-14
0.09,-3.5856542042754585e-14
0.0925,2.9512778187960358e-14
0.095,-3.3317421830954757e-14
0.0975,2.6859913340073659e-14
0.1,4.1893256656483141e-15
0.1025,7.4489092837503898e-15
0.105,-3.0006585351166966e-14
0.1075,-4.6730074982558802e-14
0.11,-1.0999032146322313e-13
0.1125,6.8414867667766878e-14
0.115,2.747628314026217e-14
0.1175,2.8616546797662863e-14
0.12,-5.2357489508997171e-14
0.1225,-8.6124078126918911e-14
0.125,5.9943195673672241e-15
0.1275,7.5169524624046488e-14
0.13,5.4237137698024041e-14
0.1325,9.463864330205046e-14
0.135,1.9524242684128811e-14
0.1375,-9.4694922934516141e-14
0.14,5.1011445730027464e-14
0.1425,3.0407260950512989e-14
0.145,4.8635893249905439e-14
0.1475,-1.6963197408711015e-14
0.15,-2.6124563787664221e-14
0.1525,-8.9617138559609519e-14
0.155,1.4439543989775717e-13
0.1575,-7.0024134397540522e-14
0.16,2.1005156051589646e-14
0.1625,6.2861346513302205e-14
0.165,-6.8009059771858533e-16
0.1675,1.7031918136598826e-14
0.17,-1.6528842843922889e-14
0.1725,6.0229891329355032e-14
0.175,6.298174493055975e-14
0.1775,-1.344899733211876e-13
0.18,-2.0024320502112987e-14
