Physical Time (s),xth_right Monitor (kg-m/s^3): right_cv1,xth_right Monitor (kg-m/s^3): right_cv2,xth_right Monitor (kg-m/s^3): right_cv3,xth_right Monitor (kg-m/s^3): right_cv4,xth_right Monitor (kg-m/s^3): right_cv5,xth_right Monitor (kg-m/s^3): right_cv6,xth_right Monitor (kg-m/s^3): right_cv7
0.0025,1.0452993486657628e-13,-3.813561768058901e-14,-3.6224145655538573e-15,3.7561997554634326e-14,4.956189283297619e-14,-4.0026689776941014e-13,-6.9188004054184664e-13
0.005,2.4747530675150045e-13,-5.2430049644998987e-14,6.361033810108833e-14,-3.294016392738226e-14,-8.5198956891141926e-14,-8.8504721046490555e-14,1.8933836662620739e-13
0.0075,5.6160461367396739e-13,3.2591353137409238e-14,4.7768444690047157e-14,1.1108185443590189e-14,-1.3045530687804201e-14,6.533062802705688e-14,-2.4854653519029606e-13
0.01,1.1371621286851528e-12,2.0490636710484384e-13,1.1633772562393449e-13,9.1995959499431056e-15,8.5967479768842545e-15,-1.2040988652492372e-13,3.813049142783522e-13
0.0125,1.6506561092870176e-12,-1.2061727438616652e-13,2.9735562378899699e-14,4.387103389317475e-14,3.7818856243778474e-14,5.9901811866188369e-15,-9.1499590828032165e-14
0.015,1.9285627047024191e-12,2.6741206269545528e-14,3.7747579050515437e-14,-1.3572221697397497e-14,-9.4327425150003571e-14,-5.6100237691264849e-14,4.0860129089199719e-15
0.0175,2.2230994467028732e-12,5.0416850234329302e-14,-9.4808792698152963e-14,-7.1246266087986897e-14,2.1430881019144262e-14,4.2304083711456261e-14,1.3537586008283695e-13
0.02,2.7070640049137245e-12,1.1703063418021183e-13,1.9839182464642824e-15,7.2413490403023035e-14,7.9470300914314866e-14,2.0046054821021582e-16,-3.6865211185283922e-15
0.0225,3.1400326474900527e-12,-3.967621349164569e-14,1.4404635392825957e-13,1.2658743337043365e-13,-1.5610738694845443e-14,3.3897276665870653e-14,3.6131689253674606e-14
0.025,3.6541638804394667e-12,-8.1908900675092607e-14,1.3346663234292114e-14,-6.92008138425521e-14,1.372923404132316e-14,-2.8590601432550383e-14,-5.4787147528406425e-15
0.0275,4.4292440259049171e-12,-3.7892309964450763e-14,4.2044919796979478e-15,-4.8387984331885584e-14,6.0869084648323566e-14,-3.2354851179142309e-14,-5.2145621649272937e-14
