Physical Time (s),xth_top Monitor (kg-m/s^3): top_cv1,xth_top Monitor (kg-m/s^3): top_cv2,xth_top Monitor (kg-m/s^3): top_cv3,xth_top Monitor (kg-m/s^3): top_cv4,xth_top Monitor (kg-m/s^3): top_cv5,xth_top Monitor (kg-m/s^3): top_cv6,xth_top Monitor (kg-m/s^3): top_cv7
0.0025,-4.4429882960716982e-19,-4.8799996409883363e-19,-4.9527107322071508e-19,-5.0915331014403679e-19,-5.0710741481244069e-19,-5.0695309528626618e-19,-5.068619562628072e-19
0.005,4.1430449650479073e-17,4.4244757461064253e-17,4.3585807190714959e-17,4.3657648741523346e-17,4.3664940113199508e-17,4.3665364766133938e-17,4.3665390168244249e-17
0.0075,-2.3737893170061111e-17,-3.5904415449143955e-17,-3.4581415818606598e-17,-3.5603922563220691e-17,-3.566809245763168e-17,-3.5657222800356427e-17,-3.5657502998249265e-17
0.01,-3.7059581498421821e-17,-6.1148644610724596e-17,5.7369124798530428e-17,5.7393634737061215e-17,5.8405869175519733e-17,5.8608141144975515e-17,5.8607913955269112e-17
0.0125,6.2329096488793436e-16,4.852187652268794e-16,1.7783709898848229e-16,1.7994892490268747e-16,1.7066316733684206e-16,1.7065121324913091e-16,1.7064956116739419e-16
0.015,8.2594339059066803e-16,9.6131869437214526e-16,8.5346157771470977e-16,7.969734683897626e-16,8.2249968677293699e-16,8.1972396684049721e-16,8.1974157745203755e-16
0.0175,-1.993765400751871e-16,2.864174644504569e-16,3.9012550183711014e-17,-8.0289396630557919e-17,-1.8533771313671627e-17,-1.469667499294463e-17,-1.4745952310790813e-17
0.02,5.2828918426249325e-16,6.2171814639658121e-16,9.8622431857227486e-16,8.040541054373555e-16,7.1093936806115097e-16,6.9996611511568026e-16,7.0013207228492558e-16
0.0225,-2.5208294403998123e-16,-2.1730337060733066e-16,2.9748047362002833e-17,5.5300537952380464e-16,4.8341062985152907e-16,4.7785043135136112e-16,4.7905145635600969e-16
0.025,1.2123248408658772e-16,1.2542170828386035e-16,-1.1833459231628929e-16,-2.165681851426543e-16,1.2949776801321973e-16,2.3017968351648522e-16,2.3028375579257267e-16
0.0275,2.9181537484517019e-16,2.900438204755913e-16,2.8856436366540493e-16,1.602740758748015e-16,2.6306278151094875e-16,3.2360948484110541e-16,3.2137320406338614e-16
0.03,-3.6673703973450365e-16,-3.617828540750962e-16,-2.0137999979090204e-16,-1.3302447989899072e-16,-2.6893205583415605e-16,-4.9827777186033901e-16,-5.1416927536229311e-16
0.0325,1.557159883033171e-16,1.3090356900138297e-16,1.2695659763172342e-16,4.2805339730898606e-16,5.0382056510855019e-16,3.2233323546926176e-16,2.4405529513797525e-16
0.035,-2.7652615776334192e-17,-3.0742143693700837e-18,1.3850672658031591e-16,1.7291709291221709e-16,2.2739829483673692e-16,3.2677270246541909e-16,5.0091916991715808e-16
0.0375,9.265705259499474e-17,8.3577916906584413e-17,-9.2898170979007667e-19,1.1373949729084753e-16,8.6430970306433195e-17,4.7087849046949732e-16,5.6010465659201313e-16
0.04,-1.7997862579834852e-17,-4.9159611556665396e-17,-3.5420055404802606e-17,-2.4390729933925488e-16,-1.0789226030873082e-16,-1.45588905561597e-16,-2.8416633479038162e-16
0.0425,-2.6340341172296591e-17,-7.1012592599610572e-18,1.1490473917499536e-17,-1.9466702156976982e-17,-2.5043965041505147e-16,-2.9694618951775751e-16,-2.3181257610280244e-16
0.045,1.0440599478387845e-16,1.2169421944171004e-16,1.484656750465997e-16,1.2169886220683638e-16,1.8477944518252892e-16,3.1111216061180699e-16,1.8367208228645615e-16
0.0475,-4.0497093766491549e-16,-4.7081218579699234e-16,-5.4112903426777276e-16,-5.6926081841810616e-16,-5.2460522449387703e-16,-2.5508017002473697e-16,-4.3528015546818591e-16
0.05,1.7993579127083344e-16,1.1238796932785778e-16,4.3639653004268727e-17,1.3834756682165027e-17,2.4818209886371431e-17,9.1146176469252805e-17,6.7016334433526228e-17
0.0525,-6.126575974037654e-17,-1.3864143992614742e-16,-2.3218908738438267e-16,-2.181680447958328e-16,-1.6008495902074931e-16,-2.3109620724585893e-16,-4.4329099202327782e-16
0.055,1.0805146704747832e-16,1.1536214979679362e-16,1.5151963841917561e-16,1.4136334270521917e-16,4.5701264494089107e-17,1.396752828414662e-16,-2.0615569271108386e-18
0.0575,-8.7930185725477149e-17,-6.4653834392639879e-17,6.4127524312762618e-18,1.0963883611249394e-17,-4.6325789067919474e-17,-1.6753543187000373e-17,7.4701312680716788e-17
0.06,-6.1928825782847645e-17,-7.7432539327556544e-17,-4.3539162143634962e-17,-3.4928720958096348e-17,-5.3112273608985393e-17,-5.241951736125397e-17,-1.7057124488748494e-16
0.0625,6.2255356733493685e-17,7.0722412078312582e-17,7.7957606996135669e-17,8.6745486866384508e-17,7.6350547692301484e-17,-1.9587677357995805e-17,-1.3097506732479501e-16
0.065,3.6997912975905687e-17,5.9053945925781617e-17,5.1547109583807596e-17,2.9906900096887711e-17,1.1586496926804104e-17,-1.1707399707384321e-17,-7.8267773787639704e-17
0.0675,-3.8116228206167272e-17,-1.1017235069484862e-17,-2.9776592927160018e-17,-4.3436991484729867e-17,-4.5518635142490513e-17,-9.7054923872029604e-18,6.7456989120795924e-18
0.07,4.7082490060003448e-17,2.7037650443630945e-17,3.5054535667265707e-17,4.2507791952739589e-17,4.2549984628001053e-17,8.2848197834567567e-17,5.2061249492525612e-17
0.0725,2.1453443815081833e-16,2.2266159019854565e-16,2.1639419528289643e-16,2.2071074828571417e-16,2.1824279069177667e-16,2.1367503880970719e-16,1.6425835358620076e-16
0.075,5.8578056625335581e-17,2.3999486220240742e-17,5.7043366727671767e-17,6.7067693333684987e-17,6.3619474447637222e-17,6.6909460848869675e-17,1.5866197490460028e-17
